0 0 160411 160889 53079 53555 266112 266525 75193 75599 190330 190774 124283 124787 119865 120302 983 1404 113458 113855 129007 129427 118312 118730 0 418 140083 140517 161876 162359 109706 110165 6656 7070 184278 184762 212755 213174 147197 147611 64435 64846 219920 220334 249757 250170 209501 209926 
1 32 160903 161402 53568 54608 266537 266956 75612 76037 190786 191236 124803 125351 120314 120752 1416 1889 113867 114333 129439 129944 118742 119188 430 839 140530 140938 162371 162848 110185 110617 7082 7516 184774 185200 213187 213615 147625 148221 64858 65282 220346 220974 250182 250611 209940 210378 
2 64 161414 161850 54625 55208 266968 267388 76050 76457 191249 191716 125364 126135 120764 121250 1902 2334 114346 114749 129957 130383 119204 119625 851 1303 140950 141398 162860 163313 110630 111113 7528 7967 185212 185634 213629 214063 148233 148702 65294 65712 220988 221434 250623 251038 210390 210864 
3 96 161862 162317 55221 56075 267400 267818 76469 76891 191729 192138 126170 126770 121269 121761 2346 2820 114763 115235 130397 130834 119637 120237 1325 1873 141410 141832 163325 163773 111129 111837 7982 8509 185648 186070 214077 214504 148716 149181 65724 66138 221446 221907 251050 251614 210876 211357 
4 128 162373 162815 56170 57148 267861 268435 76942 77358 192194 192604 126861 127318 121808 122220 2935 3362 115281 115709 130882 131501 120282 120732 1934 2369 141879 142281 163830 164248 111881 112307 8565 9057 186114 186527 214549 214971 149233 149723 66185 66590 221975 222421 251657 252108 211432 211890 
5 160 162831 163276 57211 59342 268447 268866 77372 77815 192616 193104 127330 127818 122232 122670 3374 3846 115721 116174 131514 131965 120744 121235 2381 2859 142293 142712 164260 164697 112319 112731 9073 9509 186539 186949 214983 215428 149735 150165 66602 67157 222433 222876 252120 252535 211905 212522 
6 192 163288 163755 59355 60230 268878 269293 77827 78381 193117 193547 127830 128315 122684 123180 3859 4324 116186 116630 131977 132413 121247 121678 2871 3335 142724 143247 164709 165162 112743 113190 9522 9958 186962 187367 215441 215868 150177 150600 67169 67673 222896 223340 252547 252987 212534 212990 
7 224 163769 164222 60242 60834 269305 269730 78393 78801 193560 194010 128331 128840 123192 123683 4336 4754 116642 117045 132427 132874 121690 122153 3349 3812 143261 143668 165174 165619 113204 113737 9970 10436 187381 187802 215883 216298 150612 151093 67685 68111 223352 223797 252999 253434 213002 213459 
8 256 164320 164887 60905 61919 269773 270192 78844 79261 194064 194507 128893 129343 123732 124200 4802 5264 117255 118704 132933 133358 122197 122626 3869 4327 143714 144121 165668 166074 113792 114215 10499 11190 187853 188268 216350 216783 151141 151588 68182 68641 223863 224294 253483 253881 213506 213929 
9 288 164899 165329 61935 62899 270204 270629 79273 79690 194520 194925 129356 129795 124212 124636 5277 5766 118730 119260 133371 133820 122638 123182 4343 4768 144133 144551 166087 166515 114231 114723 11202 11618 188280 188705 216795 217249 151600 152020 68653 69085 224307 224736 253893 254380 213945 214385 
