0 0 0 366 5227 5475 5241 5491 
1 32 378 638 5487 5745 5503 5761 
2 64 650 905 5757 6009 5773 6028 
3 96 917 1171 6021 6272 6040 6297 
4 128 1214 1465 6315 6563 6340 6592 
5 160 1477 1737 6575 6831 6604 6865 
6 192 1749 2004 6843 7096 6877 7136 
7 224 2016 2281 7108 7366 7148 7417 
8 256 2324 2585 7409 7663 7460 7724 
9 288 2597 2867 7675 7937 7736 8010 
10 320 2879 3145 7949 8207 8022 8291 
11 352 3157 3423 8219 8477 8303 8572 
12 384 3466 3727 8520 8773 8615 8879 
13 416 3739 4009 8785 9047 8891 9164 
14 448 4021 4286 9059 9316 9176 9444 
15 480 4298 4553 9328 9580 9456 9713 
16 512 4597 4847 9623 9872 9756 10009 
17 544 4859 5119 9884 10140 10021 10282 
18 576 5131 5386 10152 10402 10294 10550 
19 608 5398 5653 10414 10664 10562 10818 
20 640 5696 5947 10707 10953 10861 11114 
21 672 5959 6220 10965 11220 11126 11387 
22 704 6232 6487 11232 11482 11399 11656 
23 736 6499 6765 11494 11750 11668 11935 
24 768 6808 7073 11793 12044 11978 12242 
25 800 7085 7358 12056 12316 12254 12525 
26 832 7370 7638 12328 12583 12537 12805 
27 864 7650 7918 12595 12850 12817 13086 
28 896 7961 8224 12893 13145 13129 13393 
29 928 8236 8509 13157 13417 13405 13678 
30 960 8521 8787 13429 13683 13690 13952 
31 992 8799 9059 13695 13954 13964 14225 
32 1024 9102 9359 13997 14248 14268 14521 
33 1056 9371 9636 14260 14515 14533 14795 
34 1088 9648 9909 14527 14778 14807 15067 
35 1120 9921 10182 14790 15046 15079 15335 
36 1152 10225 10479 15089 15337 15378 15635 
37 1184 10491 10755 15349 15613 15647 15913 
38 1216 10767 11026 15625 15883 15925 16187 
39 1248 11038 11303 15895 16159 16199 16468 
40 1280 11346 11607 16202 16454 16511 16775 
41 1312 11619 11889 16466 16734 16787 17060 
42 1344 11901 12167 16746 17009 17072 17340 
43 1376 12179 12444 17021 17283 17352 17621 
44 1408 12487 12748 17326 17585 17664 17927 
45 1440 12760 13030 17597 17863 17939 18212 
46 1472 13042 13307 17875 18138 18224 18492 
47 1504 13319 13578 18150 18407 18504 18766 
48 1536 13621 13877 18450 18702 18809 19066 
49 1568 13889 14154 18714 18975 19078 19343 
50 1600 14166 14425 18987 19241 19355 19615 
51 1632 14437 14697 19253 19509 19627 19887 
52 1664 14740 14996 19552 19803 19930 20187 
53 1696 15008 15272 19815 20076 20199 20465 
54 1728 15284 15545 20088 20343 20477 20738 
55 1760 15557 15825 20355 20616 20750 21016 
56 1792 15868 16131 20659 20916 21059 21321 
57 1824 16143 16416 20928 21194 21333 21605 
58 1856 16428 16695 21206 21466 21617 21884 
59 1888 16707 16974 21478 21739 21896 22163 
60 1920 17017 17280 21782 22038 22206 22469 
61 1952 17292 17564 22050 22316 22481 22753 
62 1984 17576 17843 22328 22589 22765 23033 
63 2016 17855 18116 22601 22860 23045 23301 
64 2048 18159 18413 22903 23158 23344 23597 
65 2080 18425 18691 23170 23434 23609 23873 
66 2112 18703 18964 23446 23705 23885 24144 
67 2144 18976 19236 23717 23978 24156 24414 
68 2176 19279 19534 24021 24278 24457 24711 
