0 0 27058 27656 4351 4639 0 514 3598 4334 70250 70854 36393 37036 40291 40891 56074 56845 134584 135305 99423 100148 103381 104056 100197 100858 197236 197756 147612 148272 166534 167198 156791 157546 248030 248714 
1 32 27707 28454 4692 5391 560 1339 4381 5061 70908 71584 37080 37806 40935 41602 56896 57590 135356 136102 100192 100860 104107 104780 100907 101728 197806 198443 148316 148979 167242 167931 157593 158427 248763 249438 
2 64 28504 29384 5437 6074 1397 2063 5105 5570 71638 72333 37850 38518 41646 42273 57641 58281 136156 137018 100907 101727 104825 105488 101776 102469 198494 199333 149023 149688 167977 168644 158475 159134 249484 250300 
3 96 29428 30113 6124 6820 2121 2856 5621 6278 72385 73069 38562 39256 42317 42944 58331 58867 137066 137986 101774 102451 105533 106213 102514 103321 199381 200176 149732 150414 168689 169305 159180 159834 250355 250992 
4 128 30198 31110 6893 7757 2959 3558 6367 7014 73146 73847 39329 39996 43036 43679 58951 59565 138075 138805 102546 103329 106296 106951 103400 104058 200265 200970 150488 151149 169381 170031 159919 160574 251080 251764 
5 160 31157 31946 7801 8515 3602 4325 7060 7832 73894 74569 40040 40869 43724 44358 59609 60151 138849 139508 103378 104054 107001 107531 104107 104781 201016 201712 151193 151867 170076 170583 160621 161356 251815 252476 
6 192 32004 32801 8559 9235 4370 4823 7878 8774 74613 75468 40919 41774 44408 45061 60207 60873 139563 140230 104107 104887 107575 108089 104828 105489 201757 202257 151912 152588 170629 171537 161406 162281 252528 253336 
7 224 32846 33563 9282 10285 4873 5567 8823 9514 75513 76199 41820 42494 45110 45758 60917 61422 140277 140937 104932 105610 108139 108778 105537 106210 202302 202897 152633 153515 171583 172556 162326 162978 253399 254079 
8 256 33677 34413 10411 11029 5645 6275 9604 10463 76290 76963 42568 43226 45845 46497 61504 62357 141010 141670 105692 106589 108867 109553 106297 106952 202985 203661 153591 154308 172632 173361 163053 163693 254167 254814 
9 288 34467 35170 11078 11778 6319 7013 10518 11227 77017 77688 43270 43924 46544 47198 62402 63054 141721 142456 106633 107283 109604 110268 106998 107528 203709 204227 154353 155091 173407 174071 163737 164401 254860 255727 
10 320 35217 35908 11826 12498 7065 7843 11275 12136 77736 78414 43968 44680 47243 47916 63100 63795 142505 143427 107328 107995 110312 110980 107572 108087 204276 204941 155136 155915 174117 174805 164445 165110 255776 256456 
11 352 35954 36658 12542 13209 7889 8783 12189 12857 78464 79334 44724 45378 47972 48772 63843 64538 143471 144125 108041 108776 111024 111692 108144 108809 204988 205615 155960 156639 174852 175530 165154 165847 256507 257196 
12 384 36754 37687 13282 13951 8867 9516 12943 13707 79411 80082 45451 46293 48845 49527 64629 65401 144198 144858 108865 109554 111769 112411 108889 109557 205699 206404 156716 157382 175615 176323 165921 166593 257279 257951 
13 416 37731 38426 13995 14898 9564 10334 13760 14405 80134 80807 46337 47120 49571 50260 65449 66121 144902 145581 109605 110283 112456 112975 109608 110272 206453 207183 157427 158163 176370 177035 166637 167244 257999 258755 
14 448 38483 39257 14946 15649 10379 11027 14460 15110 80858 81747 47169 47866 50311 51122 66166 66835 145625 146282 110328 110988 113027 113670 110319 110986 207237 207912 158207 158944 177081 177960 167291 167950 258813 259480 
15 480 39308 39990 15707 16447 11071 11756 15159 15810 81821 82504 47915 48607 51175 51854 66882 67551 146326 146985 111032 111698 113717 114385 111034 111696 207957 208486 158988 159732 178010 178687 167995 168660 259539 260229 
16 512 40085 40871 16537 17221 11829 12516 15887 16547 82586 83248 48697 49384 51948 52590 67642 68296 147058 147709 111776 112414 114462 115110 111771 112412 208579 209461 159808 160477 178769 179433 168736 169499 260312 261158 
17 544 40915 41602 17265 17939 12560 13409 16596 17294 83295 84207 49428 50098 52641 53303 68341 69015 147755 148645 112460 113094 115154 115828 112458 112976 209510 210030 160521 161348 179480 180173 169547 170373 261209 261872 
18 576 41660 42342 17983 18659 13459 14166 17338 18012 84260 84924 50142 50812 53360 54196 69060 69941 148689 149396 113138 113774 115875 116541 113021 113667 210088 210836 161394 162155 180218 180928 170421 171095 261923 262586 
19 608 42388 43117 18703 19399 14223 14956 18057 18730 84969 85632 50856 51522 54240 54881 69985 70795 149447 150106 113818 114722 116588 117247 113712 114382 210907 211657 162199 162860 180975 181682 171140 171809 262638 263158 
20 640 43205 43890 19495 20280 15077 15804 18812 19466 85716 86380 51595 52261 54957 55607 70887 71562 150182 150835 114800 115454 117326 118020 114456 115107 211739 212379 162933 163600 181773 182434 171893 172571 263231 263872 
21 672 43940 44673 20334 21075 15855 16544 19512 20277 86424 87075 52305 52982 55653 56328 71612 72310 150885 151589 115504 116155 118079 118811 115152 115817 212423 212944 163644 164367 182482 183170 172619 173365 263916 264595 
22 704 44718 45411 21119 21921 16590 17292 20329 20996 87126 87799 53026 53710 56374 57009 72360 73032 151633 152314 116205 117072 118861 119618 115862 116530 212995 213692 164411 165066 183217 183952 173409 174074 264639 265256 
23 736 45463 46298 21966 23003 17336 18010 21042 21696 87843 88509 53759 54437 57064 57713 73088 73746 152358 153033 117116 117767 119662 120355 116575 117241 213741 214432 165112 165775 183998 184686 174118 174809 265305 265952 
24 768 46406 47151 23100 23785 18085 18834 21781 22420 88582 89281 54521 55261 57793 58430 73831 74348 153113 153782 117841 118493 120432 121102 117315 118019 214512 215137 165849 166520 184760 185332 174898 175537 266032 266684 
25 800 47203 47907 23835 24642 18878 19561 22464 23119 89327 90130 55312 56027 58474 59240 74398 75065 153826 154497 118537 119186 121150 121945 118070 118808 215184 215828 166564 167237 185380 186067 175587 176322 266729 267389 
26 832 47963 48774 24686 25372 19613 20309 23175 23832 90174 90846 56072 56840 59285 59921 75119 75777 154553 155214 119231 119902 121995 122654 118858 119616 215882 216539 167282 167945 186112 186643 176366 177032 267434 268093 
27 864 48824 49534 25418 26106 20358 21090 23882 24644 90899 91593 56890 57603 59965 60629 75821 76325 155258 156176 119949 120640 122704 123367 119661 120347 216583 217244 167989 168655 186688 187345 177076 177955 268138 268796 
28 896 49625 50326 26203 26897 21218 21949 24726 25382 91699 92449 57695 58398 60723 61399 76416 76971 156258 157024 120716 121380 123451 124092 120426 121103 217320 218034 168728 169495 187420 187786 178029 178682 268870 269530 
29 928 50370 51260 26946 27637 21998 23006 25426 26086 92496 93151 58449 59127 61446 62348 77015 77678 157068 158033 121424 122099 124138 125046 121151 121945 218080 218716 169539 170364 187832 188516 178727 179413 269575 270234 
30 960 51312 52017 27686 28435 23050 23733 26131 26822 93207 93894 59173 59875 62392 63032 77722 78409 158078 158744 122143 122888 125091 125828 121989 122648 218762 219482 170409 171076 188562 189094 179458 179935 270279 270939 
31 992 52073 52761 28483 29373 23778 24575 26866 27552 93941 94709 59919 60593 63083 63762 78454 79114 158791 159463 122932 123606 125880 126560 122692 123361 219532 220200 171121 171800 189138 189710 179979 180636 270986 271651 
32 1024 52847 53650 29462 30151 24649 25324 27642 28421 94808 95682 60671 61347 63842 64530 79187 79724 159537 160256 123688 124381 126641 127314 123434 124089 220275 221049 171874 172562 189788 190449 180715 181389 271726 272389 
33 1056 53696 54403 30208 31106 25368 26020 28473 29368 95726 96384 61392 62141 64580 65391 79768 80392 160300 160971 124425 125097 127359 128239 124134 124914 221096 221794 172607 173278 190494 191047 181437 182107 272435 273098 
34 1088 54453 55141 31150 31940 26065 26809 29413 30084 96428 97093 62187 62896 65444 66116 80436 81066 161016 161707 125141 125834 128283 128974 124965 125571 221840 222520 173324 173982 191094 191776 182155 183097 273144 273808 
35 1120 55191 55872 32001 32798 26853 27507 30135 30832 97137 98040 62951 63661 66162 66834 81110 81759 161751 162496 125880 126557 129018 129697 125620 126461 222567 223235 174026 174684 191821 192415 183145 183673 273854 274545 
36 1152 55953 56673 32899 33612 27593 28399 30905 31577 98136 98820 63735 64406 66921 67691 81847 82505 162587 163397 126631 127303 129773 130485 126535 127197 223309 223960 174757 175420 192489 193156 183746 184410 274618 275502 
37 1184 56717 57383 33665 34375 28444 29369 31621 32294 98875 99550 64451 65375 67744 68437 82551 83196 163441 164124 127347 128236 130540 131222 127242 127749 224007 224653 175464 176121 193201 193710 184455 184979 275548 276230 
38 1216 57427 58091 34435 35123 29414 30095 32338 33012 99597 100260 65438 66108 68488 69183 83247 84070 164168 164843 128281 128970 131267 131923 127793 128388 224697 225364 176165 176824 193754 194398 185023 185692 276276 276938 
39 1248 58135 58829 35174 35847 30147 30792 33060 33889 100308 101133 66153 66824 69227 69950 84114 84642 164887 165590 129016 129694 131969 132641 128454 129102 225410 225968 176868 177636 194442 194972 185737 186268 276985 277644 
40 1280 58933 59639 35920 36620 30865 31508 34006 34811 101211 101887 66906 67556 70028 70809 84732 85406 165663 166337 129767 130480 132716 133378 129184 129846 226050 226690 177710 178369 195046 195655 186343 187020 277719 278356 
41 1312 59691 60382 36665 37371 31552 32193 34875 35570 101951 102658 67606 68269 70859 71556 85450 85968 166381 167105 130524 131202 133424 134101 129894 130575 226734 227391 178414 179089 195700 196275 187065 187657 278404 279047 
42 1344 60436 61121 37417 38164 32247 32891 35619 36360 102707 103401 68316 68974 71601 72316 86017 86817 167157 167929 131248 131923 134146 134813 130626 131294 227444 228072 179133 179670 196322 197010 187702 188337 279095 279929 
43 1376 61171 62105 38217 38955 32941 33620 36404 37129 103446 104125 69018 69685 72370 73062 86865 87550 167975 168643 131968 132640 134857 135357 131346 132054 228127 228762 179716 180625 197056 197715 188385 189060 279977 280507 
44 1408 62193 62899 39049 39730 33708 34416 37219 37910 104213 104897 69772 70684 73151 73851 87632 88297 168722 169498 132723 133399 135431 136103 132150 132960 228846 229475 180699 181378 197795 198441 189140 189713 280580 280966 
45 1440 62956 63656 39774 40460 34467 35128 37961 38662 104944 105628 70728 71507 73899 74571 88341 89016 169544 170367 133443 134116 136151 137009 133006 133670 229522 230179 181423 182100 198488 199331 189764 190451 281012 281675 
46 1472 63700 64374 40507 41181 35180 35851 38706 39391 105675 106590 71552 72254 74616 75465 89062 89726 170415 171090 134160 134818 137053 137781 133717 134387 230226 230896 182144 182780 199377 200016 190501 191051 281723 282385 
47 1504 64419 65364 41225 41966 35898 36549 39439 40231 106637 107312 72300 72930 75509 76187 89773 90443 171134 171804 134862 135544 137826 138485 134435 135293 230944 231602 182824 183501 200061 200742 191100 191792 282431 283085 
48 1536 65463 66152 42039 42800 36626 37295 40322 41010 107398 108087 73034 73669 76261 76951 90519 91313 171888 172565 135617 136291 138559 139220 135396 136103 231704 232383 183575 184242 200818 201326 191866 192540 283163 283822 
49 1568 66202 66903 42844 43575 37349 38155 41065 41780 108137 108807 73721 74352 76999 77676 91367 92061 172613 173358 136335 137023 139265 139932 136158 137011 232427 233105 184286 184958 201372 202052 192586 193265 283870 284541 
50 1600 66954 67698 43625 44319 38199 38850 41824 42493 108852 109556 74412 75068 77730 78412 92128 92794 173402 174068 137071 137994 139977 140639 137056 137786 233152 233900 185002 185462 202097 202694 193310 193909 284595 285287 
51 1632 67751 68433 44371 45056 38894 39543 42537 43208 109605 110287 75112 75779 78466 79335 92849 93514 174112 174803 138038 138803 140684 141438 137835 138494 233954 234630 185507 186180 202740 203422 193958 194647 285337 286111 
52 1664 68522 69213 45136 45821 39616 40384 43281 43969 110372 111065 75856 76520 79410 80079 93589 94439 174892 175773 138876 139551 141513 142439 138572 139237 234716 235377 186254 186937 203497 204178 194721 195524 286228 286852 
53 1696 69263 69949 45874 46562 40429 41083 44025 44726 111112 111981 76564 77234 80124 80806 94484 95196 175818 176494 139595 140267 142483 143204 139282 139937 235424 236120 186982 187647 204223 204886 195568 196255 286897 287679 
54 1728 69995 70795 46611 47304 41128 41845 44777 45657 112025 112688 77289 77964 80853 81744 95242 95792 176545 177234 140311 140990 143248 143760 139984 140646 236168 237026 187691 188330 204934 205587 196300 196628 287732 288393 
55 1760 70846 71571 47366 48222 41895 42535 45701 46381 112745 113425 78010 78882 81803 82482 95838 96496 177278 177960 141034 141697 143810 144460 140695 141518 237078 237738 188374 189055 205631 206382 196676 197383 288438 288969 
