0 0 17038 17965 20520 21087 0 707 650 1333 60658 61436 57175 57864 45215 45824 39575 40232 107805 108518 109673 110421 82154 82853 93671 94219 180320 181146 173294 174162 149803 150483 139456 140282 270404 270935 268422 269050 234535 235215 232190 232888 459191 459809 472195 472806 378518 379157 383100 383459 851838 852512 853866 854345 669488 670153 670752 671414 1128977 1129352 1134543 1134797 
1 32 18015 18753 21144 22071 764 1622 1380 2052 61501 62232 57918 58625 45877 46604 40281 41160 108570 109299 110473 111202 82904 83588 94266 94974 181190 181805 174208 174976 150527 151203 140328 141013 270981 271734 269102 269764 235275 235958 232933 233759 459854 460520 472864 473457 379211 379945 383505 384171 852561 853240 854395 855053 670197 670939 671458 672046 1129396 1130051 1134841 1135515 
2 64 18824 19672 22123 22854 1670 2390 2105 2994 62296 63228 58678 59361 46650 47352 41208 42107 109351 110049 111249 111920 83633 84306 95022 95973 181854 182561 175037 175867 151250 151968 141058 141976 271781 272463 269809 270494 236010 236729 233806 234482 460564 461237 473502 474268 380020 380740 384220 385100 853284 854008 855110 855753 670983 671624 672090 672390 1130095 1130482 1135559 1135813 
3 96 19717 20457 22906 23626 2465 3180 3039 3783 63278 64086 59418 60124 47401 48117 42153 42908 110098 110814 111967 112670 84350 85015 96017 96700 182606 183353 175914 176635 152025 152847 142020 142691 272510 273272 270550 271218 236785 237585 234535 235232 461281 461965 474320 475059 380785 381479 385148 385816 854052 854720 855799 856433 671668 672186 672434 672956 1130526 1131170 1135857 1136532 
4 128 20578 21297 23734 24884 3283 4008 3879 4581 64201 64897 60222 60918 48227 48941 43030 43738 110897 111513 112766 113405 85095 85777 96783 97465 183433 184089 176723 177437 152929 153596 142778 143464 273358 274022 271314 271993 237678 238440 235311 235998 462063 462856 475163 475848 381600 382389 385909 386684 854793 855461 856506 857141 672259 672897 673029 673635 1131243 1131503 1136605 1136858 
5 160 21344 22101 24935 25649 4058 4762 4631 5316 64943 65646 60974 61671 48990 49690 43794 44757 111564 112319 113467 114291 85821 86471 97518 98207 184144 184875 177497 178206 153642 154379 143509 144187 274070 274759 272049 272975 238497 239187 236046 236722 462903 463574 475899 476564 382446 383373 386729 387357 855505 856189 857185 857822 672943 673587 673682 674206 1131547 1132212 1136902 1137578 
6 192 22148 22873 25698 26425 4811 5535 5386 6066 65703 66410 61725 62423 49746 50456 44813 45568 112380 113120 114350 114713 86515 87224 98261 99172 184940 185682 178265 179004 154462 155178 144236 144926 274810 275484 273025 273696 239246 239911 236768 237581 463628 464304 476644 477378 383422 384136 387401 388087 856233 856926 857866 858501 673631 674000 674250 674669 1132256 1132897 1137622 1137876 
7 224 22941 23651 26475 27183 5585 6308 6116 6757 66475 67163 62472 63256 50504 51262 45617 46319 113167 113923 114766 115716 87285 87949 99217 99926 185730 186425 179068 179771 155230 155957 144971 145673 275536 276210 273747 274554 239970 240645 237625 238424 464349 465022 477452 478203 384184 385095 388136 388774 856980 857640 858545 859213 674044 674666 674713 675230 1132941 1133587 1137920 1138588 
8 256 23782 24904 27278 28014 6434 7205 6852 7537 67259 68008 63352 64134 51347 52056 46402 47087 114025 114645 115813 116333 88027 88721 100030 100762 186513 187204 179853 180681 156045 156729 145751 146441 276337 277138 274646 275315 240730 241346 238498 239433 465096 465776 478337 479159 385168 385838 388904 389619 857713 858385 859286 859935 674740 675240 675303 675965 1133660 1133922 1138661 1138914 
9 288 24961 25715 28063 28779 7264 8016 7590 8428 68054 68744 64195 64906 52109 52924 47147 47880 114700 115485 116406 117332 88782 89433 100812 101541 187263 188160 180727 181426 156786 157514 146504 147414 277184 277834 275361 276140 241399 242166 239488 240198 465820 466487 479217 479883 385882 386675 389664 390537 858429 859092 859979 860629 675284 675959 676009 676521 1133966 1134611 1138958 1139856 
10 320 25766 26519 28833 29530 8066 8975 8495 9221 68797 69819 64955 65683 52968 53656 47945 48680 115541 116285 117391 118211 89481 90309 101585 102257 188210 188917 181471 182300 157568 158366 147458 148144 277886 278427 276190 276880 242216 242900 240246 241138 466531 467264 479948 480630 386723 387401 390598 391274 859136 859814 860673 861323 676003 676302 676565 676966 1134655 1134917 1139900 1140152 
11 352 26567 27337 29577 30333 9025 9732 9276 9958 69866 70547 65749 66443 53702 54620 48733 49551 116335 117307 118259 119003 90356 91030 102301 103032 188970 189718 182347 183072 158412 159074 148193 148901 278473 279187 276937 277613 242954 243476 241183 242137 467312 467982 480682 481274 387445 388115 391373 392287 859858 860519 861367 862181 676346 676965 677011 677532 1134961 1135606 1140196 1140862 
12 384 27438 28147 30427 31139 9838 10561 10047 10739 70629 71332 66536 67229 54722 55627 49643 50354 117404 118241 119087 120041 91115 91900 103140 103825 189813 190504 183162 183938 159180 159868 148989 149714 279293 279999 277686 278347 243551 243958 242219 242908 468056 468767 481373 482106 388191 388867 392425 393208 860592 861258 862267 862929 677038 677534 677605 678150 1135679 1135941 1140935 1141187 
13 416 28199 28887 31200 31900 10621 11348 10791 11482 71382 72189 67273 68011 55681 56400 50407 51118 118309 119022 120092 120799 91947 92651 103874 104621 190553 191497 183991 184712 159912 160767 149766 150474 280059 280591 278393 279164 244036 244919 242954 243854 468814 469500 482150 482810 388914 389613 393327 394181 861302 862152 862980 863809 677580 678149 678195 678708 1135985 1136632 1141232 1141901 
14 448 28948 29645 31952 32910 11398 12119 11537 12231 72251 72970 68074 68781 56447 57161 51186 51912 119082 120035 120843 121445 92695 93417 104671 105373 191543 192189 184768 185576 160813 161618 150527 151216 280642 281276 279212 280005 244964 245872 243911 244638 469566 470284 482856 483550 389664 390522 394240 394959 862198 862874 863853 864500 678193 678619 678752 679290 1136676 1136938 1141945 1142199 
15 480 29711 30533 32958 33676 12175 12885 12279 12985 73022 73955 68832 69815 57213 57940 51975 52895 120094 120835 121493 122206 93477 94156 105417 106132 192235 192921 185625 186329 161668 162344 151266 151967 281331 281994 280058 280783 245919 246725 244683 245568 470343 471024 483596 484257 390566 391239 395003 395665 862918 863629 864544 865180 678663 679289 679335 679956 1136982 1137640 1142244 1142922 
16 512 30639 31469 33778 34511 12986 13723 13084 13837 74045 74814 69925 70641 58032 58753 52974 53681 120914 121683 122291 122978 94278 94979 106222 106982 192999 193663 186438 187154 162423 163221 152045 152836 282078 282774 280869 281538 246807 247643 245647 246569 471097 471941 484330 484843 391312 391989 395746 396275 863702 864369 865253 865888 679363 679958 680029 680640 1137713 1137972 1142995 1143249 
17 544 31525 32241 34559 35252 13786 14591 13890 14649 74873 75588 70702 71418 58802 59696 53729 54631 121731 122429 123054 123914 95033 95743 107037 107757 193714 194362 187206 187987 163266 163938 152880 153591 282819 283699 281590 282298 247687 248216 246613 247283 471985 472673 484887 485565 392033 392714 396321 396974 864413 865089 865932 866570 680002 680639 680685 681324 1138016 1138695 1143293 1144121 
18 576 32305 33235 35303 36038 14642 15384 14709 15408 75665 76341 71467 72205 59752 60478 54680 55615 122479 123210 123970 124690 95790 96497 107802 108461 194417 195256 188039 188771 163982 164632 153642 154380 283743 284398 282344 283087 248266 248917 247329 248004 472717 473389 485609 486310 392758 393435 397023 397776 865133 865801 866614 867275 680683 681323 681369 682020 1138739 1138999 1144166 1144420 
19 608 33289 34006 36095 36907 15435 16243 15456 16250 76411 77129 72273 72988 60523 61236 55663 56374 123269 123975 124738 125473 96547 97215 108512 109223 195313 196149 188815 189515 164685 165342 154427 155141 284443 285205 283147 283861 248966 249631 248052 248729 473434 474255 486358 487035 393479 394202 397824 398454 865845 866516 867321 867985 681367 682019 682065 682596 1139043 1139857 1144464 1145295 
20 640 34108 34826 37023 37733 16331 17115 16335 17120 77229 78034 73071 74001 61345 62052 56461 57180 124072 124709 125568 126288 97327 98138 109307 109792 196237 196926 189591 190290 165424 166125 155231 155943 285281 285944 283949 284669 249705 250368 248806 249485 474348 475064 487145 487821 394280 394966 398527 399140 866589 867274 868060 868726 682092 682598 682669 683169 1139931 1140190 1145368 1145620 
21 672 34885 35797 37786 38483 17166 18000 17172 17991 78087 78797 74052 74815 62105 62847 57233 57945 124760 125491 126348 127076 98188 98882 109855 110691 196970 197659 190335 191073 166182 167067 155995 156707 285993 286704 284718 285444 250422 251073 249529 250202 475118 475812 487875 488626 395017 395957 399184 399825 867319 867984 868771 869441 682642 683168 683214 683742 1140234 1140885 1145664 1146342 
22 704 35848 36539 38547 39292 18044 18741 18035 18745 78856 79540 74872 75573 62901 63777 58006 58712 125553 126283 127133 127799 98933 99629 110745 111426 197715 198465 191123 191826 167112 167781 156759 157481 286756 287390 285508 286197 251120 251867 250250 250930 475869 476560 488670 489137 396001 396702 399869 400500 868029 868704 869485 870156 683212 683626 683786 684533 1140929 1141186 1146386 1146640 
23 736 36598 37304 39353 40096 18786 19482 18796 19487 79594 80323 75629 76329 63823 64523 58775 59698 126339 127073 127864 128567 99674 100335 111477 112296 198510 199213 191878 192571 167837 168436 157529 158284 287440 288178 286262 286953 251913 252452 250981 251851 476610 477369 489194 489831 396746 397409 400546 401083 868748 869414 870201 870873 683670 684300 684577 685344 1141230 1141869 1146684 1147352 
24 768 37396 38111 40202 41133 19569 20281 19574 20274 80421 81125 76439 77136 64625 65306 59784 60494 127184 127895 128661 129260 100419 100972 112400 113133 199316 200016 192674 193436 168528 169172 158359 159052 288290 289146 287035 287710 252542 253058 251926 252602 477457 478167 489925 490534 397491 398165 401156 401812 869487 870296 870947 871626 684373 684695 685417 686087 1141942 1142198 1147425 1147678 
25 800 38172 38879 41188 41916 20330 21025 20326 20994 81179 82101 77194 78026 65359 66042 60543 61255 127945 128689 129312 130031 101017 101904 113185 113907 200063 200788 193497 194308 169227 169892 159096 159844 289198 289858 287762 288452 253109 253804 252646 253321 478225 479147 490595 491344 398215 398890 401857 402394 870342 871021 871672 872349 684739 685368 686131 686822 1142242 1142887 1147722 1148396 
26 832 38940 39667 41962 42657 21078 22003 21045 21988 82157 83020 78091 78811 66087 66783 61312 62055 128741 129294 130083 130724 101951 102463 113958 114647 200846 201566 194360 195233 169951 170645 159904 160789 289903 290580 288497 289158 253859 254549 253365 254036 479191 479872 491388 491913 398934 399605 402438 403110 871066 871738 872393 873075 685412 686036 686867 687370 1142931 1143193 1148440 1148693 
27 864 39723 40432 42716 43407 22054 22786 22033 22730 83076 83802 78860 79553 66843 67887 62110 62811 129349 130055 130785 131524 102513 103177 114703 115494 201625 202301 195281 196132 170702 171229 160840 161625 290626 291325 289202 289857 254595 255271 254080 254781 479932 480630 491973 492752 399649 400319 403155 403689 871784 872461 873122 873797 686080 686821 687414 688029 1143237 1144120 1148737 1149406 
28 896 40525 41444 43514 44226 22894 23593 22822 23505 83901 84703 79683 80382 67964 68667 62886 63770 130147 130731 131625 132344 103268 104063 115614 116313 202381 203296 196213 196927 171308 171957 161716 162553 291401 292066 289931 290853 255403 256197 254872 255626 480726 481429 492825 493456 400393 401063 403765 404381 872534 873199 873879 874671 686894 687558 688102 688693 1144193 1144453 1149479 1149732 
29 928 41498 42222 44293 44976 23645 24335 23556 24212 84764 85744 80430 81120 68713 69419 63815 64532 130782 131496 132416 133120 104108 104777 116362 117318 203346 204197 196972 197650 172010 172813 162600 163477 292112 292797 290912 291809 256250 256945 255670 256342 481497 482236 493502 494201 401108 401807 404425 405103 873256 873971 874715 875428 687603 688127 688737 689383 1144497 1145296 1149776 1150717 
30 960 42278 43065 45041 45725 24390 25319 24274 25014 85804 86481 81177 82116 69472 70169 64583 65294 131546 132087 133174 133876 104827 105389 117371 118202 204246 204973 197716 198467 172864 173540 163533 164237 292842 293526 291871 292598 256990 257671 256399 257073 482309 483020 494245 494766 401862 402558 405148 405831 874015 874688 875473 876141 688171 688694 689427 690044 1145341 1145603 1150761 1151014 
31 992 43126 43817 45774 46592 25369 26061 25066 25780 86533 87234 82173 83028 70221 70942 65345 66043 132147 132919 133934 134845 105439 106156 118266 119007 205017 205692 198514 199207 173610 174408 164285 164958 293573 294357 292652 293340 257736 258448 257117 257801 483079 483966 494813 495668 402602 403243 405875 406494 874732 875429 876186 876865 688739 689498 690088 690779 1145647 1146335 1151058 1151749 
32 1024 43924 44781 46709 47422 26168 26851 25875 26584 87350 88316 83143 83832 71046 71791 66127 66803 133032 133679 134954 135655 106255 106974 119096 120043 205774 206608 199298 200014 174501 175273 165042 165679 294442 295084 293426 294353 258528 259194 257874 258556 484087 484800 495752 496423 403316 404087 406567 407183 875504 876167 876938 877611 689571 690045 690854 691521 1146408 1146671 1151822 1152224 
33 1056 44828 45576 47470 48200 26899 27722 26638 27562 88368 89077 83897 84703 71838 72548 66856 67893 133734 134478 135699 136644 107025 107750 120090 120862 206655 207360 200064 200744 175322 176141 165725 166400 295137 295803 294398 295078 259239 260008 258600 259284 484848 485581 496469 497148 404131 404806 407228 407862 876211 876878 877655 878397 690090 690780 691565 692206 1146715 1147402 1152268 1152941 
34 1088 45627 46391 48257 49208 27780 28450 27620 28384 89135 89832 84753 85465 72594 73298 67957 68673 134548 135242 136691 137642 107803 108512 120906 121681 207405 208070 200791 201564 176192 177129 166450 167147 295848 296551 295146 295833 260061 260849 259331 260168 485640 486336 497199 497872 404850 405480 407906 408627 876922 877591 878441 879129 690825 691456 692251 692787 1147446 1147709 1152985 1153659 
35 1120 46456 47179 49253 49965 28502 29163 28429 29140 89886 90597 85518 86174 73343 74175 68721 69389 135296 136584 137703 138442 108573 109575 121727 122418 208121 208784 201616 202302 177175 177872 167192 167850 296601 297242 295881 296760 260931 261604 260229 260924 486427 487286 497925 498599 405524 406200 408672 409406 877636 878393 879179 879861 691500 692205 692831 693463 1147753 1148446 1153703 1154378 
36 1152 47265 47973 50078 50861 29267 29990 29257 29984 90685 91405 86269 86895 74260 74962 69483 70174 136687 137382 138551 139273 109656 110327 122499 123209 208880 209605 202388 203295 177979 178755 167975 168750 297317 297924 296897 297599 261738 262425 261032 261856 487397 488085 498703 499391 406273 406900 409480 410115 878481 879157 879938 880612 692278 692788 693536 694250 1148520 1148784 1154451 1155123 
37 1184 48033 48728 50913 51631 30036 30734 30047 30755 91455 92152 86943 87649 75009 75698 70229 70936 137428 138115 139325 140260 110372 111085 123260 123973 209655 210514 203339 204193 178809 179490 168795 169478 297970 298660 297647 298368 262477 263181 261904 262602 488138 488810 499435 500110 406944 407778 410160 410712 879205 880020 880656 881329 692833 693464 694295 694919 1148828 1149683 1155167 1155840 
38 1216 48791 49572 51682 52386 30791 31520 30818 31528 92199 92896 87704 88428 75743 76457 70992 71787 138159 138940 140307 141030 111129 111864 124019 124694 210575 211493 204241 204961 179540 180254 169522 170205 298712 299639 298416 299105 263226 263917 262646 263331 488854 489527 500156 500849 407822 408609 410761 411426 880064 880728 881373 882046 693509 694249 694964 695449 1149727 1149991 1155884 1156566 
39 1248 49625 50341 52435 53290 31566 32258 31583 32320 92954 93668 88483 89180 76506 77208 71835 72556 138987 139678 141075 141991 111910 112652 124747 125476 211541 212343 205005 205689 180309 181144 170253 170915 299684 300399 299154 299874 263977 264636 263375 264069 489571 490243 500894 501815 408657 409404 411475 412220 880772 881430 882090 882936 694293 694918 695493 696209 1150035 1150728 1156610 1157274 
40 1280 50452 51195 53420 54270 32361 33247 32423 33262 93762 94485 89281 90034 77307 78040 72633 73305 139760 140456 142103 142969 112744 113400 125582 126297 212468 213218 205764 206603 181218 181890 170994 171853 300495 301193 299972 300658 264717 265391 264142 264822 490317 491023 501890 502581 409482 410135 412293 413270 881503 882159 883026 883818 694991 695450 696283 696962 1150801 1151062 1157347 1158015 
41 1312 51260 51945 54333 55040 33310 34036 33319 34034 94547 95239 90099 90757 78098 78802 73349 74175 140513 141264 143018 143707 113461 114173 126348 127081 213286 213987 206651 207361 181942 182576 171908 172796 301242 301895 300725 301465 265435 266266 264866 265549 491070 491782 502625 503323 410183 411031 413316 414034 882203 882937 883863 884527 695495 696210 697008 697632 1151106 1151798 1158059 1158908 
42 1344 52003 52901 55087 55817 34093 34797 34084 34810 95291 96007 90818 91523 78871 79576 74228 74890 141326 142318 143757 144500 114232 114703 127136 127868 214040 214805 207414 208100 182627 183354 172847 173524 301949 302640 301510 302282 266325 267128 265597 266303 491829 492725 503377 503899 411075 411821 414083 414964 882984 883817 884571 885239 696255 696961 697677 698060 1151842 1152248 1158952 1159617 
