0 0 124324 124977 116961 117611 122920 123335 0 393 124724 125361 117238 117639 123333 123989 
1 32 125021 125677 117655 118302 123379 123993 437 827 125407 125798 117683 118306 124035 124674 
2 64 125721 126376 118346 119074 124039 124678 871 1260 125842 126380 118350 119078 124719 125359 
3 96 126420 127069 119118 119762 124723 125363 1304 1693 126424 127073 119122 119766 125407 125799 
4 128 127142 127796 119837 120488 125442 126078 1766 2156 127150 127800 119845 120492 125873 126378 
5 160 127840 128494 120532 121182 126123 126773 2200 2588 127844 128498 120536 121186 126422 127070 
6 192 128538 129192 121226 121870 126819 127471 2632 3021 128542 129196 121230 121874 127115 127505 
7 224 129236 129890 121914 122557 127517 128162 3065 3546 129240 129894 121918 122561 127549 128166 
8 256 129963 130619 122631 123282 128237 128901 3620 4011 129971 130623 122639 123286 128245 128905 
9 288 130663 131318 123326 123985 128947 129591 4055 4439 130667 131322 123330 123989 128951 129595 
10 320 131362 132019 124029 124671 129637 130281 4483 4973 131366 132023 124033 124675 129641 130285 
11 352 132063 132717 124715 125357 130327 130972 5017 5406 132067 132721 124721 125361 130331 130976 
12 384 132790 133448 125431 126075 131047 131691 5479 5869 132798 133452 125439 126079 131055 131695 
13 416 133492 134148 126119 126771 131737 132388 5913 6409 133496 134152 126125 126775 131741 132392 
14 448 134192 134853 126815 127469 132434 133078 6453 6841 134196 134857 126821 127473 132438 133082 
15 480 134897 135554 127513 128160 133124 133808 6885 7342 134901 135558 127519 128164 133128 133812 
16 512 135627 136283 128234 128899 133883 134526 7415 7866 135635 136287 128242 128903 133891 134530 
17 544 136327 136987 128943 129589 134572 135228 7910 8299 136331 136991 128949 129593 134576 135232 
18 576 137031 137678 129633 130279 135274 135916 8343 8732 137037 137682 129639 130283 135278 135920 
19 608 137722 138368 130323 130970 135962 136368 8776 9163 137728 138372 130329 130974 135966 136372 
20 640 138441 139096 131044 131689 136442 136993 9236 9624 138449 139100 131052 131693 136450 136997 
21 672 139140 139794 131733 132386 137041 137682 9668 10057 139144 139798 131739 132390 137045 137686 
22 704 139838 140487 132430 133076 137732 138372 10101 10565 139844 140491 132436 133080 137736 138376 
23 736 140531 141181 133120 133806 138422 138826 10609 11182 140537 141185 133126 133810 138426 138830 
24 768 141255 141903 133880 134524 138900 139306 11260 11652 141263 141907 133888 134528 138908 139310 
25 800 141947 142598 134568 135226 139350 139800 11696 12081 141953 142602 134574 135230 139354 139804 
26 832 142642 143293 135270 135914 139848 140491 12125 12521 142648 143297 135276 135918 139852 140495 
27 864 143337 143988 135958 136358 140541 141185 12565 12957 143343 143992 135964 136369 140545 141189 
28 896 144062 144713 136432 136989 141272 141912 13030 13422 144070 144717 136444 136993 141267 141908 
29 928 144757 145407 137033 137679 141961 142607 13466 13858 144763 145411 137039 137683 141957 142603 
30 960 145451 146102 137724 138369 142656 143302 13902 14294 145457 146106 137730 138373 142652 143298 
31 992 146146 146545 138414 138818 143351 143997 14338 14749 146152 146550 138420 138827 143347 143993 
32 1024 146620 147021 138892 139294 144074 144718 14822 15232 146629 147026 138901 139307 144079 144722 
33 1056 147065 147468 139338 139796 144767 145411 15276 15685 147074 147472 139352 139800 144771 145415 
34 1088 147512 147912 139840 140488 145461 146106 15729 16132 147521 147917 139846 140492 145465 146110 
35 1120 147956 148358 140533 141182 146156 146551 16176 16615 147965 148365 140539 141186 146160 146567 
36 1152 148431 148835 141257 141904 146627 147025 16688 17097 148443 148842 141265 141908 146641 147044 
37 1184 148879 149282 141949 142599 147071 147471 17141 17550 148890 149289 141955 142603 147088 147492 
38 1216 149326 149729 142644 143294 147518 147916 17594 18068 149337 149735 142650 143298 147536 147939 
39 1248 149773 150173 143339 143989 147962 148364 18112 18552 149784 150181 143345 143993 147983 148389 
40 1280 150246 150649 144064 144714 148440 148841 18626 19036 150258 150657 144072 144718 148463 148868 
41 1312 150693 151096 144759 145408 148888 149288 19080 19491 150704 151105 144765 145412 148912 149318 
42 1344 151140 151545 145453 146103 149334 149734 19535 19945 151152 151552 145459 146107 149362 149767 
43 1376 151589 151991 146148 146548 149780 150180 19989 20396 151600 151998 146154 146552 149811 150216 
44 1408 152064 152470 146622 147023 150256 150656 20471 21156 152076 152475 146630 147027 150289 150694 
45 1440 152514 152914 147067 147469 150703 151104 21200 21611 152523 152919 147076 147473 150739 151144 
46 1472 152958 153360 147514 147914 151150 151551 21655 22067 152967 153365 147523 147918 151188 151593 
47 1504 153404 153806 147958 148362 151597 151997 22111 22566 153413 153812 147967 148366 151639 152042 
48 1536 153879 154281 148436 148839 152076 152476 22640 23078 153888 154286 148444 148843 152116 152521 
49 1568 154325 154727 148883 149286 152525 152920 23122 23530 154334 154733 148894 149290 152565 152966 
50 1600 154771 155171 149330 149732 152968 153366 23574 23977 154780 155176 149339 149736 153010 153417 
51 1632 155215 155618 149776 150178 153413 153816 24021 24471 155224 155622 149785 150182 153464 153869 
52 1664 155692 156091 150252 150654 153891 154287 24545 24954 155700 156095 150260 150658 153942 154344 
53 1696 156135 156534 150698 151102 154334 154740 24998 25400 156141 156538 150707 151106 154388 154793 
54 1728 156578 156979 151146 151549 154784 155177 25444 25898 156584 156989 151155 151553 154837 155239 
55 1760 157023 157665 151593 151995 155224 155622 25942 26346 157034 157669 151602 151999 155283 155688 
56 1792 157739 158384 152070 152473 155700 156095 26420 26895 157747 158388 152078 152477 155763 156169 
57 1824 158428 159070 152517 152917 156143 156538 26939 27420 158437 159074 152526 152921 156213 156617 
58 1856 159114 159756 152961 153363 156586 156982 27464 27878 159123 159760 152970 153367 156661 157068 
