0 0 30003 30704 33448 34126 1156 1728 0 407 74124 74744 76155 76774 37792 38546 32267 32969 120024 120627 129232 130118 97081 97733 90750 91419 183750 184157 191863 192308 150752 151425 151788 152487 260369 260844 258432 259024 210229 210968 216607 217277 334218 334850 322819 323270 
1 32 30760 31452 34184 34860 1779 2465 467 1294 74793 75555 76828 77538 38596 39246 33021 33692 120677 121377 130186 130911 97778 98364 91471 92148 184204 184912 192354 193038 151471 152157 152535 153272 260894 261590 259068 259761 211012 211540 217323 218135 334895 335565 323317 323907 
2 64 31499 32186 34910 35647 2509 3217 1346 1996 75617 76364 77595 78291 39300 40005 33738 34619 121425 122152 130958 131846 98408 99067 92213 92920 184967 185700 193089 193756 152211 153154 153316 154126 261651 262332 259806 260326 211584 212251 218180 218850 335612 336225 323951 324644 
3 96 32240 32960 35707 36457 3261 3948 2049 2717 76417 77078 78348 79087 40054 40713 34663 35343 122197 122900 131906 132826 99111 99640 92966 93609 185752 186458 193810 194510 153198 153875 154175 155039 262379 263192 260383 260892 212295 213012 218908 219562 336270 337198 324689 325345 
4 128 33056 33770 36561 37251 4021 4707 2801 3446 77151 77857 79180 79941 40807 41649 35431 36251 122989 123681 132905 133574 99739 100448 93696 94505 186536 187189 194585 195299 153948 154625 155130 155970 263279 263984 260971 261589 213089 213762 219651 220327 337283 337930 325424 326093 
5 160 33826 34768 37329 38119 4751 5451 3502 4180 77911 78593 79995 80918 41693 42678 36302 37033 123728 124436 133626 134423 100502 101236 94550 95063 187235 187979 195347 196006 154669 155346 156017 156899 264045 264727 261647 262332 213806 214486 220378 221196 337987 338646 326139 326835 
6 192 34812 35521 38168 38879 5501 6200 4224 4901 78638 79311 80965 81653 42722 43410 37082 37738 124490 125140 134467 135164 101288 101973 95117 95781 188026 188707 196055 196717 155390 156067 156944 157596 264771 265434 262385 263195 214530 215460 221244 221992 338702 339434 326883 327404 
7 224 35565 36288 38936 39954 6249 6934 4955 5626 79356 80009 81708 82384 43460 44389 37789 38544 125185 126051 135215 135903 102027 102734 95827 96426 188754 189472 196770 197437 156111 156910 157647 158438 265484 266145 263241 263899 215504 216179 222040 222711 339479 340141 327448 328128 
8 256 36388 37120 40054 40763 7010 7786 5723 6372 80109 80960 82484 83371 44471 45153 38628 39262 126167 126837 136006 136808 102826 103686 96540 97250 189584 190350 197521 198190 156984 157751 158529 159170 266223 267006 263976 264657 216259 216973 222792 223575 340218 340863 328207 328862 
9 288 37175 37877 40818 41655 7840 8543 6423 7246 81018 81926 83420 84100 45198 45863 39321 40036 126884 127596 136853 137527 103747 104442 97294 98107 190406 191275 198235 198908 157797 158578 159228 160160 267055 267735 264705 265344 217018 217704 223624 224309 340912 341578 328908 329601 
