0 0 2852 3152 511 1033 0 470 94 510 25336 25814 29630 30165 24705 25143 28179 28635 70019 70595 67648 68089 70935 71570 70923 71565 129095 129546 126684 127134 132361 132639 123274 123748 993088 993504 993557 994039 995768 996045 996762 997205 
1 32 3207 3678 1080 1552 516 1028 560 1137 25870 26343 30220 30707 25192 25743 28704 29181 70643 71154 68135 68598 71617 72090 71613 72085 129592 130049 127180 127629 132686 133137 123794 124254 993550 994037 994085 994539 996091 996551 997252 997705 
2 64 3726 4180 1603 1912 1076 1369 1186 1684 26394 26893 30763 31177 25796 26330 29233 29698 71201 71608 68644 69049 72138 72537 72133 72534 130095 130423 127676 128022 133183 133602 124300 124721 994083 994346 994585 994864 996597 996874 997751 998023 
3 96 4236 4705 1965 2429 1421 1906 1730 2274 26941 27411 31228 31733 26390 26879 29748 30227 71664 72149 69100 69563 72593 73041 72586 73055 130470 130934 128071 128559 133649 134169 124769 125267 994392 994831 994910 995367 996920 997383 998069 998639 
4 128 4795 5266 2519 3040 1992 2428 2366 2845 27487 27938 31809 32322 26963 27410 30301 30767 72238 72682 69638 70084 73115 73651 73128 73650 131003 131444 128647 129103 134264 135100 125342 125853 994907 995264 995436 995756 997452 997727 998708 999171 
5 160 5317 5787 3088 3554 2481 3042 2906 3392 27984 28436 32380 32945 27458 27942 30816 31330 72744 73236 70131 70595 73700 74204 73698 74182 131491 131991 129158 129696 135159 135656 125906 126420 995310 995755 995803 996259 997773 998238 999218 999674 
6 192 5840 6147 3602 3992 3117 3631 3438 3869 28485 29022 32993 33471 27989 28438 31386 31900 73287 73775 70643 71169 74250 74524 74228 74516 132037 132361 129745 130196 135704 136217 126466 126917 995801 996065 996305 996708 998284 998642 999720 1000005 
7 224 6197 6704 4043 4509 3704 4178 3934 4433 29070 29574 33517 33982 28488 29017 31961 32478 73825 74303 71218 71708 74575 75057 74566 75056 132409 132900 130242 130724 136263 136854 126963 127423 996111 996555 996754 997204 998691 999170 1000052 1000505 
8 256 6794 7300 4608 5019 4266 4742 4517 4804 29667 30166 34072 34534 29098 29578 32567 33007 74382 74821 71805 72227 75139 75611 75134 75620 132971 133421 130799 131260 136968 137574 127492 127912 996624 996901 997273 997706 999239 999675 1000574 1001013 
9 288 7357 7845 5072 5539 4791 5336 4850 5349 30236 30705 34580 35081 29629 30167 33059 33519 74871 75350 72277 72745 75657 76115 75667 76124 133467 133935 131311 131846 137624 138090 127958 128457 996947 997390 997753 998200 999722 1000181 1001060 1001506 
10 320 7901 8354 5589 6085 5386 5810 5396 5806 30752 31168 35128 35553 30220 30525 33565 34018 75397 75879 72796 73250 76161 76487 76170 76484 133981 134302 131896 132353 138136 138586 128503 128951 997436 997713 998246 998640 1000227 1000506 1001552 1001812 
11 352 8400 8871 6131 6611 5865 6363 5865 6427 31214 31728 35607 36122 30575 31100 34064 34532 75925 76391 73307 73774 76533 77029 76530 77028 134348 134859 132455 133065 138653 139204 128998 129509 997759 998204 998687 999135 1000553 1001012 1001858 1002304 
12 384 8960 9245 6691 7287 6436 7045 6529 7144 31817 32324 36199 36663 31175 31640 34618 35117 76462 76807 73865 74305 77104 77523 77098 77520 134960 135571 133147 133601 139287 139815 129585 129890 998273 998641 999204 999474 1001081 1001508 1002373 1002886 
13 416 9317 9811 7340 7801 7091 7567 7202 7695 32370 32945 36710 37180 31687 32187 35179 35737 76853 77400 74356 74856 77569 78028 77567 78027 135621 136152 133650 134351 139872 140323 129936 130418 998689 999136 999520 1000004 1001554 1002017 1002933 1003373 
14 448 9863 10248 7851 8349 7614 7992 7753 8054 33005 33500 37229 37673 32233 32512 35788 36257 77465 77921 74904 75352 78075 78538 78073 78539 136202 136760 134400 135019 140369 140655 130464 130789 999183 999460 1000050 1000312 1002063 1002325 1003419 1003690 
15 480 10294 10833 8402 8851 8048 8569 8102 8608 33546 34003 37721 38179 32566 33148 36310 36833 77977 78490 75398 75879 78596 79085 78593 79062 136824 137317 135111 135655 140701 141159 130836 131296 999506 999953 1000358 1000826 1002371 1002885 1003736 1004199 
16 512 10952 11430 8942 9233 8673 9109 8722 9118 34079 34536 38265 38728 33233 33540 36919 37389 78574 79045 75965 76460 79195 79648 79145 79582 137430 137903 135732 136229 141254 141690 131365 131845 1000022 1000292 1000896 1001174 1002954 1003393 1004268 1004734 
17 544 11482 12000 9303 9813 9163 9677 9181 9689 34582 35087 38784 39241 33586 34103 37435 37899 79091 79579 76506 77026 79708 80231 79633 80161 137976 138461 136283 136848 141742 142191 131891 132351 1000338 1000779 1001220 1001675 1003440 1003900 1004781 1005228 
18 576 12066 12576 9868 10250 9727 10214 9744 10217 35137 35595 39291 39775 34153 34597 37951 38426 79634 80161 77072 77407 80277 80751 80207 80700 138530 138855 136894 137542 142248 142669 132397 132884 1000825 1001094 1001721 1002020 1003946 1004216 1005274 1005548 
19 608 12631 13100 10317 10833 10277 10829 10265 10827 35656 36125 39822 40272 34650 35155 38477 38997 80213 80701 77457 77912 80797 81304 80748 81214 138910 139451 137588 138038 142717 143185 132930 133471 1001140 1001588 1002067 1002521 1004262 1004733 1005594 1006040 
20 640 13194 13656 10948 11421 10931 11407 10912 11411 36209 36763 40354 40711 35244 35748 39089 39593 80775 81235 77995 78497 81385 81865 81288 81789 139582 140012 138108 138576 143261 143748 133564 134137 1001657 1002018 1002590 1002888 1004802 1005231 1006109 1006560 
21 672 13708 14193 11472 11942 11457 11995 11486 11999 36811 37281 40762 41238 35796 36290 39641 40116 81284 81787 78544 79008 81914 82370 81841 82312 140095 140666 138622 139168 143794 144250 134282 134863 1002065 1002499 1002937 1003392 1005280 1005743 1006607 1007053 
22 704 14239 14723 12004 12378 12044 12567 12063 12574 37335 37801 41285 41769 36336 36846 40170 40653 81838 82161 79054 79475 82417 82712 82378 82709 140731 141176 139214 139489 144297 144719 134998 135558 1002545 1002887 1003438 1003711 1005789 1006058 1007099 1007370 
23 736 14769 15268 12431 12882 12617 13092 12627 13103 37847 38335 41815 42282 36894 37387 40712 41227 82207 82662 79521 80030 82764 83314 82761 83305 141222 141689 139535 140000 144765 145320 135612 136151 1002935 1003374 1003757 1004209 1006104 1006559 1007416 1007857 
24 768 15353 15870 12981 13341 13182 13664 13193 13658 38414 38754 42362 42817 37464 37904 41321 41791 82735 83151 80114 80560 83391 83805 83375 83800 141769 142219 140081 140608 145398 145856 136277 136850 1003444 1003902 1004278 1004735 1006628 1007056 1007926 1008376 
25 800 15916 16405 13399 13847 13729 14242 13709 14223 38806 39255 42863 43307 37958 38477 41850 42372 83203 83773 80607 81055 83857 84472 83846 84465 142266 142771 140656 141133 145903 146357 136897 137559 1003948 1004397 1004783 1005229 1007105 1007562 1008423 1008884 
26 832 16451 16732 13917 14262 14297 14773 14276 14763 39304 39785 43354 43718 38523 39002 42431 42961 83819 84462 81101 81377 84526 84981 84512 85000 142819 143286 141181 141588 146403 146866 137612 138040 1004443 1004736 1005276 1005549 1007608 1007876 1008930 1009192 
27 864 16786 17268 14320 14768 14825 15317 14815 15281 39840 40318 43768 44223 39050 39592 43016 43533 84516 84996 81423 81877 85030 85497 85051 85568 143332 143800 141642 142132 146914 147372 138086 138572 1004785 1005230 1005596 1006046 1007923 1008375 1009238 1009684 
28 896 17357 17771 14850 15290 15423 15892 15373 15885 40402 40721 44302 44793 39699 40138 43614 44032 85073 85577 81951 82396 85571 85860 85641 86165 143886 144369 142214 142668 147448 147950 138734 139204 1005301 1005744 1006115 1006561 1008444 1008887 1009753 1010021 
29 928 17824 18492 15336 15774 15949 16439 15945 16413 40775 41274 44840 45312 40195 40708 44090 44586 85625 86095 82444 83012 85906 86358 86211 86703 144427 144881 142715 143183 147996 148446 139252 139794 1005791 1006240 1006609 1007054 1008936 1009394 1010067 1010516 
