0 0 1234 1664 3323 3772 3904 4307 0 442 23803 24288 24810 25235 27134 27429 31264 31735 69611 69896 69305 69766 73088 73423 71701 72156 131594 132064 130046 130320 129234 129689 129698 130038 1056453 1056932 1057003 1057527 1057434 1057873 1058394 1058824 1102620 1102913 1105512 1105847 1105292 1105744 1109338 1109829 1182673 1182947 1182649 1182940 1180650 1181115 1187806 1188247 1289500 1289951 1290565 1290990 1290993 1291452 1288975 1289359 
1 32 1720 2200 3818 4282 4359 4831 492 999 24352 24806 25283 25722 27476 28010 31786 32298 69962 70502 69814 70284 73469 73946 72204 72693 132112 132549 130366 130825 129735 130216 130088 130583 1056984 1057473 1057580 1058076 1057925 1058412 1058870 1059323 1102963 1103453 1105894 1106350 1105798 1106302 1109879 1110355 1182999 1183481 1183003 1183482 1181165 1181649 1188296 1188754 1289998 1290463 1291038 1291513 1291499 1291930 1289405 1289872 
2 64 2252 2533 4340 4649 4892 5323 1053 1409 24853 25236 25768 26116 28061 28517 32366 32824 70548 70973 70330 70804 73992 74528 72744 73188 132597 133083 130871 131251 130262 130691 130634 131103 1057526 1057907 1058147 1058498 1058459 1058942 1059369 1059643 1103502 1103912 1106397 1106812 1106348 1106800 1110408 1110703 1183528 1184004 1183529 1184002 1181695 1182152 1188804 1189310 1290509 1290939 1291561 1291957 1291976 1292245 1289918 1290189 
3 96 2605 3108 4703 5166 5375 5899 1467 1941 25283 25875 26177 26630 28564 29051 32883 33357 71020 71482 70850 71313 74575 75056 73234 73721 133130 133740 131297 131776 130737 131188 131151 131608 1057975 1058476 1058552 1059016 1058993 1059522 1059700 1060190 1103958 1104441 1106859 1107327 1106846 1107320 1110761 1111219 1184050 1184538 1184048 1184501 1182201 1182648 1189383 1189881 1290985 1291451 1292003 1292436 1292291 1292729 1290235 1290702 
4 128 3192 3576 5249 5593 5992 6270 2055 2471 25948 26226 26711 27149 29126 29600 33431 33867 71559 71955 71384 71843 75143 75522 73807 74252 133827 134374 131848 132294 131257 131613 131679 132190 1058565 1059021 1059107 1059569 1059609 1059898 1060291 1060740 1104530 1104962 1107408 1107798 1107398 1107796 1111310 1111760 1184615 1185000 1184579 1185000 1182729 1183170 1189982 1190440 1291520 1291954 1292506 1292779 1292798 1293067 1290771 1291067 
5 160 3622 4142 5646 6165 6321 6816 2524 3024 26278 26734 27215 27712 29656 30162 33913 34389 72009 72472 71890 72336 75588 76064 74298 74811 134494 135188 132341 132850 131661 132185 132239 132846 1059088 1059564 1059619 1060088 1059948 1060410 1060786 1061248 1105019 1105498 1107855 1108347 1107845 1108330 1111815 1112305 1185051 1185524 1185048 1185503 1183217 1183676 1190542 1191105 1292001 1292457 1292825 1293276 1293113 1293552 1291113 1291578 
6 192 4188 4484 6220 6740 6873 7340 3084 3503 26795 27170 27761 28054 30213 30699 34436 34902 72518 72906 72399 72902 76110 76565 74857 75188 135259 135726 132897 133357 132232 132561 132912 133366 1059623 1060109 1060142 1060582 1060462 1060911 1061295 1061683 1105549 1105849 1108393 1108801 1108376 1108792 1112354 1112816 1185570 1186103 1185549 1186009 1183723 1184158 1191274 1191793 1292503 1292767 1293323 1293599 1293598 1294015 1291624 1291959 
7 224 4557 5069 6790 7318 7408 7900 3559 4122 27223 27716 28101 28578 30747 31244 34961 35438 72956 73404 72950 73397 76612 77094 75239 75765 135773 136310 133403 133874 132607 133081 133526 134119 1060156 1060638 1060653 1061123 1060966 1061433 1061742 1062235 1105903 1106372 1108847 1109323 1108838 1109319 1112873 1113336 1186153 1186666 1186058 1186518 1184204 1184655 1191844 1192310 1292813 1293275 1293646 1294091 1294061 1294507 1292007 1292465 
8 256 5161 5589 7414 7902 8020 8499 4227 4508 27809 28273 28659 29063 31348 31867 35522 35841 73491 73951 73481 73948 77175 77649 75848 76314 136429 136935 133982 134384 133153 133515 134204 134648 1060727 1061122 1061200 1061652 1061511 1061905 1062338 1062835 1106475 1106920 1109429 1109840 1109412 1109840 1113426 1113890 1186735 1187184 1186591 1187023 1184736 1185207 1192397 1192838 1293344 1293793 1294160 1294508 1294576 1294997 1292536 1292983 
9 288 5650 6166 7951 8434 8552 9113 4559 5036 28319 28768 29109 29597 31914 32398 35893 36362 73997 74530 73994 74526 77695 78207 76362 76890 137101 137597 134480 135234 133561 134046 134737 135435 1061170 1061649 1061702 1062160 1061960 1062428 1062901 1063378 1106966 1107438 1109887 1110326 1109905 1110389 1113944 1114407 1187231 1187714 1187070 1187531 1185253 1185707 1192885 1193375 1293840 1294303 1294555 1294996 1295044 1295485 1293032 1293499 
10 320 6216 6634 8489 8994 9163 9606 5093 5579 28816 29305 29651 30138 32459 32924 36412 36906 74576 75011 74572 75009 78257 78737 76949 77618 137657 137994 135283 135809 134093 134389 135483 135812 1061715 1062169 1062206 1062727 1062498 1062856 1063424 1063934 1107491 1108010 1110373 1110657 1110435 1110709 1114476 1114924 1187761 1188042 1187578 1188051 1185753 1186212 1193425 1193885 1294349 1294628 1295042 1295359 1295531 1295852 1293546 1293814 
