0 0 130273452
1 2 130273440
2 4 130273408
3 6 130273430
4 19 130308048
5 22 130308050
6 24 130307989
7 17 130307991
540 38 130376993
541 40 130376998
542 31 130376947
543 33 130376901
548 53 260339156
549 46 260339166
550 48 260339119
551 51 260339020
1084 77 260408078
1085 79 260408136
1086 81 260408124
1087 83 260407966
1092 121 260545639
1093 118 260545699
1094 120 260545853
1095 119 260545598
1628 163 390163416
1629 165 390163500
1630 162 390112092
1631 164 390163604
1636 177 390335366
1637 182 390386893
1638 184 390335522
1639 175 390335472
2352 130437816 390732037
2353 130437817 390731884
2354 130437817 390732327
2355 130405048 390732182
2600 130470588 519989328
2601 130470587 519989201
2602 130470587 519938172
2603 130470588 519886862
2816 130536124 520263946
2817 130536124 520315148
2818 130536124 520366253
2819 130503357 520263987
3176 260494012 520917757
3177 260494013 520917785
3178 260494013 520917738
3179 260494012 520917952
3260 260559542 649663004
3261 260559546 649850408
3262 260526783 649764832
3263 260526783 649799432
3520 260706992 650158584
3521 260674228 650243873
3522 260706996 650209600
3523 260674228 650345788
3920 390320829 651102575
3921 390320829 651085501
3922 390320829 651102515
3923 390320829 651085036
4104 390517437 779626565
4105 390550205 779490618
4106 390550205 779626828
4107 390550205 779592354
4392 390894260 780274828
4393 390894260 780139324
4394 390861497 780173184
4395 390861497 780138971
4716 520147640 781268087
4717 520147640 781285671
4718 520147640 781268670
4719 520147641 781285578
5012 520524469 909249652
5013 520524468 909283675
5014 520524468 909148389
5015 520491700 909283856
5244 521081533 909863125
5245 521081528 909998513
5246 521081532 909863497
5247 521081529 909897253
5624 650007221 911261131
5625 650007220 911243947
5626 650007220 911261479
5627 650007221 911244563
5876 650498745 1004512091
5877 650498745 1004491851
5878 650498744 1004512099
5879 650498744 1004418087
6080 651219640 1004815434
6081 651252408 1004801700
6082 651252408 1004842654
6083 651252409 1004801770
