48 1536 15921 16197 15584 15857 15631 15911 15749 16025 15933 16214 15514 15786 15516 15787 15751 16029 15944 16220 
49 1568 16244 16516 15905 16176 15958 16221 16072 16342 16261 16531 15833 16099 15835 16101 16076 16346 16267 16535 
50 1600 16562 16835 16222 16498 16268 16542 16388 16660 16577 16848 16145 16411 16147 16412 16392 16664 16581 16852 
51 1632 16880 17148 16543 16817 16587 16859 16705 16975 16893 17163 16456 16724 16458 16726 16709 16979 16897 17167 
52 1664 17210 17489 16877 17149 16919 17198 17044 17323 17223 17502 16784 17058 16786 17060 17042 17319 17229 17506 
53 1696 17536 17808 17197 17470 17246 17520 17370 17640 17557 17825 17105 17375 17107 17374 17366 17636 17553 17821 
54 1728 17854 18125 17516 17788 17566 17837 17686 17957 17872 18140 17422 17686 17420 17685 17682 17953 17868 18136 
55 1760 18170 18439 17833 18109 17882 18154 18002 18273 18187 18459 17734 17998 17730 17997 17998 18269 18183 18455 
56 1792 18499 18783 18169 18454 18214 18507 18336 18626 18525 18814 18061 18349 18057 18348 18338 18630 18527 18818 
57 1824 18833 19112 18501 18782 18554 18838 18673 18959 18861 19145 18397 18677 18395 18676 18677 18963 18865 19149 
58 1856 19161 19442 18828 19111 18884 19169 19005 19291 19191 19476 18726 19005 18722 19004 19009 19295 19195 19481 
59 1888 19490 19777 19156 19442 19214 19500 19336 19621 19521 19805 19053 19332 19049 19331 19340 19625 19526 19809 
60 1920 19837 20126 19504 19795 19560 19852 19690 19983 19874 20169 19393 19684 19391 19683 19688 19979 19872 20165 
61 1952 20174 20468 19842 20125 19899 20186 20030 20314 20218 20502 19732 20015 19730 20014 20026 20310 20214 20498 
62 1984 20516 20802 20171 20456 20232 20517 20360 20643 20549 20833 20062 20342 20060 20341 20356 20639 20544 20829 
63 2016 20847 21132 20501 20787 20563 20848 20688 20972 20878 21163 20388 20666 20386 20665 20684 20968 20874 21159 
64 2048 21192 21479 20847 21133 20909 21197 21035 21320 21227 21512 20727 21009 20725 21008 21037 21324 21229 21517 
65 2080 21529 21810 21181 21462 21244 21524 21367 21647 21559 21840 21057 21331 21055 21329 21371 21651 21564 21844 
66 2112 21858 22139 21508 21790 21570 21852 21693 21972 21886 22166 21377 21651 21375 21649 21697 21976 21890 22170 
67 2144 22184 22462 21835 22117 21897 22178 22018 22298 22211 22491 21698 21973 21694 21971 22022 22302 22215 22495 
68 2176 22523 22811 22177 22461 22239 22526 22367 22655 22560 22849 22035 22316 22031 22315 22365 22651 22558 22844 
69 2208 22861 23142 22508 22790 22573 22855 22702 22982 22896 23176 22364 22638 22362 22637 22698 22978 22891 23172 
70 2240 23190 23471 22836 23118 22901 23182 23028 23308 23222 23502 22685 22961 22683 22960 23024 23304 23218 23498 
71 2272 23516 23791 23163 23445 23227 23507 23353 23632 23547 23830 23007 23283 23005 23282 23349 23628 23543 23823 
72 2304 23853 24133 23505 23783 23567 23851 23695 23975 23892 24176 23344 23618 23342 23617 23697 23979 23886 24166 
73 2336 24181 24460 23830 24106 23898 24167 24022 24295 24225 24499 23666 23934 23664 23933 24028 24299 24214 24487 
74 2368 24506 24786 24152 24426 24214 24484 24343 24616 24549 24824 23981 24251 23979 24250 24347 24620 24533 24800 
75 2400 24831 25107 24471 24746 24529 24799 24661 24934 24871 25138 24297 24566 24295 24565 24665 24938 24846 25119 
