40 1280 13098 13387 13175 13468 13229 13523 13080 13369 13083 13370 13177 13475 13122 13410 13062 13356 13121 13409 13094 13388 13051 13347 
41 1312 13434 13714 13515 13804 13571 13859 13418 13699 13418 13700 13522 13808 13458 13739 13403 13690 13459 13741 13436 13716 13394 13681 
42 1344 13761 14048 13850 14138 13905 14193 13745 14031 13747 14032 13854 14140 13785 14068 13736 14023 13789 14070 13762 14050 13727 14015 
43 1376 14093 14379 14183 14469 14238 14525 14076 14360 14079 14367 14187 14473 14113 14398 14069 14356 14119 14399 14095 14380 14060 14348 
44 1408 14440 14727 14538 14832 14585 14879 14423 14712 14428 14713 14536 14828 14462 14749 14425 14723 14460 14747 14441 14729 14409 14703 
45 1440 14775 15056 14879 15166 14926 15213 14761 15042 14763 15049 14875 15162 14798 15080 14770 15050 14794 15077 14776 15057 14751 15041 
46 1472 15102 15382 15212 15498 15260 15548 15090 15372 15095 15377 15208 15494 15128 15409 15097 15378 15123 15406 15104 15383 15087 15371 
47 1504 15428 15711 15543 15830 15593 15882 15418 15701 15422 15705 15539 15825 15456 15740 15424 15706 15451 15735 15430 15712 15416 15700 
48 1536 15773 16052 15891 16169 15942 16221 15762 16039 15766 16040 15885 16165 15800 16083 15768 16043 15796 16073 15774 16053 15760 16038 
49 1568 16099 16368 16216 16487 16268 16542 16087 16359 16090 16360 16212 16483 16132 16405 16091 16363 16120 16392 16101 16369 16087 16362 
50 1600 16415 16685 16533 16804 16588 16862 16405 16677 16408 16678 16529 16800 16453 16726 16411 16681 16438 16713 16417 16680 16409 16686 
51 1632 16730 17004 16849 17120 16907 17180 16722 16992 16726 16995 16845 17116 16777 17050 16728 16996 16758 17029 16726 16993 16732 17005 
52 1664 17067 17342 17183 17460 17240 17520 17052 17330 17060 17334 17185 17464 17114 17392 17058 17335 17090 17368 17054 17329 17068 17341 
53 1696 17392 17657 17507 17777 17567 17840 17378 17646 17383 17647 17511 17781 17442 17714 17383 17650 17415 17690 17376 17645 17388 17656 
54 1728 17704 17970 17823 18094 17886 18159 17693 17963 17695 17964 17827 18098 17760 18032 17697 17967 17738 18011 17691 17962 17702 17969 
55 1760 18017 18295 18139 18410 18204 18477 18009 18277 18013 18291 18143 18414 18077 18350 18013 18281 18060 18335 18007 18276 18015 18282 
56 1792 18355 18650 18470 18765 18538 18832 18347 18641 18362 18659 18476 18769 18414 18706 18345 18637 18395 18693 18336 18629 18343 18630 
57 1824 18699 18991 18812 19099 18879 19168 18688 18973 18708 19000 18816 19103 18753 19040 18684 18969 18742 19031 18676 18958 18678 18959 
58 1856 19037 19325 19145 19430 19214 19502 19019 19303 19046 19329 19149 19434 19086 19366 19015 19299 19079 19366 19004 19287 19006 19288 
59 1888 19370 19660 19475 19761 19547 19835 19348 19632 19375 19664 19479 19765 19413 19695 19344 19628 19413 19699 19332 19613 19334 19614 
60 1920 19722 20017 19832 20126 19895 20188 19695 19991 19728 20026 19830 20122 19757 20047 19697 19995 19761 20048 19673 19962 19675 19963 
61 1952 20064 20350 20173 20459 20235 20523 20038 20323 20073 20359 20169 20455 20094 20374 20042 20327 20096 20377 20009 20291 20011 20292 
62 1984 20396 20685 20505 20792 20569 20857 20369 20655 20405 20692 20501 20788 20421 20702 20373 20659 20423 20703 20337 20619 20339 20620 
63 2016 20730 21016 20837 21123 20902 21196 20700 20989 20737 21020 20833 21119 20747 21030 20704 20993 20750 21031 20664 20947 20666 20948 
64 2048 21089 21379 21186 21473 21256 21546 21058 21347 21081 21372 21188 21477 21090 21374 21056 21343 21092 21383 21007 21290 21009 21291 
65 2080 21426 21709 21520 21802 21593 21877 21394 21676 21421 21703 21524 21806 21421 21703 21390 21672 21430 21713 21337 21615 21339 21616 
66 2112 21755 22039 21848 22130 21923 22207 21722 22004 21749 22032 21852 22134 21751 22032 21718 22000 21761 22043 21661 21942 21663 21943 
67 2144 22084 22367 22175 22457 22252 22535 22049 22331 22077 22359 22179 22461 22079 22357 22045 22327 22090 22371 21987 22272 21989 22273 
68 2176 22436 22728 22526 22817 22595 22885 22394 22680 22425 22713 22524 22813 22417 22707 22396 22684 22434 22724 22332 22616 22334 22617 
69 2208 22777 23057 22864 23146 22932 23215 22727 23009 22762 23045 22860 23142 22754 23037 22731 23013 22771 23053 22663 22941 22665 22942 
70 2240 23104 23388 23192 23473 23261 23544 23055 23339 23092 23374 23188 23469 23083 23365 23059 23343 23099 23378 22987 23264 22989 23265 
71 2272 23433 23716 23518 23800 23589 23874 23384 23668 23419 23703 23514 23796 23410 23694 23388 23672 23424 23707 23309 23589 23313 23591 
72 2304 23780 24072 23863 24143 23934 24219 23737 24019 23773 24053 23865 24147 23754 24035 23735 24015 23775 24057 23649 23930 23655 23931 
73 2336 24119 24395 24190 24464 24267 24544 24066 24341 24100 24375 24194 24468 24082 24357 24062 24337 24104 24379 23977 24251 23983 24252 
74 2368 24441 24717 24510 24785 24590 24866 24387 24662 24421 24696 24514 24789 24403 24679 24383 24658 24425 24700 24297 24566 24299 24567 
75 2400 24762 25037 24830 25103 24911 25189 24707 24982 24741 25014 24834 25107 24724 24999 24703 24978 24745 25018 24611 24883 24613 24884 
76 2432 25101 25385 25172 25459 25249 25531 25045 25325 25083 25364 25170 25455 25059 25341 25047 25329 25081 25360 24943 25222 24945 25221 
77 2464 25432 25707 25506 25781 25578 25854 25372 25647 25411 25684 25502 25777 25388 25665 25376 25651 25415 25688 25270 25538 25268 25537 
