0 0 61484 62112 0 299 10034 10464 2105 2668 103606 104295 23247 23658 40937 41461 27879 28346 164799 165506 77807 78434 67072 67477 73077 73903 213221 213746 
1 32 62159 62874 348 1046 10512 11224 2712 3390 104342 105009 23702 24662 41505 42077 28398 29098 165557 166253 78479 79148 67522 68207 73948 74709 213795 214480 
2 64 62934 63620 1092 1470 11290 11902 3434 3794 105060 105743 24707 25256 42121 42758 29143 29708 166298 166959 79192 79775 68254 68927 74754 75409 214528 214923 
3 96 63672 64369 1524 2225 11956 12696 3842 4590 105792 106729 25300 25990 42802 43440 29752 30317 167004 167509 79819 80711 68972 69613 75454 76135 214970 215658 
4 128 64459 65126 2322 2963 12782 13260 4679 5315 106814 107650 26063 26688 43525 44210 30395 31055 167582 168234 80790 81460 69686 70239 76208 76883 215733 216458 
5 160 65170 65954 3010 3717 13307 14022 5360 6010 107697 108423 26732 27427 44259 44912 31101 31621 168278 168972 81507 82182 70283 71177 76928 77446 216505 217021 
6 192 66005 66618 3761 4580 14070 14585 6059 6500 108475 109167 27471 28135 44956 45636 31665 32143 169017 169722 82227 82485 71221 71767 77490 78034 217065 217384 
7 224 66665 67414 4624 5314 14630 15374 6552 7221 109217 109965 28179 28881 45687 46370 32193 32878 169770 170641 82531 83432 71811 72461 78078 78587 217430 218120 
8 256 67532 68213 5387 6018 15452 16073 7335 7840 110053 110700 28954 29287 46460 47112 32956 33435 170740 171425 83512 83873 72534 73030 78660 79212 218194 218695 
9 288 68257 68956 6070 6776 16124 16850 7884 8542 110751 111421 29331 30090 47161 47844 33480 34041 171477 172164 83917 84599 73074 73902 79257 79776 218740 219260 
10 320 69006 69908 6824 7547 16894 17396 8591 9122 111467 112150 30134 30722 47889 48494 34093 34747 172209 172898 84643 85290 73946 74708 79822 80708 219305 219822 
11 352 69953 70659 7596 8312 17447 18159 9169 9972 112204 112865 30766 31460 48541 49243 34797 35320 172945 173634 85334 86144 74752 75408 80753 81268 219867 220376 
12 384 70748 71355 8405 9098 18244 18819 10058 10471 112947 113589 31533 32132 49316 49947 35393 35842 173710 174441 86223 86891 75481 76148 81342 81765 220449 220911 
13 416 71411 72264 9154 9842 18866 19574 10515 11199 113638 114311 32186 32877 49991 50757 35886 36534 174489 175177 86938 87621 76193 76880 81809 82440 220955 221665 
14 448 72309 72918 9886 10255 19618 20135 11250 11883 114355 114850 32921 33434 50802 51296 36584 37265 175226 175648 87668 88364 76927 77617 82485 82965 221710 222241 
15 480 72973 73675 10300 11003 20186 20890 11927 12580 114902 115601 33482 34177 51347 51999 37320 37858 175696 176383 88408 89034 77662 78351 83010 83688 222287 222807 
16 512 73776 74367 11092 11363 20973 21511 12671 13250 115688 116314 34251 34928 52084 52476 37946 38616 176461 177160 89111 89804 78425 78793 83765 84226 222880 223445 
17 544 74413 75118 11415 12187 21558 22281 13297 13989 116362 117025 34981 35678 52521 53167 38660 39282 177206 177895 89851 90538 78841 79522 84274 84948 223489 224012 
18 576 75165 75590 12233 12922 22327 22837 14058 14586 117077 117487 35724 36533 53214 53772 39327 40026 177940 178207 90585 91102 79573 80253 84998 85683 224056 224586 
19 608 75635 76361 12970 13682 22882 23593 14633 15375 117551 118233 36579 37264 53821 54462 40071 40590 178259 178940 91151 91838 80298 80997 85728 86426 224631 225233 
20 640 76448 76998 13769 14170 23681 24381 15459 16074 118326 119038 37350 37857 54535 55121 40663 41282 179023 179686 91914 92581 81078 81757 86506 87077 225311 225961 
21 672 77054 77752 14219 14934 24430 25188 16128 16784 119083 119757 37901 38608 55165 55839 41326 41838 179733 180420 92627 93327 81801 82434 87125 87810 226007 226697 
22 704 77797 78437 14979 15648 25237 25825 16831 17361 119801 120423 38652 39277 55883 56492 41889 42312 180465 180724 93372 93629 82478 82964 87860 88367 226742 227473 
23 736 78493 79211 15692 16393 25869 26562 17407 18072 120475 121149 39321 40023 56537 57217 42357 42882 180771 181456 93673 94460 83009 83691 88411 89125 227522 228216 
24 768 79309 79776 16473 17004 26636 26929 18153 18810 121245 121847 40098 40653 57290 57952 42955 43451 181530 182274 94538 95227 83772 84228 89204 89807 228294 228800 
25 800 79832 80710 17061 17789 26981 27692 18855 19523 121891 122544 40698 41387 57998 58669 43502 44212 182319 183003 95274 95970 84276 84949 89858 90541 228846 229676 
26 832 80755 81456 17846 18537 27736 28344 19573 20052 122588 123160 41434 41991 58718 59261 44262 44914 183048 183441 96016 96698 85000 85684 90590 91102 229722 230236 
27 864 81502 82215 18591 19310 28397 29097 20096 20759 123206 123914 42036 42749 59311 59988 44963 45637 183486 184176 96742 97426 85730 86381 91147 91837 230282 230876 
28 896 82295 82956 19392 20037 29175 29714 20845 21431 124004 124785 42826 43443 60062 60508 45734 46383 184281 185004 97502 97993 86457 87070 91913 92576 230956 231457 
29 928 83018 83727 20081 20808 29759 30465 21480 22159 124832 125518 43487 44170 60565 61401 46429 47113 185055 185759 98041 98732 87114 87811 92621 93317 231505 232457 
