0 0 22301 22957 21284 21755 870 1561 0 783 104472 105009 102280 102868 84701 85310 76227 76946 209351 210113 203129 203713 163495 164065 169086 169765 366153 366755 374410 375097 303531 304073 312708 313206 615581 616173 618975 619648 533786 534185 525971 526368 920086 920602 915298 915554 795322 795910 799176 799532 1150600 1150853 1148573 1148839 
1 32 23009 23736 21806 22636 1611 2382 831 1504 105057 105755 102923 103694 85365 86030 76999 77669 210172 210864 203772 204476 164131 164817 169821 170576 366800 367696 375148 375883 304117 304895 313251 313910 616217 616904 619696 620354 534246 534932 526412 527097 920653 921184 915600 916213 795954 796650 799576 800084 1150898 1151592 1148883 1149549 
2 64 23804 24415 22682 23323 2431 3281 1562 2075 105810 106520 103744 104463 86085 86765 77725 78222 210920 211552 204530 205246 164872 165637 170625 171331 367742 368635 375928 376528 304939 305470 313963 314649 616948 617284 620399 620989 534977 535506 527149 527427 921228 921564 916257 916667 796694 797482 800128 800799 1151640 1151898 1149593 1149861 
3 96 24490 25203 23385 24352 3338 4070 2137 2812 106577 107283 104525 105230 86812 87363 78281 78888 211597 212291 205312 205963 165687 166616 171378 172081 368685 369220 376577 377295 305528 306213 314706 315436 617329 618015 621035 621701 535550 536240 527472 528336 921623 922307 916718 917393 797526 798223 800844 801343 1151943 1152622 1149905 1150573 
4 128 25287 25988 24469 25205 4169 4763 2901 3426 107414 108135 105322 105845 87456 88171 78976 79635 212389 212773 206094 206763 166723 167332 172165 172830 369297 369911 377372 378048 306319 306973 315516 316215 618104 618763 621786 622460 536318 536895 528419 528906 922387 922882 917480 917743 798298 798791 801416 801723 1152695 1152946 1150646 1150911 
5 160 26049 26770 25259 25984 4831 5829 3477 4155 108202 109143 105917 106795 88222 88959 79692 80431 212828 213605 206809 207509 167380 168043 172880 173726 369958 370519 378097 378811 307033 307610 316260 317052 618807 619558 622517 623291 536939 537632 528950 529641 922926 923451 917791 918440 798835 799528 801767 802268 1152990 1153671 1150955 1151621 
6 192 26818 27560 26034 26731 5882 6518 4211 4769 109191 109895 106843 107597 89008 89722 80484 81024 213660 214329 207566 208276 168094 168732 173780 174282 370568 371215 378855 379505 307654 308146 317099 317784 619602 620184 623336 623732 537676 538047 529686 530244 923499 923948 918491 918743 799572 800062 802312 802745 1153715 1153961 1151665 1151932 
7 224 27611 28326 26781 27560 6570 7347 4820 5508 109955 110636 107653 108366 89778 90438 81074 82032 214375 215118 208350 209273 168782 169465 174331 175038 371268 371800 379557 380284 308195 308931 317828 318669 620228 620983 623780 624438 538103 538839 530290 531054 923994 924693 918788 919461 800106 800798 802789 803480 1154005 1154697 1151976 1152629 
8 256 28439 29272 27669 28327 7475 8126 5593 6206 110732 111419 108451 109153 90528 91239 82146 82822 215222 215937 209390 210111 169551 170427 175137 175824 371886 372485 380379 381073 309052 309726 318747 319421 621057 621704 624528 625017 538925 539590 531133 531801 924766 925528 919536 920038 800872 801383 803554 804068 1154771 1155018 1152702 1152965 
9 288 29320 30092 28381 29096 8184 8919 6258 6965 111473 112386 109210 109936 91288 91905 82867 83533 215990 216711 210160 210691 170471 171139 175873 176594 372547 373233 381118 381821 309771 310447 319481 320168 621753 622456 625068 625724 539637 540322 531845 532536 925574 926100 920082 920604 801427 802123 804113 804797 1155062 1155754 1153009 1153672 
10 320 30146 30758 29149 29956 8976 9536 7016 7714 112431 113108 109989 110650 91964 92779 83584 84351 216761 217442 210763 211459 171189 171892 176638 177155 373292 373935 381868 382546 310495 311161 320220 320913 622506 623285 625776 626298 540366 540967 532580 533087 926144 926440 920655 921185 802167 802742 804842 805282 1155798 1156045 1153717 1153981 
11 352 30819 31549 30016 30751 9590 10322 7777 8462 113170 113881 110712 111417 92823 93638 84410 85145 217493 218183 211514 212234 171955 172719 177202 177971 373982 374691 382593 383361 311222 311904 320957 321556 623334 624041 626347 627010 541012 541911 533131 533839 926486 927017 921230 921773 802786 803479 805327 806040 1156089 1156777 1154025 1154698 
12 384 31660 32500 30839 31549 10408 11032 8553 9160 113989 114702 111519 112408 93733 94423 85244 85887 218282 218817 212330 212780 172820 173450 178073 178783 374780 375439 383459 384159 311994 312662 321630 322324 624116 624698 627090 627765 541986 542562 533912 534423 927104 927656 921856 922307 803553 804067 806115 806712 1156851 1157097 1154772 1155037 
13 416 32549 33331 31604 32490 11086 11844 9211 10156 114754 115428 112469 113442 94485 95060 85931 86550 218880 219593 212854 213588 173499 174022 178828 179535 375487 376213 384213 384953 312707 313246 322368 323041 624744 625432 627823 628478 542607 543286 534474 535161 927700 928228 922353 922885 804111 804796 806756 807455 1157141 1157831 1155081 1155755 
14 448 33382 34101 32542 33177 11903 12412 10201 10778 115481 116196 113490 114173 95115 95837 86601 87242 219638 220223 213645 214335 174071 174735 179579 180126 376267 376881 385013 385723 313297 313912 323095 323739 625483 626008 628528 629137 543331 543867 535210 535905 928278 928933 922935 923452 804840 805281 807500 807944 1157875 1158122 1155800 1156064 
15 480 34161 34915 33237 34077 12458 13184 10826 11623 116255 116963 114235 114939 95882 96596 87291 87958 220276 220982 214386 214917 174785 175696 180171 180982 376927 377460 385773 386533 313975 314648 323794 324712 626056 626751 629187 629886 543911 544628 535952 536645 928977 929561 923498 924037 805325 806039 807989 808681 1158166 1158851 1156108 1156778 
16 512 34995 35826 34182 34915 13269 13718 11717 12240 117071 117684 115030 115787 96687 97359 88059 88717 221090 221775 215011 215587 175783 176455 181082 181868 377546 378129 386616 387313 314751 315440 324823 325759 626858 627347 629968 630438 544703 545116 536732 537076 929642 930121 924110 924698 806113 806710 808756 809203 1158925 1159171 1156852 1157119 
17 544 35886 36637 34974 35826 13778 14507 12298 12983 117740 118461 115850 116646 97415 98142 88776 89324 221849 222744 215638 216357 176507 177155 181917 182629 378183 378815 387360 388062 315496 316285 325818 326520 627391 628120 630490 631191 545162 545855 537120 537811 930166 930746 924742 925527 806754 807454 809248 809984 1159215 1159895 1157163 1157832 
18 576 36688 37461 35874 36381 14559 15214 13037 13698 118524 119178 116706 117430 98193 98915 89381 90151 222792 223308 216410 216889 177214 177978 182681 183467 378865 379505 388114 388735 316342 317059 326564 327311 628166 628675 631236 631817 545901 546351 537855 538117 930790 931054 925571 926102 807498 807943 810028 810539 1159939 1160191 1157877 1158144 
19 608 37514 38240 36444 37158 15260 15989 13747 14405 119229 119997 117492 118036 98980 99892 90198 90874 223360 224100 216946 217611 178039 178761 183513 184233 379570 380286 388792 389489 317104 317788 327356 328082 628729 629416 631862 632553 546395 547104 538166 538847 931101 931637 926146 926677 807987 808680 810584 811431 1160235 1161071 1158188 1158853 
20 640 38365 38935 37249 38141 16084 16716 14494 15069 120100 120829 118125 118997 99998 100679 90968 91665 224191 224949 217704 218666 178863 179538 184306 184972 380375 381071 389568 390425 317886 318687 328170 328689 629500 629948 632649 633356 547204 547707 538929 539587 931724 932221 926750 927032 808754 809202 811505 811810 1161145 1161391 1158926 1159194 
21 672 38997 39720 38199 38929 16767 17488 15132 15971 120881 121604 119074 119764 100736 101441 91714 92545 225011 225708 218717 219247 179594 180267 185025 185749 381123 381807 390477 391191 318735 319418 328734 329510 629994 630704 633413 634094 547752 548451 539636 540318 932265 932837 927076 927658 809246 809941 811857 812557 1161435 1162122 1159238 1159905 
22 704 39766 40654 38983 39691 17532 18393 16031 16567 121659 122484 119814 120320 101498 102213 92591 93298 225762 226399 219299 219847 180312 181045 185806 186565 381852 382543 391249 391914 319473 320175 329566 330262 630749 631344 634139 634586 548497 549002 540363 540966 932886 933388 927702 928228 809985 810538 812602 813224 1162166 1162412 1159949 1160215 
23 736 40716 41473 39746 40649 18456 19395 16612 17321 122552 123362 120381 121142 102269 102861 93351 94034 226445 227150 219904 220695 181098 181879 186618 187330 382591 383212 391966 392694 320224 320920 330310 331016 631389 632075 634642 635337 549055 549750 541010 541910 933434 933970 928274 928924 810582 811430 813269 814084 1162456 1163146 1160259 1161072 
24 768 41570 42286 40769 41478 19476 20081 17410 17965 123488 124198 121233 121720 102973 103715 94167 94985 227251 227965 220787 221348 181972 182746 187419 188140 383310 383951 392778 393357 321007 321741 331098 331757 632149 632657 635429 636194 549827 550539 541984 542561 934045 934698 928997 929559 811504 811809 814158 814693 1163220 1163467 1161146 1161410 
25 800 42336 43054 41546 42286 20139 20885 18020 18846 124251 124943 121789 122477 103761 104457 95029 95805 228026 228718 221396 222182 182797 183500 188189 188922 384001 384572 393417 394216 321792 322496 331806 332541 632706 633405 636245 637180 550584 551283 542605 543285 934744 935402 929603 930126 811855 812556 814738 815436 1163511 1164199 1161454 1162123 
26 832 43109 43875 42344 43057 20935 21409 18895 19524 124991 125678 122530 123358 104504 104998 95868 96585 228774 229314 222244 222819 183565 184436 188987 189560 384618 385311 394264 394977 322541 323242 332588 333283 633460 634121 637238 638097 551327 551810 543329 543865 935451 936135 930170 930748 812600 813223 815481 815854 1164243 1164490 1162168 1162431 
27 864 43935 44676 43109 43861 21455 22192 19584 20267 125732 126496 123408 124195 105051 105756 96632 97355 229360 230143 222874 223647 184485 185152 189628 190386 385357 386016 395038 395801 323286 323893 333327 334063 634165 634870 638143 638831 551858 552542 543909 544627 936190 936727 930792 931317 813267 814083 815899 816563 1164534 1165225 1162475 1163147 
28 896 44773 45526 43953 44680 22300 22960 20369 20954 126595 127277 124283 124955 105858 106783 97482 98153 230267 231011 223748 224454 185235 185915 190479 191168 386128 386745 395933 396530 323999 324741 334147 334756 634947 635566 638904 639569 552625 553141 544702 545112 936800 937340 931404 932082 814157 814692 816636 817086 1165298 1165549 1163221 1163486 
29 928 45582 46377 44735 45495 23014 23781 21011 21721 127328 128053 125016 125689 106828 107386 98207 98922 231069 231797 224520 225255 185983 186645 191212 192060 386793 387507 396588 397329 324799 325754 334805 335587 635622 636318 639626 640277 553187 553872 545156 545854 937384 937907 932128 932650 814736 815435 817131 817793 1165593 1166510 1163530 1164200 
30 960 46428 47142 45554 46382 23833 24412 21780 22499 128109 128809 125758 126498 107443 108132 98972 99887 231847 232560 225306 225842 186699 187438 192111 192611 387554 388152 397383 397955 325804 326499 335641 336336 636372 637187 640321 640798 553918 554529 545900 546353 937956 938578 932694 932939 815479 815853 817838 818102 1166554 1166801 1164245 1164508 
31 992 47201 47939 46437 47143 24465 25210 22556 23261 128856 129617 126544 127182 108182 109135 99940 100638 232612 233598 225900 226562 187483 188152 192657 193320 388205 388888 398018 398862 326559 327306 336380 336907 637260 638097 640842 641553 554573 555245 546397 547103 938624 939152 932987 933625 815897 816561 818147 818811 1166845 1167515 1164552 1165231 
32 1024 48032 48781 47248 47943 25293 25990 23366 24352 129729 130328 127290 127838 109240 109939 100732 101333 233687 234252 226675 227385 188249 188934 193410 194153 388980 389619 398963 399470 327379 328073 337017 337728 638176 638841 641626 642272 555322 555894 547191 547701 939225 939721 933698 934277 816635 817085 818887 819145 1167588 1167838 1165304 1165555 
33 1056 48837 49581 47990 48782 26037 26729 24408 25146 130374 131113 127890 128591 109994 110649 101393 102078 234310 235024 227452 228168 188987 189566 194208 194921 389669 390422 399523 400240 328124 328682 337789 338461 638892 639610 642317 643032 555938 556646 547747 548428 939774 940314 934322 934851 817129 817792 819190 820026 1167882 1168553 1165599 1166511 
34 1088 49642 50363 48843 49576 26785 27555 25206 25809 131175 131858 128645 129526 110721 111423 102131 102697 235082 235777 228213 228919 189611 190299 194973 195627 390466 391051 400294 400845 328745 329571 338507 339016 639679 640288 643082 643711 556691 557110 548472 548992 940358 940690 934895 935405 817836 818101 820071 820344 1168597 1168847 1166556 1166807 
