0 0 58664 59112 348 640 0 290 1768 2220 82548 82994 7303 7756 7805 8239 11496 11811 106620 107068 
1 32 59163 59625 690 1150 342 866 2271 2740 83046 83622 7802 8238 8286 8741 11857 12304 107117 107572 
2 64 59673 60138 1201 1714 919 1398 2786 3187 83670 84121 8284 8552 8787 9179 12350 12646 107618 107890 
3 96 60189 60652 1760 2216 1458 1971 3233 3704 84168 84617 8598 9038 9225 9712 12692 13146 107939 108407 
4 128 60736 61148 2291 2744 2055 2418 3778 4210 84698 85123 9107 9381 9781 10156 13218 13653 108478 108917 
5 160 61198 61656 2795 3263 2464 2979 4256 4724 85183 85649 9428 9873 10202 10652 13701 14170 108965 109422 
6 192 61707 61977 3309 3711 3031 3540 4773 5262 85701 86033 9919 10270 10698 10968 14216 14562 109469 109735 
7 224 62031 62500 3757 4204 3586 4055 5314 5908 86084 86540 10317 10770 11014 11473 14610 15075 109782 110242 
8 256 62587 63057 4283 4725 4132 4468 5985 6411 86619 87029 10845 11315 11542 11824 15145 15573 110312 110583 
9 288 63104 63566 4772 5264 4514 4983 6457 6910 87076 87534 11361 11809 11870 12325 15621 16068 110629 111092 
10 320 63618 64057 5327 5917 5029 5301 6962 7254 87582 88026 11855 12143 12371 12647 16114 16517 111138 111414 
11 352 64115 64616 5963 6412 5349 5921 7300 7773 88073 88520 12189 12637 12694 13145 16564 17041 111461 111920 
12 384 64705 65196 6501 6928 6007 6412 7853 8240 88589 88873 12706 13159 13214 13652 17111 17372 111989 112419 
13 416 65246 65722 6974 7413 6461 6923 8288 8758 88919 89361 13206 13651 13699 14167 17418 17885 112465 112929 
14 448 65771 66228 7459 7812 6985 7414 8804 9181 89409 89857 13697 14013 14213 14562 17932 18372 112975 113240 
15 480 66287 66759 7858 8321 7461 7933 9227 9713 89905 90350 14059 14559 14608 15076 18419 18868 113287 113748 
16 512 66842 67243 8391 8843 8002 8330 9793 10158 90425 90863 14629 15079 15147 15572 18938 19231 113817 114245 
17 544 67292 67758 8890 9337 8376 8842 10205 10667 90911 91363 15127 15571 15620 16065 19278 19785 114291 114763 
18 576 67815 68274 9385 9771 8888 9262 10713 10986 91410 91886 15617 16024 16111 16516 19831 20235 114809 115078 
19 608 68327 68813 9818 10266 9308 9770 11032 11491 91936 92400 16071 16514 16562 17012 20281 20738 115126 115591 
20 640 68909 69357 10335 10774 9840 10267 11560 11831 92476 92912 16585 17081 17081 17350 20811 21239 115660 116049 
21 672 69408 69873 10821 11311 10314 10768 11877 12331 92975 93429 17128 17566 17397 17876 21285 21729 116095 116562 
22 704 69919 70207 11357 11635 10814 11083 12377 12650 93481 93926 17612 17937 17922 18195 21775 22043 116608 116876 
23 736 70265 70755 11681 12116 11129 11593 12696 13158 93979 94442 17983 18436 18241 18699 22089 22535 116922 117387 
24 768 70835 71131 12185 12545 11663 12036 13229 13657 94523 94930 18505 18938 18768 19230 22604 23035 117456 117892 
25 800 71179 71661 12592 13032 12082 12544 13705 14174 94976 95419 18984 19446 19276 19728 23081 23529 117938 118409 
26 832 71708 72165 13078 13520 12590 12854 14220 14566 95465 95905 19492 19790 19774 20054 23575 23905 118455 118727 
27 864 72221 72688 13566 14006 12900 13365 14614 15079 95953 96403 19838 20284 20100 20558 23951 24394 118776 119246 
28 896 72770 73229 14075 14563 13435 13911 15156 15577 96488 96915 20355 20820 20627 20904 24466 24766 119315 119715 
29 928 73283 73753 14612 15073 13957 14558 15625 16086 96970 97423 20866 21320 20950 21410 24812 25257 119761 120248 
30 960 73804 74277 15120 15498 14604 14989 16132 16521 97469 97918 21366 21765 21456 21768 25303 25748 120294 120576 
31 992 74325 74778 15544 16020 15035 15492 16568 17082 97964 98430 21812 22292 21814 22293 25794 26240 120623 121080 
32 1024 74854 75296 16090 16518 15563 16021 17155 17586 98523 98975 22363 22828 22365 22826 26311 26595 121149 121607 
33 1056 75355 75861 16566 17039 16069 16510 17632 18084 99021 99492 22874 23359 22872 23327 26642 27092 121653 122108 
34 1088 75912 76229 17085 17360 16556 16835 18130 18437 99543 100003 23405 23679 23373 23678 27138 27580 122154 122470 
35 1120 76281 76745 17406 17884 16881 17326 18484 18936 100053 100529 23726 24204 23724 24184 27626 28086 122518 122968 
36 1152 76833 77279 17955 18399 17399 17880 19007 19447 100605 101075 24273 24768 24253 24518 28155 28616 123043 123486 
37 1184 77326 77787 18445 18915 17926 18371 19494 19943 101123 101592 24814 25293 24564 25021 28664 29111 123532 123987 
38 1216 77837 78263 18961 19232 18417 18705 19989 20287 101638 101975 25339 25753 25067 25339 29157 29450 124033 124316 
39 1248 78311 78842 19280 19786 18751 19220 20334 20785 102025 102498 25799 26270 25387 25844 29498 29955 124363 124812 
40 1280 78918 79347 19856 20288 19290 19787 20855 21243 102574 103036 26341 26787 25916 26276 30024 30303 124882 125353 
