0 9 325683635
1 0 325679822
2 38 325679085
3 48 325700851
4 12 325864395
5 58 325863560
6 67 325885195
7 15 325867897
864 113 649662926
865 138 649636511
866 95 649477744
867 94 649491324
868 153 651390167
869 130 651192381
870 128 651201980
871 142 651371973
1728 173 972514148
1729 158 972576994
1730 184 972387004
1731 203 972381068
1732 193 975942073
1733 237 976088300
1734 244 976128007
1735 218 975871724
2576 276 1294850917
2577 287 1294808160
2578 265 1295059423
2579 286 1295004706
2600 329 1300228214
2601 268 1299972567
2602 294 1300051964
2603 301 1300188322
3424 693 1625460970
3425 534 1625369898
3426 467 1625229893
3427 1036 1625207118
3464 631 1631843369
3465 1038 1631957180
3466 1057 1632039555
3467 1031 1631750033
4320 1101 1867280039
4321 1090 1867232083
4322 1107 1867400561
4323 1121 1867346218
