0 0 9526 9611 426 510 428 512 0 84 9584 9668 
1 32 9657 9741 556 640 558 642 130 214 9714 9798 
2 64 9787 9871 686 770 688 772 260 345 9844 9928 
3 96 9917 10001 816 900 818 902 391 475 9974 10058 
4 128 10072 10157 970 1054 972 1056 544 628 10127 10211 
5 160 10203 10294 1100 1184 1102 1186 674 758 10257 10344 
6 192 10340 10428 1230 1314 1232 1316 804 888 10391 10478 
7 224 10474 10562 1360 1444 1362 1446 934 1019 10525 10610 
8 256 10631 10715 1515 1599 1517 1601 1088 1172 10680 10765 
9 288 10761 10849 1645 1729 1647 1731 1218 1302 10812 10899 
10 320 10895 10983 1775 1859 1777 1861 1348 1432 10946 11033 
11 352 11029 11120 1905 1989 1907 1991 1478 1562 11080 11168 
12 384 11189 11273 2059 2143 2061 2145 1631 1715 11238 11323 
13 416 11319 11407 2189 2273 2191 2276 1761 1845 11370 11457 
14 448 11453 11541 2319 2403 2322 2406 1891 1975 11504 11591 
15 480 11587 11675 2449 2533 2452 2536 2021 2105 11638 11723 
16 512 11744 11828 2602 2686 2606 2690 2174 2258 11793 11878 
17 544 11874 11962 2732 2816 2736 2820 2304 2388 11925 12012 
18 576 12008 12096 2862 2946 2866 2950 2434 2518 12059 12146 
19 608 12142 12230 2992 3076 2996 3080 2564 3028 12193 12278 
20 640 12300 12384 3146 3230 3149 3233 3100 3511 12349 12434 
21 672 12430 12518 3276 3360 3279 3363 3557 4016 12481 12568 
22 704 12564 12652 3406 3490 3409 3493 4062 4334 12615 12702 
23 736 12698 12786 3536 3620 3539 3624 4380 4464 12749 12834 
24 768 12855 12939 3689 3773 3693 3777 4533 4617 12904 12989 
25 800 12985 13073 3819 3903 3823 3907 4663 4747 13036 13123 
26 832 13119 13207 3949 4033 3953 4037 4793 4877 13170 13257 
27 864 13253 13341 4079 4163 4083 4168 4923 5007 13304 13389 
28 896 13410 13494 4232 4316 4237 4321 5076 5160 13459 13544 
29 928 13540 13628 4362 4446 4367 4452 5206 5290 13591 13678 
30 960 13674 13762 4492 4576 4498 4582 5336 5420 13725 13812 
31 992 13808 13896 4622 4706 4628 4712 5466 5550 13859 13944 
32 1024 13965 14049 4775 4859 4781 4865 5620 5704 14019 14103 
33 1056 14095 14186 4905 4989 4911 4995 5750 5834 14149 14236 
34 1088 14232 14320 5035 5119 5041 5125 5880 5964 14283 14370 
35 1120 14366 14453 5165 5249 5171 5255 6010 6094 14416 14501 
36 1152 14522 14606 5318 5402 5324 5408 6163 6247 14571 14656 
37 1184 14652 14740 5448 5532 5454 5538 6293 6377 14703 14790 
38 1216 14786 14874 5578 5662 5584 5668 6423 6507 14837 14924 
39 1248 14920 15008 5708 5792 5714 5798 6553 6637 14971 15056 
40 1280 15077 15161 5861 5945 5867 5951 6707 6791 15126 15211 
41 1312 15207 15295 5991 6076 5997 6082 6837 6921 15258 15345 
42 1344 15341 15429 6122 6206 6128 6212 6967 7051 15392 15479 
43 1376 15475 15563 6252 6336 6258 6343 7097 7181 15526 15613 
44 1408 15634 15718 6405 6489 6412 6496 7250 7334 15683 15768 
45 1440 15764 15852 6535 6620 6542 6626 7380 7464 15815 15902 
46 1472 15898 15986 6666 6750 6672 6756 7510 7594 15949 16036 
47 1504 16032 16121 6796 6880 6802 6886 7640 7724 16083 16169 
48 1536 16190 16274 6949 7033 6955 7039 7793 7877 16239 16324 
49 1568 16320 16409 7079 7163 7085 7169 7923 8007 16371 16459 
50 1600 16455 16544 7209 7293 7215 7300 8053 8137 16506 16594 
