0 0 67303 67591 71407 71534 69018 69359 0 89 88383 88864 96811 97298 82678 82774 9212 9559 106929 107016 109381 109836 107432 107895 
1 32 67640 68128 71582 71679 69411 69888 152 245 88916 89387 97345 97784 82820 82906 9605 10053 107062 107146 109884 110347 107942 108387 
2 64 68175 68454 71727 71820 69936 70239 297 396 89434 89719 97832 98318 82952 83038 10100 10479 107192 107276 110393 110852 108433 108804 
3 96 68500 69000 71870 72325 70286 70390 442 951 89771 90243 98364 98449 83085 83174 10525 10991 107322 107774 110899 111362 108853 109294 
4 128 69093 69365 72402 72815 70470 70566 1025 1367 90323 90610 98536 98620 83257 83344 11061 11331 107844 108307 111434 111706 109364 109688 
5 160 69424 69950 72863 73384 70615 70712 1424 1942 90664 91127 98666 98751 83395 83486 11378 11873 108353 108803 111752 112245 109734 110207 
6 192 70003 70284 73444 73913 70759 70856 1988 2263 91173 91453 98797 98897 83532 83617 11920 12185 108849 109185 112291 112608 110254 110551 
7 224 70332 70432 73968 74442 70912 71006 2315 2409 91500 91954 98949 99406 83663 83780 12231 12316 109234 109685 112655 113181 110599 111074 
8 256 70521 70612 74536 74975 71079 71163 2482 2566 92037 92325 99482 99936 83865 83969 12386 12471 109755 110210 113252 113530 111145 111596 
9 288 70658 70747 75036 75488 71223 71319 2612 2696 92371 92818 99982 100431 84018 84107 12518 12602 110256 110701 113576 114063 111643 112090 
10 320 70798 70891 75535 75990 71383 71478 2742 2828 92867 93152 100479 100972 84156 84240 12649 12735 110747 111075 114109 114472 112138 112439 
11 352 70943 71413 76036 76121 71536 71639 2888 3377 93201 93667 101018 101460 84286 84374 12782 12868 111123 111211 114518 114978 112486 112958 
12 384 71496 71919 76201 76305 71740 71840 3461 3869 93740 94197 101542 101978 84452 84553 12940 13025 111280 111364 115048 115516 113029 113472 
13 416 71970 72459 76371 76467 71886 71987 3915 4374 94243 94689 102041 102591 84621 84721 13071 13155 111410 111494 115564 116028 113519 113966 
14 448 72511 72819 76514 76610 72034 72135 4421 4702 94735 95005 102637 102931 84771 84872 13201 13288 111540 111630 116074 116345 114012 114325 
15 480 72868 73343 76661 77129 72205 72804 4756 5248 95055 95144 102982 103087 84918 85003 13335 13421 111676 111762 116391 116845 114373 114843 
