0 14 484733959
1 116 484018628
2 0 484733877
3 6 484734087
4 200 726740905
5 163 726386148
6 119 726386052
7 155 726386111
540 286 1087258204
541 307 1087258364
542 275 1086727717
543 305 1087082335
548 443 1386660151
549 367 1387362758
550 403 1387186287
551 406 1387098879
1084 460 1714768582
1085 507 1714855916
1086 499 1714899088
1087 555 1715116612
1092 641 2027597183
1093 643 2027575585
1094 687 2027467596
1095 609 2027640661
1632 879 2249958232
1633 934 2249963350
1634 795 2249955247
1635 767 2249957318
