0 0 164833 165255 159151 159573 122007 122524 127666 128146 71278 71689 72286 72745 524 935 1756 2272 0 413 1615 2090 3231 3647 5402 5811 11426 11895 9044 9483 7223 7670 8114 8622 23615 24248 25259 25678 39961 40375 34838 35403 64935 65383 61961 62435 92543 92989 97010 97438 127915 128334 123150 123845 152283 152678 148050 148454 170877 171296 173348 173760 186709 187148 182915 183315 
1 32 165270 165715 159589 160004 122556 122998 128182 128720 71701 72203 72773 73369 948 1503 2284 2788 426 864 2103 2593 3659 4416 5823 6262 11907 12324 9495 10024 7683 8149 8635 9061 24262 24728 25690 26153 40387 40813 35415 35853 65396 65891 62447 62905 93003 93517 97450 98083 128346 128774 123861 124341 152693 153117 148466 148875 171308 171737 173772 174192 187160 187644 183327 183874 
2 64 165728 166149 160016 160502 123012 123656 128738 129470 72226 72823 73386 73882 1515 2029 2800 3257 877 1451 2605 3075 4428 4891 6274 6748 12336 12945 10036 10523 8162 8617 9074 9501 24741 25154 26165 26586 40825 41351 35866 36279 65904 66339 62918 63365 93529 93967 98101 98698 128786 129472 124354 124847 153130 153555 148890 149419 171749 172286 174204 174630 187662 188106 183886 184309 
3 96 166167 166597 160528 160965 123668 124085 129482 129922 72908 73475 73896 74370 2041 2515 3269 3720 1464 1915 3088 3545 4905 5392 6761 7265 12962 13443 10535 11021 8630 9069 9513 9969 25166 25637 26598 27083 41365 41838 36294 36709 66354 66856 63380 64032 93981 94419 98713 99203 129484 129916 124869 125307 153567 153986 149431 149847 172298 172720 174642 175225 188119 188576 184321 184748 
4 128 166653 167069 161065 161500 124141 124627 129968 130388 73621 74049 74420 74883 2560 2982 3785 4244 2020 2424 3641 4334 5439 5974 7340 7832 13586 14047 11065 11488 9124 9578 10059 10591 25687 26108 27203 27656 41893 42304 36757 37174 66911 67394 64093 64536 94465 94899 99253 99696 129962 130386 125371 125789 154043 154458 149894 150333 172772 173220 175269 175681 188655 189087 184796 185193 
5 160 167083 167518 161515 161922 124639 125096 130400 130820 74062 74506 74898 75569 2994 3448 4256 4725 2437 2878 4346 4857 5987 6436 7844 8279 14059 14522 11500 11983 9590 10057 10603 11034 26120 26924 27668 28148 42319 42827 37186 37644 67408 67898 64548 65053 94912 95468 99709 100170 130398 130833 125801 126218 154470 155057 150345 150753 173232 173665 175693 176121 189100 189555 185205 185608 
6 192 167530 167964 161934 162348 125114 125573 130832 131264 74534 75383 75602 76085 3460 3988 4737 5218 2890 3343 4870 5344 6448 7079 8292 8738 14534 14978 11995 12651 10071 10568 11047 11523 26937 27350 28160 28611 42843 43289 37657 38323 67910 68368 65065 65480 95480 95915 100182 100854 130845 131278 126231 126706 155070 155480 150765 151187 173679 174137 176133 176544 189567 189991 185620 186026 
7 224 167978 168417 162360 162768 125585 126044 131276 131734 75396 75894 76098 76595 4001 4469 5230 5716 3358 3846 5357 5877 7091 7597 8757 9193 14993 15700 12663 13133 10587 11118 11535 11963 27362 27786 28623 29055 43304 43941 38336 38761 68380 68822 65493 65933 95931 96353 100866 101370 131290 131727 126720 127152 155492 155927 151199 151670 174159 174640 176556 176963 190003 190424 186038 186618 
8 256 168461 168879 162813 163206 126113 126596 131784 132321 75939 76449 76698 77192 4635 5052 5771 6236 3903 4423 5949 6436 7647 8124 9247 9876 15753 16167 13179 13685 11191 11661 12013 12732 27831 28285 29102 29715 43987 44410 38818 39256 68872 69553 65981 66434 96422 96849 101420 101902 131770 132319 127199 127655 155972 156369 151715 152263 174685 175158 177011 177399 190467 190883 186663 187061 
9 288 168891 169436 163218 163684 126608 127041 132333 132794 76462 76892 77204 77631 5067 5617 6248 6699 4435 4852 6448 7028 8136 8610 9888 10341 16180 16645 13697 14257 11673 12162 12745 13218 28297 28725 29730 30179 44425 44879 39268 39725 69565 70011 66446 66881 96861 97344 101914 102405 132331 132790 127668 128119 156381 156801 152275 152703 175170 175628 177411 177998 190895 191319 187073 187478 
10 320 169448 169871 163696 164097 127053 127481 132806 133224 76910 77404 77644 78213 5631 6062 6711 7258 4864 5385 7040 7473 8622 9062 10353 10760 16657 17074 14269 14754 12174 12739 13230 13708 28737 29155 30192 30613 44892 45411 39737 40165 70024 70476 66893 67365 97357 98000 102418 102869 132803 133242 128132 128611 156813 157229 152715 153209 175640 176099 178012 178418 191331 191751 187490 187886 
11 352 169883 170306 164109 164521 127493 127921 133249 133735 77421 78105 78239 78804 6074 6507 7270 7692 5398 5901 7485 7965 9074 9508 10772 11181 17087 17529 14767 15197 12757 13246 13722 14143 29169 29899 30626 31058 45425 45863 40177 40664 70488 71016 67379 67869 98013 98437 102882 103333 133255 133719 128625 129056 157243 157652 153221 153644 176111 176528 178430 178837 191763 192414 187898 188303 
12 384 170354 170773 164564 164968 127975 128411 133790 134241 78154 78561 78864 79287 6564 7098 7743 8153 5968 6410 8023 8508 9557 10038 11324 11764 17600 18056 15245 15678 13300 13718 14187 14671 29960 30425 31115 31531 45909 46339 40749 41381 71064 71497 67927 68376 98486 98916 103382 103819 133764 134215 129101 129566 157695 158113 153687 154120 176571 176983 178881 179277 192457 192873 188356 188777 
13 416 170785 171209 164980 165388 128436 128884 134254 134725 78610 79101 79307 79750 7110 7632 8165 8632 6422 7011 8520 8990 10051 10549 11777 12216 18068 18622 15691 16153 13732 14179 14685 15118 30437 30863 31543 32025 46351 46897 41393 41956 71509 71951 68388 68809 98928 99359 103831 104334 134228 134694 129578 130005 158125 158531 154132 154553 176996 177412 179289 179695 192885 193310 188789 189219 
14 448 171221 171642 165400 165801 128900 129363 134737 135253 79118 79717 79765 80267 7644 8052 8644 9089 7024 7440 9003 9424 10565 11113 12228 12909 18636 19073 16165 16628 14191 14631 15130 15733 30877 31305 32038 32710 46912 47463 41968 42457 71963 72567 68821 69297 99371 99815 104347 104841 134706 135210 130017 130436 158543 158950 154566 155247 177424 177989 179707 180109 193322 193741 189235 189652 
15 480 171654 172218 165813 166213 129375 129841 135267 135722 79732 80275 80279 80969 8064 8476 9101 9533 7453 8002 9436 10015 11136 11614 12927 13428 19086 19541 16641 17186 14643 15046 15747 16203 31317 31732 32722 33189 47477 47952 42470 42895 72584 73006 69311 69892 99828 100354 104853 105363 135224 135716 130448 130874 158962 159361 155259 155671 178002 178427 180121 180525 193753 194179 189665 190088 
16 512 172261 172679 166257 166658 129912 130334 135765 136232 80330 80962 81021 81502 8521 8976 9578 10002 8063 8495 10063 10580 11682 12108 13511 13916 19590 20036 17252 17695 15094 15594 16250 16699 31784 32223 33239 33697 48009 48505 43005 43445 73057 73516 69949 70432 100420 100928 105440 105892 135766 136211 130923 131322 159409 159809 155716 156179 178470 178887 180570 180968 194222 194642 190145 190554 
17 544 172693 173112 166670 167082 130369 130879 136244 136678 80975 81424 81515 81975 8988 9406 10014 10594 8507 9004 10592 11127 12120 12743 13930 14370 20048 20502 17710 18392 15607 16093 16713 17146 32235 32789 33709 34146 48518 48951 43458 44158 73531 73965 70444 70882 100941 101546 105904 106538 136223 136668 131334 131748 159826 160254 156191 156605 178899 179324 180982 181406 194654 195206 190566 190990 
18 576 173124 173557 167094 167511 130894 131387 136690 137106 81449 81875 81999 82508 9418 9979 10606 11101 9016 9502 11139 11616 12756 13243 14382 14862 20516 20983 18405 18855 16105 16557 17159 17594 32804 33265 34158 34585 48963 49604 44170 44619 73977 74405 70894 71399 101560 102043 106550 107026 136680 137104 131760 132269 160266 160762 156617 157071 179336 179755 181418 181839 195218 195647 191002 191406 
19 608 173570 174001 167523 167962 131413 131864 137118 137523 81887 82399 82523 83061 9992 10433 11113 11568 9514 9924 11628 12076 13257 13679 14877 15544 20996 21431 18868 19309 16571 17010 17606 18043 33277 33793 34598 35045 49616 50034 44637 45125 74420 74844 71414 71924 102055 102516 107044 107526 137116 137544 132281 132708 160774 161200 157083 157492 179767 180185 181851 182254 195659 196086 191418 191857 
20 640 174056 174488 168015 168433 131914 132379 137566 138033 82452 82868 83134 83873 10495 10901 11616 12050 9977 10437 12122 12734 13750 14187 15587 15991 21631 22051 19364 19795 17057 17502 18138 18657 33838 34294 35094 35520 50081 50505 45202 45612 74894 75489 71976 72559 102603 103043 107639 108105 137591 138038 132758 133162 161246 161657 157536 158001 180231 180644 182298 182697 196136 196557 191900 192364 
21 672 174500 175095 168445 168869 132422 132940 138045 138462 82882 83344 83885 84314 10913 11328 12062 12756 10450 10987 12747 13220 14199 14663 16003 16416 22063 22495 19809 20279 17514 17981 18671 19155 34307 34734 35533 35980 50517 51033 45624 46114 75501 76043 72573 73055 103056 103739 108117 108654 138051 138513 133174 133591 161672 162109 158013 158432 180656 181082 182710 183119 196569 197004 192376 192794 
22 704 175113 175551 168886 169418 132952 133386 138474 138890 83366 83932 84327 84813 11341 11751 12769 13257 10999 11462 13233 13704 14675 15109 16428 16884 22508 22928 20291 20746 17993 18535 19167 19594 34746 35384 35993 36430 51046 51574 46127 46811 76055 76593 73067 73516 103761 104267 108667 109375 138525 139018 133605 134044 162122 162544 158445 158853 181094 181512 183131 183742 197016 197440 192807 193209 
23 736 175563 176006 169432 169839 133398 133833 138903 139320 83946 84416 84825 85290 11774 12218 13269 13717 11476 11946 13717 14308 15124 15604 16896 17315 22941 23362 20766 21390 18549 19007 19609 20044 35396 35822 36446 36928 51587 52028 46827 47255 76605 77108 73528 73994 104280 104760 109387 109803 139030 139479 134059 134478 162559 162983 158865 159280 181524 181942 183754 184159 197453 197872 193221 193618 
24 768 176054 176473 169887 170293 133904 134347 139363 139784 84472 84902 85369 85918 12263 12767 13772 14193 11992 12394 14355 14803 15652 16133 17361 17766 23415 24075 21463 21924 19066 19518 20107 20574 35870 36291 36975 37401 52083 52632 47310 47727 77181 77650 74054 74510 104822 105248 109848 110310 139522 140009 134525 135118 163046 163666 159326 159753 181988 182394 184206 184606 197915 198332 193663 194059 
25 800 176485 176911 170305 170728 134359 134818 139796 140239 84938 85577 85930 86379 12779 13320 14209 14682 12406 12959 14815 15246 16145 16579 17778 18432 24087 24511 21937 22388 19531 19972 20586 21287 36303 36778 37414 37866 52644 53149 47739 48175 77667 78276 74524 74952 105260 105716 110325 110826 140021 140454 135130 135557 163678 164109 159765 160212 182406 182826 184618 185028 198345 198769 194071 194475 
26 832 176923 177350 170740 171165 134830 135326 140260 140884 85593 86059 86391 86866 13332 13756 14695 15117 12972 13466 15258 15687 16592 17075 18444 18851 24525 24940 22400 22812 19984 20421 21299 21756 36790 37264 37879 38429 53161 53640 48187 48641 78288 78739 74964 75524 105728 106171 110838 111331 140466 140934 135569 136012 164121 164535 160224 160752 182838 183281 185040 185443 198781 199200 194487 194890 
27 864 177362 177944 171177 171592 135344 135847 140899 141325 86083 86693 86889 87385 13774 14239 15135 15742 13480 13944 15700 16160 17090 17573 18863 19344 24952 25376 22825 23335 20433 20837 21768 22178 37286 37766 38444 39032 53652 54094 48653 49084 78751 79178 75538 75957 106183 106743 111343 111842 140946 141374 136024 136442 164547 164951 160764 161179 183293 183727 185455 185856 199213 199633 194904 195312 
28 896 177987 178412 171642 172297 135949 136383 141376 141814 86791 87258 87447 87907 14286 14747 15837 16268 13995 14473 16214 16636 17623 18139 19387 19847 25429 25903 23382 23983 20910 21417 22222 22664 37884 38479 39084 39516 54148 54591 49131 49776 79226 79704 76003 76459 106903 107364 111891 112365 141417 141902 136492 136916 164994 165395 161222 161635 183770 184181 185902 186298 199679 200096 195360 195757 
29 928 178424 178855 172309 172762 136395 136892 141841 142271 87276 87792 87949 88417 14759 15192 16280 16712 14485 14948 16648 17197 18151 18611 19859 20296 25915 26327 23995 24447 21429 21874 22676 23100 38495 39062 39529 39991 54603 55310 49788 50220 79716 80189 76471 76886 107376 107824 112382 112920 141914 142357 136928 137377 165407 165838 161647 162071 184193 184616 186311 186719 200108 200536 195769 196188 
