0 0 6984 7396 4621 5019 2786 3254 9076 9487 6168 6573 0 618 3038 3439 8631 9049 
1 32 7409 7826 5031 5437 3266 3676 9499 9907 6585 6988 630 1060 3451 3859 9061 9489 
2 64 7840 8255 5449 6016 3688 4102 9919 10329 7000 7402 1073 1494 3871 4276 9502 9926 
3 96 8267 8767 6028 6450 4114 4531 10341 10753 7414 7825 1509 1929 4288 4698 9938 10359 
4 128 8810 9216 6496 6914 4574 4982 10796 11200 7871 8262 1985 2390 4741 5141 10402 10819 
5 160 9228 9644 6926 7358 4994 5411 11212 11663 8274 8899 2403 2817 5153 5567 10831 11257 
6 192 9656 10068 7370 7784 5423 6011 11675 12082 8911 9307 2829 3260 5579 6075 11269 11690 
7 224 10080 10499 7796 8209 6023 6445 12094 12504 9319 9719 3273 3678 6087 6493 11703 12115 
8 256 10542 10959 8253 8759 6488 6912 12548 12959 9762 10155 3721 4133 6536 6933 12158 12560 
9 288 10971 11627 8771 9170 6924 7352 12971 13387 10167 10572 4145 4558 6945 7360 12572 12986 
10 320 11640 12064 9182 9579 7364 7781 13399 13815 10584 10981 4570 4984 7372 7785 12998 13408 
11 352 12076 12494 9591 9993 7793 8206 13827 14329 10993 11625 4996 5408 7800 8210 13420 13828 
12 384 12537 12955 10036 10431 8249 8757 14372 14783 11671 12067 5452 6013 8258 8761 13871 14377 
13 416 12967 13386 10443 10849 8769 9192 14795 15215 12079 12503 6025 6451 8774 9196 14389 14799 
14 448 13398 13813 10861 11261 9204 9623 15228 15640 12515 12916 6465 6879 9209 9626 14811 15221 
15 480 13825 14327 11273 11693 9635 10045 15652 16058 12928 13329 6891 7314 9638 10048 15233 15657 
16 512 14370 14771 11736 12129 10088 10501 16101 16502 13372 13771 7357 7771 10096 10504 15700 16118 
17 544 14783 15202 12141 12544 10513 10929 16514 16925 13783 14192 7783 8206 10516 10933 16130 16560 
18 576 15214 15625 12556 12951 10941 11349 16937 17346 14204 14600 8218 8632 10946 11352 16572 16992 
19 608 15637 16051 12963 13362 11361 11771 17358 17770 14612 15010 8644 9059 11364 11774 17004 17425 
20 640 16094 16499 13405 13798 11814 12227 17813 18225 15053 15451 9102 9517 11822 12230 17468 17888 
21 672 16511 16924 13810 14209 12239 12653 18237 18655 15463 15867 9529 9949 12242 12657 17900 18328 
22 704 16936 17343 14221 14619 12665 13079 18667 19084 15879 16280 9961 10381 12670 13082 18340 18764 
23 736 17355 17768 14631 15033 13091 13510 19096 19511 16292 16690 10393 10801 13094 13513 18776 19184 
24 768 17811 18223 15076 15473 13553 13974 19554 20027 16733 17224 10844 11250 13561 13977 19227 19635 
25 800 18235 18654 15485 15892 13986 14472 20039 20458 17236 17638 11262 11678 13989 14476 19647 20062 
26 832 18666 19082 15904 16305 14484 14906 20470 20886 17650 18048 11690 12105 14489 14909 20074 20486 
27 864 19094 19509 16317 16718 14918 15339 20898 21313 18060 18459 12117 12532 14921 15342 20498 20909 
28 896 19552 19962 16761 17263 15383 15793 21356 21772 18502 18894 12576 12980 15387 15796 20952 21357 
29 928 19974 20401 17275 17690 15805 16230 21784 22203 18906 19309 12992 13411 15808 16234 21369 21785 
30 960 20413 20832 17702 18106 16242 16662 22215 22627 19321 19716 13423 13831 16247 16665 21797 22204 
31 992 20844 21266 18118 18529 16674 17258 22639 23050 19728 20128 13843 14466 16677 17261 22218 22793 
32 1024 21309 21726 18572 18974 17301 17716 23093 23497 20171 20570 14509 14919 17309 17719 22836 23245 
33 1056 21738 22165 18986 19395 17728 18153 23509 23930 20582 20987 14931 15347 17731 18157 23257 23675 
34 1088 22177 22598 19407 19810 18165 18585 23942 24359 20999 21402 15359 15771 18170 18588 23687 24101 
35 1120 22610 23033 19822 20226 18597 19013 24371 24788 21414 21817 15783 16196 18600 19016 24113 24525 
36 1152 23076 23495 20269 20671 19056 19476 24832 25246 21860 22259 16239 16645 19064 19479 24569 24977 
37 1184 23507 23928 20683 21094 19488 19910 25258 25699 22271 22848 16657 17260 19491 20023 24989 25570 
38 1216 23940 24357 21106 21514 19922 20345 25711 26128 22860 23261 17272 17681 20035 20435 25582 25997 
39 1248 24369 24786 21526 21932 20357 20782 26140 26561 23273 23672 17693 18103 20447 20844 26009 26412 
40 1280 24829 25244 21975 22379 20825 21249 26604 27017 23715 24110 18147 18551 20887 21282 26455 26853 
41 1312 25256 25696 22391 22854 21261 21691 27029 27437 24122 24531 18563 18976 21294 21699 26865 27271 
42 1344 25708 26126 22866 23274 21703 22130 27449 27861 24543 24943 18989 19400 21711 22133 27283 27685 
43 1376 26138 26559 23289 23696 22142 22566 27873 28440 24955 25354 19414 19823 22145 22569 27697 28100 
44 1408 26602 27015 23740 24141 22609 23029 28483 28887 25397 25795 19867 20274 22617 23032 28143 28543 
45 1440 27027 27460 24153 24569 23041 23469 28899 29316 25807 26211 20286 20698 23044 23473 28555 28975 
46 1472 27472 27894 24581 24985 23481 23904 29328 29737 26223 26625 20710 21120 23486 23907 28987 29398 
47 1504 27906 28509 24999 25401 23916 24332 29749 30157 26637 27042 21133 21547 23919 24335 29410 29816 
48 1536 28553 28968 25444 25840 24375 24797 30200 30606 27085 27482 21590 21998 24383 24800 29859 30269 
49 1568 28980 29400 25852 26264 24809 25230 30618 31028 27494 27902 22010 22428 24812 25234 30281 30699 
50 1600 29413 29834 26276 26685 25242 25689 31040 31448 27914 28512 22440 22853 25247 25692 30711 31208 
51 1632 29846 30267 26697 27105 25701 26120 31460 31869 28524 28929 22865 23270 25704 26123 31220 31634 
52 1664 30310 30724 27148 27549 26163 26582 31912 32316 28972 29374 23314 23721 26171 26585 31677 32085 
53 1696 30736 31288 27561 27971 26594 27018 32328 32744 29386 29795 23733 24140 26597 27022 32097 32515 
54 1728 31300 31718 27983 28509 27030 27447 32756 33164 29807 30211 24152 24560 27035 27450 32527 32939 
