0 0 135417 135843 131336 131730 97786 98244 100193 100621 57399 57816 47144 47637 3142 3550 0 459 8171 8567 99 516 5263 5697 1234 1685 7144 7577 14420 14836 30779 31195 25368 25789 42244 42654 53560 53974 72587 73011 74836 75311 93264 93686 99307 99736 127742 128159 131077 131501 
1 32 135855 136275 131742 132147 98259 98737 100633 101105 57828 58319 47650 48152 3562 4128 471 1088 8579 9063 528 1111 5710 6140 1697 2177 7590 8096 14848 15391 31207 31696 25801 26280 42666 43092 53987 54433 73025 73460 75323 75777 93699 94132 99748 100240 128171 128592 131513 131943 
2 64 136287 136727 132159 132563 98750 99248 101117 101600 58333 58796 48167 48667 4141 4577 1101 1540 9075 9677 1123 1558 6152 6786 2189 2640 8108 8529 15403 15918 31708 32126 26292 26965 43104 43531 54445 54879 73472 73919 75789 76209 94144 94574 100252 100927 128604 129026 131955 132478 
3 96 136739 137156 132575 132977 99268 99730 101612 102075 58808 59234 48679 49184 4589 5009 1554 2020 9691 10147 1570 1999 6798 7224 2655 3153 8541 8961 15930 16389 32138 32612 26987 27486 43544 44085 54891 55323 73931 74365 76221 76633 94586 95253 100939 101360 129039 129574 132490 132910 
4 128 137199 137610 133020 133415 99799 100307 102123 102618 59297 59697 49234 49693 5059 5488 2071 2515 10196 10626 2053 2486 7274 7689 3201 3682 9005 9673 16442 16880 32680 33084 27536 27996 44142 44595 55377 55840 74417 74906 76677 77088 95297 95729 101405 101819 129618 130027 132953 133369 
5 160 137622 138098 133427 133832 100329 100933 102638 103162 59713 60163 49770 50268 5501 5985 2528 2973 10638 11063 2498 2923 7701 8133 3694 4116 9687 10108 16892 17358 33096 33535 28008 28476 44608 45098 55853 56371 74920 75389 77100 77519 95741 96186 101831 102261 130039 130464 133381 133808 
6 192 138110 138524 133845 134246 100945 101441 103174 103721 60175 60657 50285 50750 5999 6427 2985 3417 11076 11489 2936 3349 8145 8566 4132 4603 10121 10546 17370 17838 33547 34005 28488 28930 45110 45555 56383 56820 75401 75869 77532 78115 96198 96637 102274 102689 130476 130893 133820 134244 
7 224 138536 138964 134258 134662 101460 101926 103733 104157 60712 61144 50762 51199 6439 6904 3432 4054 11502 11910 3361 4066 8579 9016 4616 5045 10563 10963 17851 18287 34017 34523 28943 29519 45567 45991 56832 57270 75882 76311 78129 78598 96649 97080 102701 103110 130905 131311 134256 134669 
8 256 139007 139425 134708 135297 101989 102436 104201 104630 61189 61610 51248 51684 6983 7467 4107 4550 11955 12584 4113 4569 9132 9762 5088 5499 11015 11422 18363 18830 34581 35282 29565 30056 46040 46722 57314 57733 76355 76782 78653 79126 97125 97552 103153 103737 131354 131760 134713 135296 
9 288 139437 139869 135313 135717 102448 102949 104646 105070 61622 62065 51699 52476 7479 8006 4563 4996 12596 13012 4581 5010 9774 10231 5511 5945 11434 11875 18843 19283 35294 35758 30068 30504 46734 47167 57745 58215 76794 77225 79138 79596 97564 98112 103749 104166 131772 132190 135308 135721 
10 320 139881 140307 135729 136134 102962 103701 105082 105509 62078 62548 52488 52969 8018 8442 5009 5431 13024 13425 5022 5470 10244 10675 5959 6376 11887 12515 19296 19731 35770 36192 30516 30947 47179 47612 58227 58711 77237 77667 79608 80048 98124 98557 104178 104611 132202 132613 135733 136139 
11 352 140319 140741 136146 136549 103718 104223 105521 105945 62564 63058 52981 53404 8454 8887 5445 5894 13438 13850 5482 5898 10687 11170 6388 7011 12527 12935 19743 20152 36204 36645 30959 31387 47624 48043 58725 59204 77679 78137 80060 80495 98572 99000 104623 105034 132625 133036 136151 136560 
12 384 140784 141206 136592 136991 104278 104704 105989 106613 63170 63834 53447 53875 8944 9579 5940 6358 13910 14337 5946 6359 11224 11654 7072 7493 12983 13401 20199 20615 36694 37114 31436 31888 48089 48496 59267 59690 78184 78674 80548 81027 99049 99482 105079 105491 133079 133483 136604 137013 
13 416 141218 141646 137003 137411 104719 105211 106626 107044 63851 64333 53887 54328 9592 10022 6373 7007 14349 14775 6371 6900 11666 12111 7505 7918 13415 13851 20627 21198 37127 37584 31900 32451 48508 48943 59702 60193 78686 79118 81039 81495 99495 99946 105504 105917 133495 133910 137025 137440 
14 448 141658 142084 137423 137825 105223 105653 107056 107476 64349 64784 54341 54760 10034 10465 7019 7462 14787 15473 6914 7469 12124 12640 7930 8360 13866 14276 21210 21635 37596 38184 32464 32880 48955 49559 60205 60647 79131 79560 81507 81947 99958 100396 105929 106348 133922 134337 137452 137866 
15 480 142096 142515 137837 138238 105666 106096 107489 107897 64797 65219 54772 55270 10477 10923 7475 7904 15487 15921 7483 7998 12656 13172 8372 8792 14289 14728 21653 22153 38198 38691 32892 33319 49571 49999 60659 61117 79572 79983 81959 82383 100408 100939 106363 106785 134349 134770 137878 138304 
16 512 142558 142972 138281 138678 106148 106742 107950 108372 65267 65676 55317 55794 10971 11387 7949 8389 15967 16390 8053 8495 13225 13663 8839 9254 14773 15468 22239 22657 38752 39195 33363 33784 50043 50439 61161 61587 80031 80446 82431 82854 101016 101473 106831 107255 134816 135320 138347 138768 
