0 0 322574 322988 137928 138371 98503 98921 46511 46916 248458 248860 52827 53256 2247 2669 10411 10855 137951 138376 0 429 8862 9505 15405 15819 130413 130834 9860 10277 30983 31385 52266 52678 123303 123751 45925 46442 77170 77852 94656 95106 174239 174651 101749 102163 129873 130289 138359 138787 239802 240224 
1 32 323000 323475 138384 138841 98936 99361 46936 47367 248872 249410 53268 53701 2683 3124 10867 11327 138388 138835 441 1034 9517 9943 15831 16234 130849 131274 10289 10736 31397 31856 52690 53133 123763 124280 46454 46913 77864 78339 95127 95611 174663 175192 102177 102606 130301 130723 138800 139243 240236 240746 
2 64 323487 323912 138855 139279 99374 99797 47385 47798 249423 249873 53713 54176 3138 3557 11339 11803 138848 139247 1046 1475 9956 10396 16248 16691 131291 131745 10749 11178 31868 32512 53145 53580 124302 124818 46930 47372 78351 78839 95624 96076 175205 175662 102619 103140 130735 131157 139255 139701 240758 241313 
3 96 323924 324338 139291 139753 99816 100241 47829 48259 249894 250323 54193 54762 3569 4089 11816 12389 139259 139665 1488 1920 10410 10840 16703 17167 131760 132200 11191 11621 32525 32973 53592 54031 124832 125273 47387 47849 78851 79269 96093 96532 175674 176143 103153 103615 131169 131588 139713 140162 241326 241789 
4 128 324384 324794 139821 140254 100294 100770 48322 48740 250385 250795 54879 55301 4188 4599 12435 12874 139709 140111 1989 2405 10894 11315 17217 17627 132245 132664 11671 12095 33041 33441 54074 54502 125323 125787 47925 48356 79312 79724 96587 97002 176191 176615 103664 104115 131632 132184 140210 140783 241875 242337 
5 160 324808 325236 140266 140774 100782 101288 48754 49443 250809 251241 55337 55893 4611 5088 12886 13314 140123 140727 2417 2861 11328 11816 17639 18151 132676 133100 12107 12565 33454 33945 54514 55078 125800 126398 48371 48863 79736 80166 97016 97452 176627 177067 104127 104578 132196 132679 140801 141257 242349 242805 
6 192 325248 325665 140786 141211 101300 101829 49455 49892 251253 251664 55905 56368 5100 5593 13326 13749 140739 141174 2873 3300 11829 12432 18163 18622 133117 133539 12577 13102 33958 34401 55090 55530 126411 126855 48876 49454 80178 80769 97464 97891 177079 177543 104590 105050 132691 133113 141269 141702 242817 243251 
7 224 325677 326103 141223 141650 101842 102334 49904 50326 251677 252211 56390 56814 5607 6025 13761 14179 141188 141584 3312 4021 12445 12899 18640 19091 133551 133983 13121 13612 34420 34908 55542 55949 126867 127285 49467 49911 80784 81239 97911 98362 177555 178052 105062 105507 133125 133538 141721 142138 243263 243717 
8 256 326146 326564 141700 142114 102390 102878 50383 50832 252260 252664 56877 57282 6132 6759 14224 14700 141628 142069 4067 4488 12948 13378 19149 19590 134028 134453 13682 14102 34957 35381 55993 56404 127333 127764 49963 50429 81285 81789 98430 98858 178143 178582 105550 105973 133581 133989 142181 142590 243769 244205 
9 288 326576 327006 142126 142561 102891 103452 50844 51268 252676 253110 57295 58022 6772 7246 14715 15209 142081 142487 4500 4936 13390 13861 19602 20136 134477 135062 14115 14554 35393 35879 56416 56882 127776 128221 50441 50875 81802 82235 98870 99343 178595 179044 105985 106496 134001 134415 142602 143021 244217 244671 
10 320 327018 327439 142573 143005 103464 103952 51281 51717 253122 253525 58034 58554 7258 7711 15223 15639 142499 142903 4948 5410 13873 14331 20148 20633 135075 135514 14567 15237 35891 36353 56894 57312 128234 128673 50887 51313 82247 82683 99356 99814 179056 179502 106509 106965 134427 134999 143033 143570 244684 245132 
11 352 327451 327873 143017 143582 103964 104438 51729 52230 253538 253944 58567 59052 7725 8160 15651 16067 142915 143323 5423 5833 14344 14770 20645 21069 135527 135955 15250 15683 36365 36863 57324 57967 128719 129265 51325 51750 82695 83125 99827 100259 179515 179955 106979 107433 135011 135429 143589 144032 245146 245593 
12 384 327916 328336 143626 144071 104509 104979 52281 52701 253990 254399 59103 59559 8206 8644 16116 16525 143451 143870 5879 6318 14814 15281 21147 21663 136021 136457 15729 16129 36914 37345 58018 58436 129315 129734 51802 52302 83169 83630 100304 100760 180003 180436 107490 107930 135478 135902 144081 144498 245645 246087 
13 416 328348 328774 144083 144492 104992 105501 52713 53161 254411 254825 59575 60075 8656 9076 16537 16980 143883 144332 6330 6796 15293 15897 21675 22156 136469 136926 16142 16555 37357 38017 58448 58921 129747 130179 52316 52738 83642 84103 100772 101225 180448 180955 107942 108415 135914 136343 144518 144957 246099 246547 
14 448 328786 329216 144504 144909 105514 106001 53179 53598 254838 255248 60088 60794 9088 9584 16992 17414 144344 144778 6808 7244 15912 16340 22168 22607 136938 137364 16568 16983 38029 38445 58933 59351 130192 130612 52752 53184 84115 84549 101238 101676 180967 181404 108427 108866 136355 136762 144971 145412 246559 246999 
15 480 329228 329667 144921 145338 106013 106497 53614 54072 255262 255670 60813 61275 9604 10142 17426 18045 144802 145273 7257 7747 16354 16789 22619 23099 137376 137842 16995 17433 38457 38865 59363 59787 130624 131043 53197 53622 84561 84981 101698 102124 181416 181842 108878 109297 136774 137200 145426 145877 247011 247452 
16 512 329722 330136 145382 145781 106559 107045 54126 54548 255718 256121 61327 61769 10204 10720 18090 18598 145324 145746 7796 8266 16834 17256 23182 23782 137888 138296 17481 18035 38908 39318 59837 60272 131086 131528 53666 54103 85028 85441 102177 102584 181890 182329 109347 109764 137246 137840 145958 146508 247504 247944 
17 544 330148 330575 145793 146450 107057 107619 54560 55124 256133 256541 61781 62230 10733 11230 18611 19092 145758 146211 8279 8748 17268 17698 23794 24239 138308 138733 18047 18516 39330 39742 60284 60796 131541 132100 54116 54567 85453 85922 102598 103045 182344 182795 109776 110200 137852 138281 146520 146966 247956 248384 
18 576 330587 331020 146462 146878 107632 108108 55137 55607 256553 256955 62242 62680 11243 11677 19105 19552 146223 146650 8760 9219 17711 18180 24252 24659 138745 139145 18528 18983 39754 40174 60808 61270 132113 132521 54579 55144 85934 86570 103057 103524 182807 183249 110215 110641 138295 138718 146978 147409 248396 248821 
19 608 331032 331461 146890 147351 108121 108656 55621 56074 256967 257369 62692 63136 11689 12114 19565 20032 146664 147112 9231 9681 18196 18634 24679 25149 139158 139573 18995 19441 40186 40825 61282 61719 132534 132960 55156 55626 86584 87018 103536 104028 183262 183720 110653 111072 138730 139149 147421 147839 248834 249393 
20 640 331509 332007 147406 147841 108706 109168 56121 56537 257419 257895 63215 63699 12163 12570 20079 20510 147180 147580 9750 10212 18686 19172 25200 25615 139622 140044 19490 19944 40876 41318 61763 62209 133006 133448 55675 56142 87067 87588 104071 104500 183772 184226 111115 111530 139192 139613 147886 148307 249452 249867 
