0 0 248 
1 64 253 
2 128 248 
3 192 252 
4 256 258 
5 320 264 
6 384 258 
7 448 264 
8 512 248 
9 576 253 
10 640 248 
11 704 252 
12 768 258 
13 832 264 
14 896 258 
15 960 266 
16 1024 252 
17 1088 257 
18 1152 252 
19 1216 257 
20 1280 258 
21 1344 263 
22 1408 258 
23 1472 263 
24 1536 252 
25 1600 257 
26 1664 252 
27 1728 257 
28 1792 258 
29 1856 264 
30 1920 258 
31 1984 266 
32 2048 253 
33 2112 258 
34 2176 254 
35 2240 258 
36 2304 259 
37 2368 263 
38 2432 259 
39 2496 263 
40 2560 253 
41 2624 258 
42 2688 253 
43 2752 258 
44 2816 259 
45 2880 263 
46 2944 258 
47 3008 265 
48 3072 242 
49 3136 247 
50 3200 242 
51 3264 247 
52 3328 246 
53 3392 251 
54 3456 246 
55 3520 251 
56 3584 242 
57 3648 247 
58 3712 242 
59 3776 247 
60 3840 246 
61 3904 251 
62 3968 245 
63 4032 253 
