0 0 4 261 2 258 0 257 172 426 
1 32 305 728 303 724 301 723 470 729 
2 64 772 1026 769 1025 767 1024 774 1027 
3 96 1072 1493 1070 1492 1068 1491 1074 1494 
4 128 1569 1824 1567 1823 1565 1822 1570 1825 
5 160 1870 2291 1868 2290 1866 2289 1872 2292 
6 192 2337 2592 2335 2591 2333 2590 2339 2593 
7 224 2638 3060 2636 3059 2634 3058 2640 3061 
8 256 3136 3389 3134 3388 3132 3387 3137 3390 
9 288 3435 3854 3433 3853 3431 3852 3437 3855 
10 320 3900 4154 3898 4151 3896 4150 3902 4155 
11 352 4198 4618 4196 4617 4194 4616 4200 4619 
12 384 4694 4949 4692 4948 4690 4947 4695 4950 
13 416 4995 5414 4993 5413 4991 5412 4997 5415 
14 448 5460 5714 5458 5713 5456 5712 5462 5715 
15 480 5760 6181 5758 6180 5756 6179 5762 6182 
16 512 6257 6521 6255 6509 6253 6508 6258 6522 
17 544 6565 6985 6554 6978 6552 6977 6567 6986 
18 576 7029 7280 7023 7279 7021 7278 7031 7284 
19 608 7326 7747 7324 7746 7322 7745 7328 7748 
20 640 7823 8078 7821 8077 7819 8076 7824 8079 
21 672 8124 8542 8122 8541 8120 8540 8126 8543 
22 704 8588 8917 8586 8841 8584 8840 8590 8918 
23 736 8961 9376 8886 9307 8884 9306 8963 9377 
24 768 9450 9703 9381 9640 9380 9634 9451 9704 
25 800 9747 10160 9684 10103 9678 10101 9749 10161 
26 832 10204 10605 10147 10552 10145 10551 10206 10606 
27 864 10649 11052 10597 11004 10595 11002 10651 11053 
28 896 11126 11528 11077 11483 11076 11482 11127 11529 
29 928 11572 11977 11528 11938 11526 11933 11576 11978 
30 960 12025 12434 11982 12390 11977 12387 12023 12391 
31 992 12478 12886 12434 12839 12431 12827 12436 12840 
32 1024 12959 13369 12914 13317 12900 13299 12915 13318 
33 1056 13413 13824 13361 13765 13343 13741 13363 13766 
34 1088 13868 14273 13809 14210 13785 14181 13811 14211 
35 1120 14317 14724 14254 14658 14225 14625 14256 14659 
36 1152 14797 15206 14732 15136 14698 15096 14733 15137 
37 1184 15250 15657 15180 15582 15140 15537 15182 15583 
38 1216 15701 16110 15627 16032 15581 15980 15629 16033 
39 1248 16154 16561 16076 16477 16024 16415 16078 16478 
40 1280 16634 17043 16551 16955 16488 16882 16552 16956 
41 1312 17087 17496 16999 17401 16926 17320 17001 17402 
42 1344 17540 17946 17445 17846 17364 17756 17447 17847 
