0 0 30082 30894 24419 25123 26799 27558 0 562 64362 64992 65515 66350 63833 64490 26648 27296 131853 132490 133228 133651 112238 112909 77471 78247 185971 186677 194769 195602 175968 176672 142263 143083 257279 258011 252975 253649 257969 258674 205056 205701 342490 343042 341844 342499 343692 344416 
1 32 30938 31678 25170 25906 27606 28342 612 1321 65049 65753 66395 67076 64536 65446 27341 28040 132534 133462 133707 134406 112957 113825 78296 79087 186737 187557 195647 196223 176716 177398 143129 144050 258058 258922 253699 254367 258719 259392 205746 206535 343086 343722 342549 343243 344466 345133 
2 64 31722 32444 25968 26696 28397 29084 1379 2021 65800 66494 67123 67805 65490 66173 28084 28416 133507 134182 134453 135254 113869 114508 79141 79813 187616 188365 196269 196932 177449 178134 144104 144790 258968 259620 254422 255358 259442 260112 206581 207244 343766 344419 343292 343998 345179 345853 
3 96 32494 33255 26742 27534 29139 29869 2075 2778 66554 67296 67856 68535 66217 66878 28470 29199 134227 134898 135311 136136 114562 115209 79862 80512 188410 189094 196978 197639 178184 178845 144834 145506 259664 260219 255402 256084 260163 260841 207288 207950 344469 345138 344044 344735 345898 346413 
4 128 33344 34045 27629 28351 29965 30883 2872 3637 67385 68176 68609 69281 66951 67613 29281 30002 134982 135873 136236 136964 115296 115935 80585 81231 189170 189867 197718 198366 178918 179582 145580 146257 260297 261016 256157 256488 260923 261773 208023 208691 345220 345868 344810 345499 346486 346969 
5 160 34100 34805 28400 29140 30927 31680 3686 4329 68220 68876 69332 70004 67657 68456 30058 30892 135920 136606 137012 137713 115979 116618 81275 81908 189917 190601 198421 199257 179632 180296 146304 146987 261061 261775 256538 257239 261825 262501 208735 209433 345913 346577 345544 346231 347014 347612 
6 192 34858 35378 29185 29876 31730 32454 4376 5022 68922 69606 70049 70735 68500 69198 30936 31676 136650 137402 137763 138455 116662 117301 81963 82654 190651 191312 199307 200120 180341 181010 147037 147811 261828 262501 257289 258019 262549 263116 209477 210161 346626 347256 346276 346968 347657 348326 
7 224 35430 36160 29929 30876 32510 33240 5066 5706 69652 70313 70779 71444 69248 69927 31720 32438 137448 138116 138510 139188 117345 118003 82705 83363 191361 191907 200164 200898 181055 181944 147855 148537 262549 263117 258074 258936 263164 263770 210205 210897 347301 347956 347015 347681 348379 349050 
8 256 36243 36928 30949 31681 33337 33802 5780 6617 70407 71057 71569 72274 70016 70687 32551 33269 138190 138896 139313 140209 118089 118945 83451 84131 191995 192821 200972 201625 182043 182710 148610 149344 263205 263807 259061 259700 263847 264484 210970 211614 348030 348674 347762 348434 349130 349848 
9 288 36981 37735 31738 32447 33850 34580 6663 7402 71103 71917 72326 73164 70738 71406 33325 34038 138941 139601 140268 140976 118989 119817 84183 84875 192892 193813 201669 202331 182762 183444 149388 150070 263859 264487 259757 260635 264532 265270 211659 212344 348718 349361 348479 349153 349895 350776 
10 320 37789 38477 32498 32991 34631 35350 7467 8168 71966 72782 73218 73882 71450 72125 34082 34592 139645 140309 141026 141782 119866 120593 84938 85800 193858 194555 202384 203135 183491 184168 150114 150797 264539 265272 260679 261367 265316 265756 212389 213045 349405 350055 349197 349871 350823 351492 
