0 0 0 535 1312 1891 1728 2323 5030 5798 51298 52055 48937 49645 37052 37753 50010 50686 98519 99172 97055 97679 94365 94827 102215 102853 175959 176660 163636 164327 174067 174915 173250 173983 268671 269348 265188 265829 274684 275205 259094 259953 462021 462714 467557 468323 466678 467370 468263 468660 846191 846838 857032 857666 850179 850812 841883 842142 1213661 1214280 1206699 1207279 1221414 1221810 1217176 1217426 
1 32 603 1327 1965 2802 2376 3269 5844 6538 52102 52881 49689 50476 37807 38578 50744 51457 99226 100017 97732 98460 94873 95690 102900 103770 176709 177621 164386 165096 174968 175853 174038 174900 269399 270086 265882 266627 275266 275939 259999 260848 462758 463449 468372 469017 467431 468212 468707 469369 846889 847559 857715 858352 850862 851471 842186 842842 1214324 1214956 1207323 1207843 1221857 1222369 1217470 1218151 
2 64 1377 1914 2874 3473 3324 4157 6610 7185 52938 53772 50538 51253 38634 39353 51509 52386 100067 100806 98518 99175 95742 96479 103827 104727 177666 178408 165143 165845 175902 176606 174949 175846 270133 270844 266671 267397 276001 276703 260898 261668 463493 464417 469073 469766 468279 468997 469417 470052 847608 848283 858403 859044 851522 852127 842887 843531 1215000 1215632 1207887 1208439 1222413 1222800 1218195 1218445 
3 96 1965 2697 3525 4274 4213 4987 7240 8135 53829 54543 51298 52049 39409 40170 52433 53280 100875 101751 99241 100033 96535 97265 104787 105507 178452 179153 165897 166603 176652 177549 175894 176599 270888 271594 267467 268190 276751 277399 261733 262671 464467 465167 469815 470462 469043 469758 470104 470772 848330 848991 859100 859745 852177 852782 843575 844102 1215676 1216324 1208483 1209143 1222846 1223359 1218489 1219166 
4 128 2801 3421 4381 5051 5100 5900 8230 8962 54638 55473 52122 52880 40275 40981 53378 54114 101853 102547 100151 100853 97365 98087 105618 106423 179245 179919 166684 167552 177644 178412 176693 177620 271686 272581 268301 268996 277482 278120 262771 263484 465258 465971 470548 471212 469841 470560 470879 471541 849064 849743 859826 860721 852871 853442 844186 844838 1216398 1216652 1209216 1209563 1223432 1224107 1219239 1219828 
5 160 3473 4226 5104 5899 5973 6752 9012 9704 55528 56348 52943 53775 41028 41862 54187 54994 102593 103441 100907 101818 98140 98833 106477 107170 179973 180730 167601 168354 178458 179181 177668 178482 272627 273309 269044 269713 278176 278822 263532 264265 466030 466736 471256 471786 470633 471344 471617 472285 849787 850449 860765 861408 853494 854308 844882 845517 1216696 1217343 1209607 1210130 1224152 1224664 1219872 1220550 
6 192 4276 5014 5959 6558 6811 7398 9759 10401 56407 57316 53833 54544 41914 42619 55043 55746 103487 104191 101866 102550 98883 99602 107214 108109 180779 181473 168407 169151 179231 179916 178528 179215 273353 274030 269767 270348 278878 279547 264309 265051 466788 467501 471830 472293 471392 472110 472336 473040 850493 851158 861452 862088 854358 854997 845561 846174 1217387 1217641 1210174 1210706 1224708 1225241 1220594 1220848 
7 224 5069 5891 6606 7365 7465 8217 10451 11143 57363 58172 54599 55406 42688 43598 55800 56644 104241 105051 102605 103446 99655 100476 108160 108854 181521 182203 169195 170028 179969 180948 179266 179945 274081 274764 270395 271132 279591 280161 265095 265808 467551 468239 472337 472920 472159 472870 473093 473773 851202 851875 862132 862788 855042 855641 846223 846844 1217685 1218325 1210750 1211285 1225287 1225811 1220892 1221807 
8 256 6003 6579 7453 8175 8331 9016 11250 11627 58255 58922 55512 56332 43695 44468 56757 57478 105168 106068 103543 104475 100566 101404 108931 109865 182289 183137 170153 171017 181075 181911 180027 180953 274856 275547 271213 271880 280247 280881 265891 266629 468313 468997 473002 473672 472968 473672 473861 474533 851948 852620 862861 863530 855727 856303 846924 847559 1218399 1218654 1211358 1211837 1225884 1226536 1221880 1222370 
9 288 6635 7361 8226 8972 9070 9846 11687 12471 58972 59670 56403 57311 44520 45181 57527 58421 106112 106813 104519 105167 101463 102311 109916 110617 183188 183903 171072 171781 181963 182620 181005 181897 275593 276279 271927 272730 280930 281682 266673 267382 469041 469723 473722 474268 473716 474420 474579 475441 852664 853337 863580 864237 856352 856984 847612 848282 1218698 1219339 1211881 1212405 1226581 1227104 1222415 1223085 
10 320 7419 8167 9019 9707 9892 10584 12527 13274 59722 60422 57359 58302 45238 45888 58468 59354 106863 107561 105223 106073 102364 103069 110662 111392 183958 184679 171826 172741 182664 183316 181943 182674 276323 277004 272784 273557 281745 282439 267446 268162 469767 470449 474319 474769 474465 475190 475522 476234 853381 854280 864286 864944 857030 857665 848331 848997 1219383 1219829 1212449 1212978 1227148 1227491 1223129 1223380 
11 352 8220 8966 9761 10496 10652 11449 13326 14014 60481 61180 58349 59069 45942 46708 59405 60125 107620 108353 106117 106780 103119 104010 111444 112120 184728 185398 172792 173757 183376 184039 182725 183431 277053 278006 273610 274341 282491 283160 268214 268973 470497 471194 474821 475526 475236 475945 476286 477082 854324 854989 864990 865652 857716 858355 849041 849563 1219874 1220551 1213022 1213617 1227537 1228059 1223424 1224106 
12 384 9076 9786 10587 11417 11564 12419 14125 14851 61283 61950 59148 59863 46833 47536 60210 60981 108443 109157 106866 107563 104105 105020 112216 112893 185498 186390 173848 174541 184151 184749 183516 184203 278109 278816 274455 275136 283238 283900 269051 269746 471352 472088 475608 476290 476018 476706 477205 478054 855066 855750 865740 866402 858443 859052 849641 850137 1220626 1220879 1213690 1214281 1228132 1228747 1224179 1224665 
13 416 9839 10573 11474 12223 12475 13238 14906 15619 61997 62897 59916 60626 47598 48326 61030 61736 109215 110128 107621 108312 105073 105780 112938 113645 186441 187169 174587 175345 184795 185478 184249 184932 278863 279541 275193 275867 283949 284627 269794 270495 472159 472941 476334 477022 476750 477459 478107 478766 855802 856478 866446 867116 859096 859615 850188 850813 1220923 1221808 1214326 1214957 1228793 1229520 1224710 1225380 
14 448 10628 11430 12279 13023 13296 14009 15673 16391 62950 63659 60681 61388 48381 49189 61787 62510 110176 110888 108370 109055 105831 106552 113690 114379 187214 188050 175389 176106 185534 186389 184978 185659 279603 280507 275922 276598 284673 285377 270539 271246 472993 473700 477066 477669 477503 478198 478815 479482 856522 857201 867160 867808 859661 860243 850860 851469 1221853 1222107 1215002 1215633 1229564 1229807 1225424 1225814 
15 480 11491 12285 13077 13821 14061 14832 16455 17127 63712 64406 61436 62134 49238 49948 62563 63270 110946 111681 109126 109967 106601 107327 114451 115314 188100 188929 176164 177085 186435 187100 185711 186630 280553 281232 276652 277393 285422 286146 271290 271990 473756 474522 477713 478363 478255 478956 479528 480189 857245 857909 867852 868488 860288 860893 851514 852125 1222151 1222798 1215678 1216325 1229851 1230366 1225861 1226535 
16 512 12371 13028 13908 14334 14936 15686 17237 17874 64500 65201 62220 62942 50051 50729 63369 64072 111806 112657 110074 110811 107424 108169 115406 116089 189041 189750 177161 178036 187201 188043 186703 187380 281314 282011 277471 278123 286253 286957 272067 272748 474613 475478 478455 479112 479046 479757 480270 480932 857982 858652 868561 869194 860977 861555 852212 852783 1222873 1223360 1216399 1216653 1230439 1230929 1226608 1227105 
17 544 13085 13963 14397 15151 15748 16497 17930 18628 65263 65945 62993 63722 50778 51479 64124 64813 112707 113419 110872 111656 108218 108958 116134 116928 189802 190536 178094 178828 188094 188915 187425 188105 282057 282734 278178 278818 287004 287833 272802 273566 475531 476280 479164 479809 479806 480504 480977 481628 858696 859361 869238 869882 861600 862421 852834 853440 1223405 1224051 1216698 1217344 1230975 1231489 1227150 1227822 
