0 0 26042 26730 1406 2044 0 709 1356 2051 72391 73079 40213 40870 38928 39544 42225 42862 116249 116776 93509 94219 96014 96727 80722 81322 176431 177154 133427 134161 135266 135951 131110 131791 256419 257197 209737 210388 201705 202376 213997 214657 382802 383453 284918 285431 287505 288060 289978 290650 674769 675009 
1 32 26781 27504 2088 2794 760 1484 2107 2809 73132 73840 40920 41600 39601 40237 42913 43594 116821 117533 94264 95193 96771 97449 81370 82120 177208 178123 134206 134895 136001 136693 131848 132515 257249 258010 210434 211049 202431 203119 214701 215355 383498 384176 285475 286143 288105 288780 290723 291566 675053 675557 
2 64 27566 28261 2845 3557 1538 2238 2878 3625 73896 74603 41657 42331 40283 40943 43650 44422 117586 117977 95239 95942 97504 97918 82164 82819 178188 178903 134941 135635 136739 137356 132559 133206 258057 258681 211095 211660 203163 203883 215401 216080 384220 384904 286190 286866 288828 289531 291615 292302 675601 675839 
3 96 28317 29036 3617 4318 2286 3007 3681 4345 74667 75372 42380 43081 40998 41798 44478 45179 118024 118914 95994 96721 97973 98898 82869 83530 178954 179668 135680 136365 137404 138039 133250 134140 258729 259405 211706 212247 203927 204608 216130 216782 384948 385627 286910 287676 289577 290274 292387 293123 675883 676394 
4 128 29146 29858 4433 5130 3133 3977 4443 5142 75473 76159 43185 43867 41913 42593 45273 45926 119026 119720 96813 97474 98977 99654 83646 84326 179764 180443 136439 137111 138113 138748 134225 134711 259490 260163 212330 212951 204681 205592 216874 217531 385700 386378 287758 288421 290358 291062 293236 293918 676467 676705 
5 160 29914 30703 5179 6030 4031 4749 5201 6041 76213 76888 43916 44656 42639 43316 45977 46700 119776 120520 97518 98298 99710 100406 84370 85152 180497 181192 137163 138002 138793 139683 134762 135418 260212 260931 213001 213742 205638 206527 217577 218242 386422 387118 288468 289129 291122 291870 293994 294708 676749 677254 
6 192 30776 31497 6081 6799 4806 5541 6094 6735 76952 77783 44707 45573 43364 43998 46753 47303 120570 121184 98342 98922 100466 100899 85196 85854 181241 182099 138052 138709 139728 140405 135462 136117 260991 261677 213787 214489 206572 207346 218286 218829 387175 387877 289176 289943 291915 292617 294753 295427 677298 677536 
7 224 31551 32264 6863 7558 5600 6436 6783 7473 77850 78530 45618 46299 44049 44690 47363 48029 121228 122003 98971 99660 100955 101793 85900 86574 182166 182840 138753 139541 140453 141014 136167 136927 261735 262626 214533 215204 207390 208082 218880 219544 387921 388595 289993 290743 292661 293370 295481 296183 677580 678222 
8 256 32372 33064 7662 8354 6514 7204 7554 8202 78613 79276 46379 47223 44770 45586 48137 48810 122089 122941 99737 100636 101881 102589 86673 87552 182929 183587 139617 140267 141097 141726 137007 137911 262762 263574 215282 215997 208158 208842 219643 220325 388670 389344 290826 291537 293480 294359 296319 297042 678295 678531 
9 288 33116 33816 8401 9099 7256 7959 8250 8917 79322 80198 47268 47979 45634 46316 48861 49756 122985 123761 100695 101241 102647 103340 87601 88280 183634 184305 140311 140964 141771 142432 137957 138631 263624 264309 216046 216773 208886 209572 220374 221259 389388 390308 291616 292254 294405 295316 297087 297800 678575 679089 
10 320 33865 34586 9150 9833 8015 8705 8966 9602 80254 80968 48028 48717 46365 47223 49801 50447 123833 124547 101288 102014 103387 104114 88332 89161 184371 185076 141018 141679 142486 143269 138682 139538 264357 265155 216824 217515 209616 210299 221309 222189 390353 391033 292298 293134 295362 296045 297846 298751 679133 679368 
11 352 34641 35340 9881 10564 8767 9483 9651 10341 81037 81696 48770 49450 47278 47925 50493 51117 124591 125315 102059 102639 104163 104769 89209 89902 185125 185808 141731 142395 143314 143890 139583 140244 265205 265861 217567 218232 210344 211038 222235 222895 391082 391758 293181 293875 296093 296792 298797 299679 679412 679927 
12 384 35459 36349 10647 11396 9572 10272 10429 11313 81803 82523 49534 50203 48020 48675 51200 51810 125435 126320 102757 103411 104855 105506 89993 90698 185886 186607 142498 143419 143978 144667 140329 140996 265962 266595 218321 219174 211120 211961 222972 223644 391831 392503 293961 294632 296865 297550 299752 300512 680000 680235 
13 416 36393 37105 11450 12160 10326 11029 11379 12074 82572 83251 50249 51008 48728 49376 51856 52588 126380 127099 103465 104134 105552 106071 90754 91436 186677 187505 143463 144115 144711 145388 141043 141712 266647 267348 219223 219891 212009 212699 223690 224369 392547 393218 294705 295414 297594 298276 300560 301228 680279 680941 
14 448 37162 37912 12210 12899 11078 11865 12136 12801 83318 83999 51053 51742 49424 50110 52636 53335 127155 127804 104192 104885 106115 106602 91487 92245 187560 188217 144159 144809 145432 146140 141756 142430 267401 268082 219944 220632 212743 213439 224418 225309 393262 393940 295476 296138 298321 299012 301274 301942 680985 681220 
15 480 37967 38852 12952 13650 11916 12645 12846 13524 84058 84776 51792 52565 50169 50813 53401 54133 127854 128586 104930 105539 106647 107336 92290 93157 188267 188989 144853 145503 146186 146925 142486 143268 268144 268886 220692 221341 213483 214245 225354 225869 393984 394664 296183 296863 299056 299739 301987 302745 681264 681768 
16 512 38970 39677 13746 14452 12742 13502 13610 14281 84877 85629 52690 53396 50896 51548 54225 54914 128670 129320 105624 106293 107425 108124 93233 93902 189098 189775 145576 146280 147001 147851 143341 143998 268994 269767 221438 222211 214356 215197 225943 226700 394738 395677 296960 297630 299818 300695 302820 303495 681841 682080 
17 544 39742 40459 14504 15266 13552 14266 14348 15018 85681 86375 53451 54144 51604 52250 54959 55710 129367 130362 106344 106882 108172 108843 93947 94633 189831 190510 146324 146997 147909 148587 144042 144698 269830 270522 222260 222935 215251 215991 226747 227395 395721 396398 297674 298549 300739 301471 303540 304217 682124 682629 
18 576 40511 41267 15322 16011 14315 14999 15070 15782 86425 87091 54192 54879 52296 52941 55759 56444 130407 131136 106927 107648 108898 109403 94681 95359 190554 191345 147044 147865 148634 149311 144742 145418 270575 271258 222987 223663 216037 216760 227447 228100 396442 397125 298593 299247 301517 302198 304261 304867 682673 682911 
19 608 41318 42037 16058 16898 15057 15773 15834 16748 87146 87845 54925 55616 52999 53710 56495 57173 131181 131885 107706 108400 109448 110073 95409 96199 191408 192352 147916 148587 149366 150067 145462 146140 271311 271983 223711 224600 216804 217508 228145 228665 397169 397848 299293 299985 302242 303096 304911 305582 682955 683645 
20 640 42147 42834 16995 17677 15881 16762 16828 17532 87923 88602 55707 56436 53783 54410 57269 58073 131997 132658 108484 109174 110163 110814 96275 96946 192478 193143 148673 149340 150151 150800 146217 146930 272086 272750 224691 225360 217584 218269 228738 229285 397936 398635 300058 300783 303172 303859 305655 306317 683718 683956 
21 672 42889 43603 17729 18473 16811 17528 17576 18238 88657 89346 56489 57171 54459 55371 58118 58773 132706 133431 109221 109952 110868 111484 96990 97695 193200 193955 149386 150067 150854 151574 146977 147651 272820 273482 225407 226204 218313 218986 229329 230023 398685 399374 300829 301477 303909 304594 306362 307031 684000 684505 
22 704 43652 44425 18522 19213 17589 18309 18282 18924 89395 90135 57225 57908 55417 56113 58820 59458 133475 134228 109997 110690 111529 112041 97743 98593 194011 194946 150121 150793 151620 152274 147695 148342 273535 274256 226249 226872 219030 219718 230070 230748 399418 400099 301527 302203 304639 304983 307076 307844 684549 684787 
23 736 44472 45179 19265 20032 18362 19082 18968 19619 90194 91071 57952 58616 56178 56865 59503 60275 134283 135180 110761 111477 112098 112853 98655 99377 194996 195715 150844 151568 152320 153210 148386 149246 274307 275010 226930 227636 219762 220451 230793 231307 400143 400816 302250 303101 305028 305714 307890 308560 684831 685345 
24 768 45292 46007 20127 20829 19185 20016 19719 20431 91189 91863 58705 59425 56961 57604 60377 61105 135270 135965 111586 112259 112960 113635 99483 100114 195824 196535 151642 152319 153335 153983 149367 150057 275111 275742 227719 228378 220539 221269 231390 232008 400889 401562 303180 303862 305787 306319 308633 309166 685418 685653 
