0 0 10240 10920 9854 10181 0 328 5018 5715 10915 11568 9341 9979 360 623 5912 6410 
1 32 10967 11659 10226 10919 372 1077 5759 6406 11614 12281 10024 10869 667 1143 6454 7144 
2 64 11703 12285 10968 11660 1121 1382 6450 6771 12325 12622 10914 11172 1187 1447 7188 7486 
3 96 12329 13027 11705 12407 1426 2133 6815 7462 12669 13583 11217 11919 1491 2137 7530 8212 
4 128 13100 13768 12480 13028 2206 2468 7536 8216 13656 14286 11994 12619 2214 2474 8287 8911 
5 160 13813 14503 13073 13767 2512 3216 8261 8907 14331 14997 12665 13364 2518 3220 8955 9643 
6 192 14547 15118 13811 14287 3260 3523 8951 9281 15041 15304 13409 13771 3264 3530 9687 10180 
7 224 15163 15855 14333 15117 3567 4263 9325 9976 15348 15998 13820 14507 3576 4267 10224 10875 
8 256 15928 16605 15190 15862 4336 4962 10049 10871 16071 16609 14582 15121 4344 4966 10953 11570 
9 288 16650 17344 15911 16604 5006 5713 10918 11566 16654 17348 15170 15858 5010 5717 11616 12282 
10 320 17388 17840 16648 17001 5757 6014 11610 11920 17392 17844 15905 16162 5761 6407 12327 12621 
11 352 17886 18577 17046 17838 6058 6753 11966 12617 17890 18581 16207 16900 6452 6856 12667 13365 
12 384 18651 19372 17911 18581 6826 7463 12692 13585 18659 19376 16975 17750 6929 7467 13440 13771 
13 416 19419 20116 18627 19371 7508 8204 13631 14285 19423 20120 17796 18471 7512 8208 13817 14506 
14 448 20160 20569 19417 19826 8248 8511 14329 14580 20169 20847 18515 18772 8252 8515 14551 15119 
15 480 20615 21304 19871 20567 8555 9258 14624 15270 20893 21730 18816 19505 8559 9262 15165 15856 
16 512 21379 22163 20640 21306 9331 9977 15343 15861 21803 22196 19578 20119 9339 9981 15932 16606 
17 544 22208 22904 21352 22040 10022 10868 15909 16551 22240 22909 20164 20845 10026 10872 16652 17345 
18 576 22948 23273 22084 22340 10912 11171 16595 16901 22957 23633 20889 21310 10918 11567 17390 17841 
19 608 23319 24014 22384 23271 11215 11918 16947 17748 23679 24447 21356 22162 11612 12010 17888 18579 
20 640 24087 24872 23344 24015 11993 12618 17821 18504 24520 24919 22235 22907 12083 12622 18652 19373 
21 672 24917 25622 24060 24754 12663 13363 18549 19369 24967 25642 22952 23631 12672 13584 19422 20117 
22 704 25666 25982 24798 25054 13407 13769 19413 19667 25686 26352 23675 24019 13629 13884 20162 20570 
23 736 26028 26729 25098 25980 13815 14505 19711 20465 26397 27145 24064 24871 13928 14509 20617 21305 
24 768 26802 27594 26053 26730 14578 15120 20538 20848 27220 27623 24946 25626 14586 15124 21381 22164 
25 800 27639 28333 26775 27464 15167 15857 20895 21731 27667 28343 25671 26351 15171 15861 22210 22905 
26 832 28377 28696 27508 27767 15903 16161 21776 22168 28389 29063 26395 26734 15907 16552 22952 23632 
27 864 28741 29443 27811 28695 16205 16899 22214 22909 29109 29859 26779 27593 16597 17000 23677 24081 
28 896 29516 30182 28768 29444 16974 17749 22988 23636 29934 30335 27666 28341 17073 17839 24154 24873 
29 928 30226 30921 29489 30180 17794 18503 23683 24449 30380 31026 28385 29061 17884 18507 24919 25325 
30 960 30965 31217 30226 30922 18547 18804 24495 24877 31070 31665 29105 29448 18551 19370 25369 25981 
31 992 31261 31940 30967 31660 18848 19526 24923 25625 31710 32390 29493 30184 19415 19825 26026 26440 
32 1024 32013 32886 31733 32419 19599 20120 25698 26355 32463 32890 30261 30932 19898 20568 26513 27151 
33 1056 32931 33605 32463 33152 20166 20846 26401 27147 32937 33635 30978 31664 20613 21024 27197 27620 
34 1088 33649 33914 33196 33640 20891 21308 27193 27595 33680 33923 31709 31963 21068 21732 27664 28343 
35 1120 33958 34646 33688 34383 21354 22041 27641 28339 33969 34655 32007 32885 21778 22194 28388 29062 
36 1152 34719 35617 34456 35133 22115 22381 28412 29066 34728 35621 32958 33636 22267 22910 29139 29865 
37 1184 35664 36339 35179 35870 22425 23272 29113 29861 35668 36357 33682 34310 22958 23634 29911 30334 
38 1216 36383 36644 35914 36362 23317 23638 29907 30184 36402 36808 34354 34656 23681 24448 30378 30935 
39 1248 36688 37377 36408 37103 23685 24452 30230 30931 36853 37547 34701 35614 24495 24916 30980 31662 
40 1280 37450 37835 37178 37834 24530 24920 31005 31666 37620 38328 35689 36358 24990 25647 31737 32420 
41 1312 37882 38570 37880 38564 24968 25643 31714 32415 38373 39062 36404 37057 25692 26357 32465 33153 
42 1344 38614 39067 38608 39069 25688 26353 32459 32887 39106 39356 37101 37550 26403 27150 33198 33639 
43 1376 39112 39867 39114 39868 26399 27146 32933 33634 39400 40092 37597 38327 27196 27613 33687 34312 
44 1408 39942 40612 39944 40613 27221 27624 33707 34385 40165 41037 38400 39065 27688 28348 34388 34658 
45 1440 40657 41338 40659 41350 27669 28344 34429 35131 41082 41769 39110 39762 28395 29068 34705 35616 
46 1472 41382 41790 41394 41792 28391 29064 35175 35620 41813 42090 39806 40093 29115 29864 35662 36340 
47 1504 41836 42575 41838 42576 29111 29860 35666 36356 42134 42816 40138 41036 29910 30325 36385 36807 
48 1536 42650 43324 42652 43325 29935 30336 36429 37103 42889 43746 41109 41788 30398 31051 36880 37549 
49 1568 43369 44044 43371 44060 30382 31047 37147 37832 43791 44469 41832 42462 31095 31670 37595 38010 
