0 0 65555 66093 70249 70939 70855 71345 0 691 137731 138362 139766 140257 153635 154583 59102 59740 213613 214092 221377 222270 220430 221289 115435 116031 317166 317880 306380 306656 302511 302795 185216 185597 496786 497111 498516 498988 497400 497844 
1 32 66144 66853 71007 71711 71391 72116 741 1409 138411 139172 140312 141039 154651 155324 59788 60319 214143 214843 222331 223003 221340 222069 116081 116851 317941 318608 306706 307511 302845 303541 185641 186339 497156 497841 499032 499451 497889 498413 
2 64 66914 67443 71763 72479 72160 72865 1454 2071 139217 139751 141083 141471 155379 156105 60370 61049 214895 215454 223050 223742 222117 222797 116895 117609 318656 319391 307559 308135 303585 304121 186384 187111 497887 498410 499497 500176 498459 498985 
3 96 67491 68212 72534 73248 72914 73639 2128 2813 139802 140513 141524 142297 156160 156836 61096 61797 215500 216209 223787 224540 222847 223380 117653 118286 319435 319958 308206 308911 304168 304966 187155 187910 498455 498869 500223 500750 499030 499447 
4 128 68313 68871 73356 74083 73732 74247 2915 3473 140594 141159 142400 143259 156931 157624 61882 62552 216291 216815 224640 225207 223472 224123 118359 119089 320031 320590 308998 309472 305059 305563 187984 188355 498946 499448 500827 501327 499524 500179 
5 160 68928 69648 74129 74832 74308 75026 3520 4167 141226 141915 143311 143999 157671 158498 62606 63340 216864 217580 225251 226080 224183 225088 119135 119780 320648 321244 309523 310219 305609 306298 188401 189088 499495 500175 501373 501833 500225 500753 
6 192 69702 70449 74888 75592 75077 75644 4214 4906 141961 142390 144060 144764 158550 158932 63388 64068 217628 218164 226138 227174 225133 225381 119824 120399 321290 322010 310272 310955 306342 306653 189138 189688 500221 500751 501880 502556 500799 501324 
7 224 70502 71217 75648 76361 75702 76418 4954 5628 142443 143266 144826 145513 158989 159685 64112 64660 218213 218974 227224 228040 225427 226097 120446 121100 322056 322840 311016 311717 306715 307513 189732 190449 500797 501256 502603 503126 501369 501830 
8 256 71310 71756 76453 77238 76525 77245 5720 6263 143344 144011 145601 146333 159793 160560 64743 65413 219048 219566 228115 228598 226220 227184 121180 121629 322915 323609 311804 312480 307601 308133 190527 190830 501333 501831 503203 503696 501907 502559 
9 288 71809 72545 77284 78003 77294 78017 6324 6986 144060 144772 146378 147226 160616 161437 65463 65984 219615 220358 228664 229346 227241 228112 121681 122363 323654 324343 312530 313252 308180 308896 190879 191582 501878 502555 503740 504161 502605 503129 
10 320 72592 73271 78066 78616 78073 78612 7034 7484 144824 145720 147270 147678 161483 162208 66030 66667 220417 221293 229400 229905 228158 228604 122408 122984 324389 325074 313315 314023 308940 309471 191633 192199 502601 503127 504205 504870 503175 503693 
11 352 73325 74080 78676 79577 78665 79571 7531 8216 145765 146577 147727 148516 162254 162833 66711 67228 221346 222265 229967 230769 228660 229343 123031 123685 325123 325802 314068 314773 309523 310213 192243 192992 503173 503578 504917 505431 503738 504143 
12 384 74175 74836 79671 80170 79651 80165 8304 8955 146677 147548 148627 149351 162928 163496 67312 67977 222351 223004 230848 231305 229427 229911 123758 124125 325880 326139 314847 315405 310302 310952 193073 193687 503655 504144 505508 506000 504220 504873 
13 416 74889 75627 80223 80938 80220 80930 9004 9666 147597 148509 149401 150201 163550 164232 68037 68801 223051 223741 231360 232109 229964 230767 124170 125000 326192 326875 315456 316146 311010 311718 193731 194245 504191 504869 506044 506466 504919 505434 
14 448 75675 76416 80987 81645 80986 81649 9710 10205 148555 149344 150246 150729 164281 164929 68858 69547 223785 224449 232176 232838 230811 231308 125044 125463 326920 327484 316190 316710 311767 312159 194289 195086 504915 505432 506513 507188 505480 505997 
15 480 76473 77228 81696 82649 81698 82643 10256 10981 149394 150198 150780 151663 164980 165810 69592 70229 224494 225204 232882 233567 231371 232104 125514 126302 327531 328133 316754 317432 312205 313123 195130 195696 505478 505896 507235 507755 506042 506463 
16 512 77350 78210 82747 83452 82724 83317 11076 11515 150279 150939 151739 152364 165905 166592 70304 70976 225285 226082 233646 234318 232205 232849 126389 127185 328206 328772 317511 318183 313215 313870 195769 196324 505973 506464 507832 508330 506540 507191 
17 544 78263 78986 83506 84211 83361 84093 11559 12229 150988 151709 152423 153129 166644 167319 71024 71717 226144 227177 234370 235088 232900 233653 127232 127956 328818 329346 318228 318948 313917 314601 196368 196873 506511 507187 508374 508857 507237 507758 
18 576 79046 79679 84261 84663 84148 84581 12277 12764 151760 152455 153180 153613 167370 168297 71765 72488 227247 228120 235141 236003 233698 234319 128000 128606 329390 329767 319024 319724 314645 314924 196917 197519 507233 507756 508904 509571 507804 508327 
19 608 79733 80476 84721 85454 84625 85367 12808 13502 152499 153182 153665 154589 168351 169061 72541 73253 228193 228935 236050 236729 234366 235091 128652 129289 329817 330520 319779 320586 314976 315675 197565 198139 507802 508207 509618 510151 508372 508854 
20 640 80550 81181 85549 86350 85447 85996 13590 14136 153265 153681 154704 155389 169153 169923 73364 74083 229051 229763 236803 237062 235176 236009 129364 129908 330612 331298 320673 321249 315759 316290 198213 198679 508284 508855 510228 510727 508931 509574 
21 672 81240 81977 86400 87116 86052 86772 14192 14845 153732 154591 155439 156144 169967 170504 74129 74754 229822 230569 237116 237805 236063 236930 129952 130584 331343 332040 321296 322005 316336 317039 198724 199389 508902 509570 510771 511191 509620 510154 
22 704 82027 82681 87162 87861 86827 87583 14901 15373 154645 155327 156202 156844 170556 171181 74800 75490 230616 231304 237849 238511 236977 237572 130632 131112 332085 332412 322060 322850 317083 317877 199436 199956 509616 510152 511235 511875 510200 510724 
23 736 82725 83448 87914 88705 87647 88364 15431 16148 155394 156111 156898 157621 171243 172092 75541 76098 231354 232098 238556 239226 237616 238299 131158 131826 332468 332994 322901 323610 317922 318603 200000 200520 510198 510596 511922 512444 510769 511173 
24 768 83540 84224 88804 89492 88456 89034 16228 16637 156225 156838 157731 158501 172198 172940 76213 76870 232192 232844 239305 239917 238388 238873 131914 132803 333076 333618 323687 324384 318683 319389 200595 201139 510669 511159 512521 513023 511246 511877 
25 800 84293 85205 89540 90333 89079 89804 16687 17392 156897 157599 158551 159364 172993 173971 76927 77457 232896 233656 239961 240823 238920 239621 132847 133626 333663 334440 324430 325115 319436 320189 201189 201708 511204 511874 513067 513489 511924 512447 
26 832 85264 85995 90385 91098 89861 90485 17447 17971 157645 158495 159408 159713 174030 174931 77511 78207 233701 234348 240867 241237 239679 240196 133674 134190 334486 335163 325161 326017 320233 320826 201753 202221 511920 512445 513534 514156 512493 513020 
