0 0 336752 337166 149333 149752 35520 35969 104295 104788 276184 276591 42192 42715 0 419 1552 2001 245039 245717 1861 2284 2535 2975 7457 7864 154532 154993 16388 16847 33702 34179 29246 29682 160906 161343 48723 49151 94810 95218 78833 79242 176546 176966 109505 109920 144948 145371 127622 128064 225919 226416 153366 153837 175452 175873 159047 159449 284357 284806 
1 32 337178 337597 149768 150176 35982 36493 104817 105281 276606 277051 42748 43446 431 889 2016 2456 245736 246241 2296 2723 2988 3659 7876 8294 155005 155446 16859 17339 34193 34810 29695 30171 161355 161786 49163 49664 95230 95667 79254 79711 176980 177534 109932 110358 145383 145810 128076 128711 226428 226911 153850 154349 175885 176291 159461 160042 284819 285448 
2 64 337609 338026 150193 150637 36514 37022 105295 105964 277063 277516 43459 43946 902 1424 2468 2912 246253 246701 2736 3153 3672 4129 8306 8749 155458 155914 17351 17832 34822 35228 30183 30615 161801 162297 49676 50130 95679 96150 79723 80396 177547 177980 110370 110805 145822 146242 128723 129187 226924 227390 154361 154766 176303 176709 160056 160465 285462 285902 
3 96 338038 338457 150650 151083 37069 37730 105977 106452 277535 278005 43968 44723 1436 1951 2924 3519 246713 247137 3168 3640 4146 4570 8763 9241 155928 156458 17845 18294 35242 35672 30631 31081 162314 162982 50144 50634 96169 96740 80410 80863 177993 178428 110818 111271 146254 146675 129199 129627 227403 227841 154778 155183 176724 177192 160477 160893 285915 286350 
4 128 338502 338918 151132 151577 37824 38264 106502 107031 278079 278564 44804 45361 2011 2434 3632 4134 247196 247626 3699 4199 4616 5043 9354 9771 156536 156956 18349 18827 35727 36165 31146 31584 163046 163508 50679 51092 96799 97388 80921 81352 178476 178912 111325 111890 146719 147143 129671 130090 227891 228333 155226 155631 177235 177643 160936 161346 286394 286817 
5 160 338930 339571 151589 152037 38277 38849 107043 107496 278609 279090 45431 46146 2446 2878 4146 4593 247639 248056 4213 4718 5055 5494 9783 10223 156968 157435 18841 19303 36177 36602 31596 32164 163521 163982 51105 51791 97400 97839 81364 81802 178924 179376 111907 112444 147158 147589 130102 130531 228345 228788 155643 156047 177655 178059 161358 161773 286830 287263 
6 192 339583 340019 152050 152461 38864 39303 107508 107958 279114 279566 46163 46669 2891 3555 4606 5052 248071 248495 4730 5212 5506 5963 10235 10722 157447 157929 19315 19729 36614 37035 32177 32641 163995 164436 51803 52223 97851 98351 81815 82246 179389 179832 112456 112900 147601 148022 130543 130964 228800 229230 156059 156473 178071 178487 161785 162197 287275 287711 
7 224 340034 340482 152475 152894 39324 39831 107970 108439 279578 279987 46685 47227 3569 3999 5064 5491 248538 248962 5224 5796 5980 6543 10735 11259 157943 158536 19741 20162 37056 37709 32655 33151 164448 164885 52237 52680 98365 98827 82258 82677 179844 180328 112916 113374 148035 148655 130976 131552 229242 229712 156485 156898 178499 178912 162209 162632 287724 288394 
8 256 340527 340945 152939 153352 40026 40569 108487 108968 280068 280498 47282 48098 4043 4461 5539 6028 249013 249439 5850 6423 6592 7028 11310 11738 158600 159083 20206 20846 37786 38229 33215 33669 164932 165379 52727 53152 98901 99342 82720 83299 180381 180830 113440 113860 148710 149119 131595 132005 229843 230271 156941 157390 178955 179370 162675 163155 288446 288874 
9 288 340957 341422 153364 153847 40581 41025 108980 109429 280516 280931 48116 48610 4474 4888 6041 6571 249455 249880 6435 6905 7040 7489 11750 12185 159095 159536 20858 21319 38241 38682 33684 34199 165391 165887 53164 53606 99359 99883 83311 83738 180842 181283 113873 114423 149131 149547 132017 132432 230284 230809 157402 157826 179382 179794 163167 163609 288887 289322 
10 320 341438 341891 153859 154434 41040 41473 109442 109882 280943 281387 48624 49110 4901 5315 6583 7018 249909 250379 6917 7348 7502 7946 12197 12638 159548 160042 21332 21761 38694 39109 34212 34840 165899 166328 53618 54046 99895 100390 83750 84182 181296 181743 114435 114873 149559 149988 132444 132861 230823 231480 157838 158255 179806 180222 163621 164041 289335 289765 
11 352 341903 342387 154446 154846 41489 41947 109894 110364 281399 281821 49122 49552 5331 5781 7030 7447 250411 251070 7360 7798 7960 8433 12651 13087 160055 160488 21774 22180 39122 39544 34852 35359 166341 166767 54058 54661 100404 100986 84195 84621 181756 182213 114886 115304 150001 150421 132873 133287 231495 231971 158267 158682 180234 180678 164053 164473 289777 290211 
12 384 342430 342858 154891 155297 42012 42452 110419 110850 281881 282303 49612 50029 5830 6388 7495 7905 251170 251629 7841 8253 8482 9174 13131 13551 160554 160968 22225 22738 39588 39993 35413 35868 166814 167247 54704 55117 101055 101509 84667 85096 182262 182695 115351 115757 150465 150871 133330 133749 232019 232458 158725 159139 180721 181126 164516 164929 290262 290682 
13 416 342870 343299 155309 155741 42473 42948 110862 111633 282315 282745 50041 50460 6401 6849 7917 8340 251670 252168 8266 8684 9187 9614 13563 13973 160980 161425 22751 23390 40005 40570 35881 36361 167259 167680 55129 55552 101522 101993 85108 85571 182707 183188 115769 116187 150883 151479 133761 134344 232470 232990 159151 159586 181138 181554 164941 165363 290695 291157 
14 448 343312 343741 155753 156153 42960 43408 111645 112066 282761 283191 50478 50946 6861 7283 8352 8833 252182 252783 8696 9207 9626 10063 13986 14515 161437 161857 23402 23882 40582 41021 36374 36855 167692 168123 55565 55988 102006 102545 85583 86044 183200 183641 116199 116613 151491 151905 134356 134776 233003 233470 159598 160083 181566 181979 165375 165839 291169 291592 
