0 0 166796 167222 176634 177034 142211 142625 18433 18837 112812 113254 140355 140779 83582 83990 0 427 83580 83976 83710 84155 90510 90936 6205 6630 97865 98267 86912 87326 116240 116658 38882 39299 142743 143148 103711 104372 167776 168191 
1 32 167234 167653 177048 177497 142638 143059 18849 19262 113270 113712 140792 141230 84002 84500 439 937 83988 84432 84168 84794 90949 91426 6642 7153 98279 98866 87338 87843 116670 117095 39311 39742 143161 143621 104384 104812 168203 168696 
2 64 167665 168083 177509 177956 143074 143560 19274 19695 113724 114166 141243 141686 84512 85042 949 1376 84444 85007 84806 85236 91438 91892 7165 7595 98878 99381 87855 88298 117108 117511 39754 40176 143633 144066 104824 105245 168708 169134 
3 96 168095 168577 177969 178394 143572 144015 19707 20112 114178 114586 141698 142145 85054 85531 1388 1904 85020 85459 85249 85666 91904 92320 7611 8023 99395 99823 88310 88787 117527 117931 40191 40622 144078 144499 105258 105684 169146 169559 
4 128 168620 169030 178451 178844 144070 144497 20160 20594 114633 115066 142202 142621 85578 85987 1971 2456 85507 85921 85709 86129 92371 92814 8068 8466 99870 100297 88839 89289 117988 118482 40669 41088 144543 144957 105728 106149 169602 170012 
5 160 169042 169464 178856 179259 144512 144967 20606 21037 115079 115620 142633 143095 85999 86412 2468 2913 85934 86339 86141 86589 92826 93271 8478 8908 100310 100746 89301 89748 118495 118924 41100 41534 144969 145378 106162 106591 170024 170443 
6 192 169476 169886 179271 179791 144979 145413 21049 21462 115632 116061 143110 143618 86424 86856 2925 3370 86351 86766 86601 87028 93283 93712 8922 9422 100758 101186 89760 90376 118937 119369 41546 41981 145390 145811 106604 107170 170455 170870 
7 224 169898 170316 179803 180221 145431 145908 21475 21890 116073 116483 143631 144034 86868 87304 3382 3807 86778 87180 87041 87615 93725 94152 9436 9881 101198 101714 90388 90805 119381 119798 41993 42404 145823 146317 107183 107613 170882 171444 
8 256 170359 170772 180264 180660 145968 146438 21938 22355 116527 116930 144082 144496 87351 87764 3853 4329 87238 87663 87662 88065 94200 94619 9969 10411 101769 102233 90850 91255 119846 120259 42447 42958 146387 146836 107661 108078 171489 171912 
9 288 170784 171441 180672 181077 146451 146926 22367 22826 116942 117358 144510 144952 87776 88195 4341 4775 87676 88201 88077 88498 94631 95063 10425 10841 102245 102678 91267 91734 120271 120687 42971 43444 146848 147271 108093 108511 171924 172372 
10 320 171455 171885 181089 181484 146938 147365 22839 23289 117370 117779 144964 145373 88209 88664 4787 5218 88214 88649 88510 88922 95075 95503 10855 11271 102690 103122 91746 92160 120699 121190 43456 43869 147283 147704 108523 108968 172385 172813 
11 352 171897 172328 181496 181890 147379 147827 23301 23731 117795 118392 145385 145793 88678 89097 5230 5641 88661 89073 88935 89342 95515 96016 11285 11696 103136 103544 92175 92592 121204 121660 43881 44298 147716 148139 108980 109421 172825 173252 
12 384 172371 172793 181933 182332 147879 148324 23777 24206 118436 118853 145846 146305 89151 89556 5711 6128 89124 89523 89412 89832 96061 96508 11752 12185 103588 104023 92637 93224 121717 122136 44342 44752 148186 148601 109471 109998 173297 173711 
13 416 172811 173289 182344 182747 148337 148803 24221 24648 118865 119265 146319 146750 89568 89984 6141 6573 89536 89940 89845 90456 96520 96947 12198 12694 104035 104501 93236 93657 122150 122562 44764 45183 148613 149174 110010 110441 173724 174248 
14 448 173303 173767 182759 183160 148815 149259 24663 25091 119277 119727 146762 147189 89996 90450 6586 7144 89952 90444 90468 90918 96959 97405 12706 13151 104513 104924 93669 94087 122574 122977 45195 45683 149186 149662 110455 110873 174260 174719 
15 480 173782 174249 183172 183567 149273 149721 25106 25540 119739 120147 147204 147698 90462 90958 7156 7592 90465 90961 90930 91427 97417 97862 13163 13634 104944 105387 94101 94513 122989 123410 45696 46170 149674 150114 110886 111303 174731 175176 
16 512 174314 174776 183610 184001 149772 150195 25595 26142 120193 120600 147741 148156 91100 91505 7639 8101 91019 91436 91472 91914 97910 98349 13678 14082 105467 105879 94558 94976 123496 123991 46217 46636 150171 150577 111347 111764 175222 175652 
17 544 174789 175237 184013 184412 150211 150643 26154 26566 120612 121176 148168 148592 91518 92015 8113 8545 91451 91874 91927 92400 98362 98904 14094 14506 105891 106332 94989 95426 124003 124500 46648 47072 150589 151006 111777 112200 175669 176138 
18 576 175253 175706 184424 184817 150656 151068 26578 26986 121188 121675 148604 149212 92028 92519 8557 8983 91886 92339 92413 92846 98917 99360 14518 14992 106344 106788 95438 95985 124513 124950 47084 47506 151018 151453 112212 112800 176152 176617 
19 608 175718 176163 184829 185384 151080 151497 26998 27406 121693 122159 149225 149671 92532 93243 8996 9432 92351 92816 92858 93302 99372 99819 15007 15447 106800 107268 95998 96412 124962 125377 47518 47959 151465 152000 112813 113243 176629 177096 
20 640 176218 176665 185430 185823 151547 152005 27450 27860 122226 122686 149719 150148 93290 93697 9507 9926 92876 93317 93348 93773 99865 100289 15499 15902 107333 107774 96458 96895 125420 125829 48006 48529 152051 152460 113286 113721 177149 177585 
21 672 176677 177136 185835 186237 152018 152452 27872 28296 122700 123121 150160 150611 93709 94126 9941 10412 93329 93752 93785 94209 100301 100743 15914 16393 107786 108204 96907 97343 125841 126253 48543 48975 152472 152895 113733 114160 177599 178075 
22 704 177148 177565 186250 186642 152468 152913 28309 28865 123136 123570 150623 151055 94138 94547 10426 10931 93764 94198 94223 94660 100756 101184 16405 16913 108216 108702 97355 97780 126265 126793 48987 49407 152907 153328 114172 114595 178087 178523 
23 736 177577 177996 186654 187053 152926 153356 28877 29303 123584 124058 151069 151515 94559 94965 10944 11354 94211 94621 94672 95125 101196 101711 16925 17365 108716 109138 97793 98204 126805 127209 49419 49898 153340 153760 114607 115031 178535 178966 
24 768 178039 178459 187098 187492 153420 153837 29351 29805 124109 124538 151571 151974 95012 95422 11401 12071 94666 95124 95171 95590 101762 102228 17412 17820 109185 109612 98250 98772 127252 127647 49942 50417 153809 154223 115088 115554 179012 179430 
25 800 178471 178896 187504 187907 153849 154288 29820 30267 124553 125014 151986 152415 95434 96017 12083 12495 95136 95541 95602 96124 102241 102712 17833 18244 109624 110082 98784 99223 127659 128081 50429 50847 154235 154804 115566 115985 179443 179873 
26 832 178908 179332 187919 188312 154304 154805 30280 30728 125026 125474 152427 152844 96031 96461 12507 12919 95554 96026 96136 96576 102724 103167 18256 18670 110096 110517 99235 99638 128093 128501 50859 51306 154816 155306 115997 116425 179886 180319 
27 864 179344 179800 188324 188725 154818 155309 30740 31242 125491 125954 152856 153274 96475 96878 12932 13348 96038 96440 96588 97021 103179 103641 18682 19090 110531 110942 99650 100057 128513 128935 51318 51738 155325 155786 116438 116865 180340 180796 
28 896 179846 180276 188771 189168 155359 155792 31306 31827 126027 126508 153323 153745 96921 97327 13394 13809 96483 96881 97068 97486 103688 104367 19134 19532 110993 111398 100105 100505 128979 129514 51781 52193 155835 156245 116910 117328 180847 181280 
29 928 180289 180720 189180 189592 155805 156246 31839 32313 126543 127052 153759 154177 97339 97748 13821 14250 96896 97332 97498 98005 104379 104820 19544 19983 111411 111830 100517 100928 129526 129933 52205 52624 156258 156694 117340 117775 181292 181730 
30 960 180732 181154 189604 190006 156262 156707 32329 32802 127065 127547 154189 154719 97761 98166 14262 14856 97344 97800 98017 98428 104832 105277 19995 20559 111842 112261 100941 101516 129945 130346 52636 53052 156706 157129 117787 118299 181745 182195 
31 992 181166 181585 190018 190423 156719 157145 32821 33255 127560 128059 154731 155153 98180 98838 14868 15281 97813 98241 98440 98875 105289 105715 20571 20973 112273 112781 101528 101974 130358 130785 53064 53490 157141 157568 118311 118723 182208 182643 
32 1024 181628 182053 190469 191033 157210 157665 33300 33703 128122 128530 155198 155628 98895 99301 15328 15768 98301 98855 98928 99384 105758 106168 21016 21418 112865 113276 102018 102466 130832 131251 53535 54113 157624 158041 118767 119173 182725 183126 
33 1056 182065 182489 191046 191450 157685 158125 33715 34151 128542 128973 155641 156068 99313 99769 15780 16201 98867 99336 99396 99841 106181 106626 21430 21836 113288 113825 102478 102907 131263 131688 54125 54557 158053 158483 119185 119602 183139 183560 
34 1088 182501 182919 191462 191869 158139 158573 34165 34640 128992 129550 156080 156495 99781 100202 16213 16642 99348 99762 99853 100275 106638 107138 21848 22248 113837 114252 102919 103348 131700 132330 54569 55018 158495 158918 119615 120031 183572 183984 
35 1120 182931 183347 191881 192293 158586 159048 34652 35073 129562 129974 156507 156922 100215 100626 16654 17072 99775 100199 100289 100711 107150 107555 22261 22661 114264 114714 103360 103786 132342 132771 55030 55463 158933 159371 120044 120477 184003 184408 
36 1152 183390 183808 192338 192742 159112 159532 35117 35533 130025 130478 156970 157483 100670 101070 17115 17695 100246 100663 100757 101177 107598 108001 22707 23282 114766 115210 103832 104395 132817 133278 55511 55938 159415 159831 120523 121105 184453 184861 
37 1184 183820 184245 192758 193177 159544 159971 35550 35990 130490 130929 157496 157937 101083 101595 17707 18126 100676 101095 101190 101677 108014 108441 23294 23714 115223 115656 104407 104844 133290 133722 55950 56387 159845 160322 121117 121537 184876 185430 
38 1216 184257 184681 193197 193610 159983 160409 36002 36474 130941 131362 157950 158385 101607 102009 18138 18560 101108 101692 101689 102157 108454 108869 23726 24141 115670 116131 104856 105287 133734 134155 56399 56975 160334 160760 121549 121962 185444 185866 
39 1248 184693 185117 193622 194027 160421 160847 36486 36961 131379 131792 158397 158821 102021 102441 18572 18979 101704 102153 102169 102593 108882 109317 24153 24556 116144 116605 105299 105711 134167 134594 56987 57412 160774 161203 121975 122379 185878 186289 
40 1280 185160 185583 194084 194488 160898 161332 37004 37512 131841 132374 158870 159285 102488 102883 19033 19434 102196 102657 102640 103058 109362 109957 24603 25000 116671 117095 105756 106211 134638 135180 57455 57870 161254 161676 122429 122832 186335 186748 
41 1312 185595 186025 194500 194919 161344 161788 37524 38001 132386 132826 159297 159724 102896 103316 19446 19858 102671 103100 103070 103519 109969 110408 25012 25425 117108 117581 106223 106659 135192 135632 57882 58309 161688 162117 122844 123263 186760 187180 
42 1344 186037 186464 194936 195355 161800 162241 38013 38497 132839 133310 159736 160236 103328 103738 19871 20415 103112 103536 103531 103996 110420 110847 25437 26134 117593 118025 106671 107194 135644 136075 58321 58773 162129 162566 123276 123938 187192 187609 
43 1376 186476 186904 195367 195771 162254 162693 38509 38923 133322 133755 160248 160671 103754 104389 20427 20841 103549 104013 104009 104558 110860 111272 26146 26549 118039 118490 107206 107623 136087 136523 58785 59204 162578 163081 123950 124355 187621 188217 
44 1408 186951 187376 195814 196211 162738 163168 38966 39401 133817 134252 160716 161120 104451 104882 20885 21285 104061 104549 104607 105076 111318 111735 26598 27035 118553 118971 107674 108086 136569 137004 59247 59764 163133 163548 124398 124806 188268 188678 
45 1440 187388 187844 196223 196635 163181 163617 39413 40015 134266 134722 161135 161558 104895 105374 21297 21708 104562 105025 105089 105512 111747 112169 27047 27465 118986 119432 108098 108519 137016 137460 59776 60231 163561 164006 124818 125229 188690 189106 
46 1472 187856 188288 196647 197049 163633 164063 40027 40437 134734 135386 161573 161979 105386 105800 21720 22125 105037 105462 105524 106002 112181 112749 27478 27889 119445 119865 108531 108965 137472 138051 60243 60673 164018 164452 125242 125653 189120 189539 
47 1504 188300 188745 197061 197461 164075 164500 40449 40856 135410 135873 162009 162430 105812 106269 22137 22550 105478 105928 106014 106461 112762 113186 27902 28319 119880 120306 108977 109411 138063 138501 60685 61112 164464 164899 125669 126149 189552 189959 
48 1536 188801 189227 197505 197903 164546 164987 40899 41353 135921 136334 162480 163016 106316 106715 22594 23181 105976 106391 106514 107159 113229 113651 28370 28907 120354 120772 109456 109934 138552 138995 61155 61576 164957 165374 126196 126768 190008 190419 
49 1568 189239 189671 197915 198323 165000 165440 41365 41778 136346 136761 163028 163445 106727 107256 23193 23619 106403 106849 107174 107628 113663 114108 28919 29338 120784 121208 109946 110373 139008 139461 61588 62035 165388 165922 126780 127199 190434 190996 
50 1600 189683 190129 198335 198738 165453 165909 41790 42237 136773 137192 163457 163862 107268 107696 23631 24045 106861 107310 107644 108149 114120 114567 29350 29809 121220 121665 110385 110808 139473 139900 62047 62507 165934 166358 127211 127634 191009 191415 
51 1632 190141 190573 198750 199153 165922 166370 42249 42859 137205 137649 163874 164279 107714 108163 24057 24472 107330 107861 108162 108572 114579 115017 29821 30266 121686 122138 110823 111236 139912 140342 62519 62948 166375 166805 127646 128060 191427 191834 
52 1664 190616 191051 199197 199590 166426 166856 42903 43305 137692 138118 164322 164728 108241 108703 24518 24951 107909 108340 108615 109075 115061 115580 30323 30727 122201 122600 111280 111697 140389 140834 62994 63410 166853 167275 128105 128515 191882 192282 
53 1696 191063 191490 199602 200010 166868 167315 43317 43731 138133 138636 164741 165154 108717 109336 24963 25417 108352 108777 109088 109499 115592 116005 30739 31249 122612 123023 111709 112135 140847 141313 63422 63842 167287 167715 128527 128959 192294 192709 
