0 0 200088904
1 2 200089078
2 4 200088855
3 6 200084368
4 31 360098361
5 33 360100543
6 35 360096370
7 29 360098209
540 41 520050726
541 43 520048124
542 37 520048831
543 39 520048837
548 70 679938153
549 64 679936518
550 66 679936484
551 68 679936032
1084 86 839986589
1085 88 839986541
1086 90 839986548
1087 92 839986764
1092 113 999046388
1093 115 999046395
1094 118 999046618
1095 111 999046451
1632 170 1155482713
1633 177 1155483026
1634 166 1155482706
1635 168 1155482706
1904 231 1305459306
1905 237 1305459001
1906 239 1305459002
1907 241 1305459009
